,臺北市_房價,臺中市_房價,基隆市_房價,臺南市_房價,高雄市_房價,新北市_房價,宜蘭縣_房價,桃園市_房價,嘉義市_房價,新竹縣_房價,苗栗縣_房價,南投縣_房價,彰化縣_房價,新竹市_房價,雲林縣_房價,嘉義縣_房價,屏東縣_房價,花蓮縣_房價,臺東縣_房價,金門_房價,澎湖縣_房價
0,610413,203750,145116,142578,166055,323237,196769,198217,126018,183997,137519,122392,140374,209057,111558,103616,108620,160555,114838,195696,123269
1,611620,192844,144910,136912,163609,317577,164572,176146,121777,185190,133522,123377,141598,188422,104345,95268,109787,149632,156262,210733,155673
2,601347,196265,168658,138378,169255,320204,169553,177555,130966,183090,132712,126956,137786,217336,106055,90086,108065,174456,122473,201123,120437
3,612083,193022,163667,140164,165724,331726,175845,190600,133728,205321,150544,123386,145558,210489,111614,92702,109155,156477,127254,191897,111998
4,616523,193132,153676,142137,164680,317929,185300,189155,126041,198672,139414,125617,142847,216246,107693,95421,106401,172098,151455,193862,128514
5,607005,208496,142610,142158,166254,324090,179419,187477,148110,188807,135028,130431,140482,209418,108830,97785,104878,147031,122855,210741,135883
6,610261,209175,157052,146090,167228,316192,176423,182473,151035,182829,143165,133349,148633,218355,115306,112774,105759,164523,121492,190966,164500
7,616852,204728,159103,149527,170313,310398,174991,188212,140827,192670,145792,126122,147862,210047,110623,106244,112842,157936,132299,192622,149072
8,626167,203102,161195,152606,170403,328403,192397,195742,138626,194324,139302,136663,155275,207771,122762,106129,111614,160185,128965,209864,145100
9,565136,211040,159907,161933,172545,320516,198398,190220,132637,201784,145742,139621,154768,208616,121297,100945,115715,167327,127907,181412,145246
10,636810,207019,151909,152376,168777,304724,196509,194629,138829,192336,145689,135270,156419,212458,118293,107030,113107,166363,127592,181577,155742
11,640461,211749,145959,153102,175246,319146,195840,189393,136794,190564,143198,137599,153999,210499,121065,110314,114148,166327,126845,169724,195848
12,621951,211355,157346,158711,172596,323268,186121,189635,135875,203123,144135,142346,157931,232020,119331,115585,117731,168892,131263,199145,150463
13,622120,215098,160178,159294,178225,328116,186610,191803,141545,198829,142987,141290,162399,210382,123369,106960,117196,161595,142976,192667,134100
14,634222,219752,161684,163208,176588,327359,172015,193079,156988,174086,141119,143781,164135,219715,123404,114877,116979,173694,140881,206202,135722
15,630099,217422,161346,161283,179000,340349,194014,214728,146231,189502,143278,148703,162642,218741,121080,114362,122546,173972,147608,193753,139397
16,638548,225922,162190,165984,183303,343594,190540,209020,154719,205399,138351,145875,163708,236383,122448,114940,123863,164902,144709,190403,135088
17,637477,218417,179618,172508,184926,335093,180898,208516,180463,196712,137415,145744,165269,220486,136400,112899,120280,169547,142829,207543,147823
18,628818,225215,155270,174076,186780,345960,183681,209688,155606,202831,143728,152809,172003,228641,134759,124097,126842,176697,136425,204674,156677
19,665367,236663,164534,178178,193964,355800,192198,212175,159703,213916,147299,156045,185155,243337,142312,123997,128888,178657,140043,197646,152412
20,667859,233055,165419,181559,194115,350222,202248,218289,160492,215238,159682,186206,189035,246214,139422,134241,136193,181025,158676,206612,168146
21,675265,242286,168898,181984,199468,351486,204129,219781,166016,228950,149453,185618,188303,255149,149649,121638,136311,184721,155567,200625,194150
22,692740,250582,158568,198865,199148,356484,200950,224802,187727,224963,155930,170515,195651,252833,147746,136872,138805,157075,143862,200622,176033
23,935402,249193,166284,196126,214638,369467,211293,228470,211108,243969,162548,203209,189693,252381,149313,147410,149521,156496,162957,198849,177127
24,709429,277169,181274,198863,234678,381983,216620,234959,181394,229959,161989,177281,204289,274994,149842,139998,147749,201815,168858,213580,162488
25,720951,268140,184332,202110,223937,388977,221082,236242,201055,244438,169496,195218,198968,276996,153430,144807,153373,202293,157733,214781,179412
26,711794,271460,198598,204627,222842,390532,222606,240365,178202,301453,167162,185268,281950,296769,148579,141352,155229,199118,164822,189098,145879
27,716706,264773,184244,214739,230474,400584,210661,248746,190498,266771,177460,198100,213096,277395,151786,150922,159849,197185,176055,215395,176436
28,704369,271242,211638,216978,230575,403701,212300,254393,192093,270057,175990,196312,210607,279235,152518,155210,163743,211293,184312,224212,179634
29,714980,274174,221695,217642,231863,403164,208235,256809,211016,283808,195998,202758,201149,294878,155986,161762,169401,208849,167681,222270,170232
30,744917,284853,216964,234130,239541,411641,220939,268993,209255,312310,196576,241202,204052,297145,167798,155817,172091,202920,168474,217912,202238
31,749038,294582,206109,238401,250499,418803,218756,282218,207796,330052,196009,223349,212539,319138,167974,162220,179430,219286,189992,229683,173495
32,740493,306932,213924,233245,256261,421520,223025,286455,199491,313534,209107,217866,218479,333862,180247,174595,179561,215812,192756,209266,197970
33,791047,303991,244669,247252,274377,442892,233781,294118,220921,350025,218515,235240,226292,341613,181946,180461,194527,215233,197582,242104,197798
34,810114,313679,235298,258408,297268,452367,240506,309057,229598,355770,242730,224614,225794,381912,187403,184985,196586,229065,196275,239528,196084
35,837188,322799,206888,278550,293974,463961,252777,318578,237219,344545,230073,208241,234662,338571,199367,204925,196228,224232,210179,221993,194422
36,801831,324747,217886,265128,280337,448477,240232,318626,249683,366920,261519,229750,238540,434827,190955,209427,205108,222710,202300,231475,163325
37,816760,325605,218862,274462,287981,471181,246151,326148,240458,342403,251221,237427,242019,385603,185926,210174,211280,226498,198816,239774,208710
