鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中山區,房地(土地+建物),臺北市中山區天祥路８０號十二樓,3.91,商,,,1110801,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931203,41.75,2,1,1,有,有,12500000,299401,,0.0,0,陽台外推；夾層；,RPSNMLQKQHHGFCA08DA,24.14,0.92,3.32,有,001
信義區,車位,臺北市信義區吳興街６００巷６０之７號,0.05,住,,,1110812,土地1建物1車位1,一層，地下一層,七層,其他,多戶住宅,鋼筋混凝土造,1100503,13.41,0,0,0,無,有,1680000,,塔式車位,13.41,1680000,,RPXOMLRKQHHGFDA88DA,0.0,0.0,0.0,有,002
士林區,車位,臺北市士林區承德路四段１５０號地下二層,3.05,工,,,1110812,土地2建物1車位1,地下二層,十二層,其他,停車空間,鋼筋混凝土造,0901123,38.04,0,0,0,有,有,2000000,,坡道平面,0.0,2000000,僅車位交易；,RPTOMLSKQHHGFEA68DA,0.0,0.0,0.0,有,003
大安區,車位,臺北市大安區和平東路三段４４８號,0.17,住,,,1110808,土地1建物1車位1,一層,十三層,其他,一般事務所,鋼筋混凝土造,1090804,41.97,0,0,0,有,有,2750000,,坡道平面,41.97,2750000,土地價格：2007500元整；建物價格：742500元整。僅車位交易；,RPXNMLQKQHHGFFA88DA,0.0,0.0,0.0,有,004
大安區,房地(土地+建物),臺北市大安區復興南路二段３２９號十八樓之２,15.97,住,,,1110802,土地2建物1車位0,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760519,141.29,3,3,3,有,有,41000000,290183,,0.0,0,,RPQNMLSKQHHGFFA38DA,85.99,0.0,25.9,有,
大安區,車位,臺北市大安區新生南路一段１６５巷７號地下,8.28,住,,,1110804,土地1建物1車位1,地下層,六層,其他,見使用執照,鋼筋混凝土造,0690428,34.07,0,0,0,有,有,3800000,,坡道平面,34.07,3800000,僅車位交易；,RPTNMLSKQHHGFFA68DA,0.0,0.0,0.0,有,
萬華區,土地,莒光段四小段35-4地號,5.87,都市：其他:道路用地(公共設施用地)。62/8/29,,,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,222203,37854,,0.0,0,包含公共設施保留地用地；,RPQPMLSKNHHGFBA97EA,0.0,0.0,0.0,無,005
萬華區,土地,莒光段四小段35-4地號,2.12,都市：其他:道路用地(公共設施用地)。62/8/29,,,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80245,37851,,0.0,0,包含公共設施保留地用地；,RPRPMLSKNHHGFBA08EA,0.0,0.0,0.0,無,005
萬華區,土地,莒光段四小段35-4地號,5.5,都市：其他:道路用地(公共設施用地)。62/8/29,,,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,208318,37876,,0.0,0,包含公共設施保留地用地；,RPSPMLSKNHHGFBA18EA,0.0,0.0,0.0,無,005
萬華區,房地(土地+建物),臺北市萬華區德昌街２７２巷７號五樓,5.43,住,,,1110810,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750227,21.22,2,2,2,有,無,920000,43355,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPTNMLTKQHHGFBA48EA,15.35,3.58,1.68,無,
中山區,車位,臺北市中山區新生北路三段６７號地下室,0.96,住,,,1110801,土地1建物1車位1,地下層,九層,其他,見使用執照,鋼筋混凝土造,0650907,27.11,0,0,0,有,有,2550000,,坡道平面,0.0,2550000,僅車位交易；,RPUNMLRKQHHGFCA48EA,0.0,0.0,0.0,有,008
內湖區,車位,臺北市內湖區內湖路二段３７９、３８１、３８３、３８５號房屋地下層,4.54,商,,,1110810,土地2建物1車位1,地下層,九層,其他,見使用執照,鋼筋混凝土造,0780308,38.12,0,0,0,有,無,2000000,,升降平面,0.0,2000000,僅車位交易；,RPWOMLSKQHHGFCA88EA,0.0,0.0,0.0,有,
中山區,土地,長春段二小段947地號,15.01,都市：其他:道路用地(公共設施用地)。45/5/4,,,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1002338,66778,,0.0,0,僅土地買賣包含公共設施保留地用地；,RPWPMLTKQHHGFCA09EA,0.0,0.0,0.0,無,009
信義區,車位,臺北市信義區虎林街４６巷３２號地下,0.0,,,,1110807,土地0建物1車位1,地下層,五層,其他,防空避難室兼停車場,鋼筋混凝土造,0740517,32.88,0,0,0,有,有,2200000,,坡道平面,32.88,2200000,僅車位交易；,RPURMLRJPHHGFDA78EA,0.0,0.0,0.0,無,010
士林區,房地(土地+建物)+車位,臺北市士林區菁山路１０２號二樓,154.08,住,,,1110808,土地1建物2車位2,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050907,408.77,3,3,4,有,有,68600000,195294,坡道平面,76.45,3700000,親友、員工、共有人或其他特殊關係間之交易；,RPQPMLRKQHHGFEA48EA,176.32,9.63,20.98,有,011
北投區,土地,文林段三小段797-1地號,12.63,住,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2865432,226875,,0.0,0,依土地法第三十四條之一規定出售,RPUOMLTKQHHGFEA98EA,0.0,0.0,0.0,無,012
北投區,土地,桃源段二小段287地號,19.87,都市：其他:道路用地(公共設施用地)。66/12/27,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,516620,26000,,0.0,0,包含公共設施保留地用地；,RPRNMLMLQHHGFEA97EA,0.0,0.0,0.0,無,
北投區,土地,軟橋段48地號,157.16,工,,,1110804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,105500000,671290,,0.0,0,,RPSOMLMLQHHGFEA18EA,0.0,0.0,0.0,無,013
士林區,房地(土地+建物)+車位,臺北市士林區中山北路七段２１８之８號,130.35,住,,,1110803,土地1建物1車位2,全,四層,透天厝,住家用,鋼筋混凝土造,0860910,316.43,4,3,5,有,有,69580000,219891,坡道平面,0.0,0,陽台外推；夾層；,RPPNMLTKQHHGFEA38EA,159.42,38.88,23.3,無,
萬華區,房地(土地+建物),臺北市萬華區昆明街４６號八樓之３２,5.34,商,,,1110811,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0761221,36.870000000000005,1,0,1,有,有,6200000,168158,,0.0,0,,RPUOMLTKQHHGFBA68EA,23.07,4.35,0.0,有,014
萬華區,土地,青年段一小段634-2地號,3.08,住,,,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,363030,117867,,0.0,0,地清或未辦繼承標售；,RPXOMLTKQHHGFBA98EA,0.0,0.0,0.0,無,015
