鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區錦州街１５９號十一樓之１０,0.0,商,,,1110703,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0690421,72.17,3,2,1,有,有,有,28000,388,,0.0,0,,RPQNMLLLPHHGFCA47CC
中山區,建物,臺北市中山區合江街４１巷４號四樓,0.0,住,,,1110710,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660317,88.55,3,2,1,有,有,有,30000,339,,0.0,0,,RPPOMLLLPHHGFCA47CC
內湖區,建物,臺北市內湖區南京東路六段４５１巷５７號十樓之１１,0.0,其他,,,1110709,土地0建物1車位0,十層,14,辦公商業大樓,商業用,鋼筋混凝土造,0971205,44.44,0,1,1,有,有,有,21000,473,,0.0,0,租金含管理費。,RPROMLLLPHHGFCA67CC
中山區,建物,臺北市中山區民權東路一段４２號八樓之２,0.0,商,,,1110709,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961002,36.73,0,1,1,有,有,有,21000,572,,0.0,0,,RPTOMLLLPHHGFCA87CC
中正區,建物,臺北市中正區桃源街１３號６樓之４,0.0,商,,,1110627,土地0建物1車位0,六層,8,其他,商業用,鋼筋混凝土造,0751224,47.86,1,1,1,有,有,有,22000,460,,0.0,0,,RPSNMLLLPHHGFBA57CC
中正區,建物,臺北市中正區杭州南路一段９１號四樓之４,0.0,其他,,,1110707,土地0建物1車位0,四層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,0830201,30.08,1,0,1,有,有,有,17000,565,,0.0,0,租金含管理費。,RPTNMLLLPHHGFBA67CC
萬華區,房地(土地+建物),臺北市萬華區萬大路１４４號４樓,88.0,住,,,1110716,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650922,63.15,2,2,1,有,無,有,20000,317,,0.0,0,,RPVNMLLLPHHGFBA87CC
萬華區,建物,臺北市萬華區西園路二段３２０巷３６弄３６號２樓,0.0,住,,,1110715,土地0建物1車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0601012,31.56,1,1,1,有,無,有,10000,317,,0.0,0,加入臺北市社會住宅包租代管第3期計畫,RPWNMLLLPHHGFBA97CC
大同區,建物,臺北市大同區重慶北路三段１３７巷２５號二樓,0.0,住,,,1110716,土地0建物0車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0731026,33.54,1,0,1,有,無,有,11888,354,,0.0,0,此為分租套房，第二層共分成4間，一間平均面積約為33.54平方公尺。每月垃圾收取費600元、水費200元皆為承租人負擔。,RPOOMLLLPHHGFBA27CC
大同區,建物,臺北市大同區重慶北路三段１７９號四樓,0.0,住,,,1110716,土地0建物0車位0,四層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0600915,29.83,1,0,1,有,無,有,13500,453,,0.0,0,此為分租套房，第四層共分成3間，一間平均面積約為29.83平方公尺。每月垃圾收取費600元、水費200元皆為承租人負擔。,RPQOMLLLPHHGFBA47CC
大同區,建物,臺北市大同區長安西路２０５號五樓之１８,0.0,商,,,1110716,土地0建物1車位0,五層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0700909,39.62,1,0,0,無,有,有,15000,379,,0.0,0,加入臺北市社會住宅包租代管第3期計畫,RPTOMLLLPHHGFBA77CC
萬華區,建物,臺北市萬華區峨嵋街１３９、１４１、１４３號；環河南路一段７５號,0.0,商,,,1110715,土地0建物0車位0,三層,5,套房(1房1廳1衛),,鋼筋混凝土造,,35.07,1,0,1,有,無,有,14888,425,,0.0,0,此為分租套房，第三層共分成5間，一間平均面積約為35.07平方公尺。每月垃圾收取費600元、水費200元皆為承租人負擔。,RPUOMLLLPHHGFBA87CC
萬華區,建物,臺北市萬華區武成街１１巷１８弄５號二樓,0.0,住,,,1110719,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640109,87.4,3,2,1,有,無,有,15000,172,,0.0,0,加入臺北市社會住宅包租代管第3期計畫,RPVOMLLLPHHGFBA97CC
大同區,建物,臺北市大同區南京西路１８巷６號２樓之３,0.0,商,,,1110621,土地0建物1車位0,二層,9,店面(店鋪),一般零售業甲組,鋼筋混凝土造,1001129,94.13,0,0,0,無,有,有,70000,744,,0.0,0,1個月為免租裝潢期,RPOPMLLLPHHGFBA37CC
萬華區,建物,臺北市萬華區大理街１３３巷１６之２號２樓,0.0,其他,,,1110713,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680115,52.64,2,1,1,有,無,有,16000,304,,0.0,0,國家住宅及都市更新中心社會住宅包租代管計畫。每月水電瓦斯費由承租人負擔。,RPQPMLLLPHHGFBA57CC
萬華區,建物,臺北市萬華區大理街１３３巷１６之２號３樓,0.0,其他,,,1110714,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680115,52.64,2,1,1,有,無,有,16000,304,,0.0,0,國家住宅及都市更新中心社會住宅包租代管計畫。每月水電瓦斯費由承租人負擔。,RPRPMLLLPHHGFBA67CC
萬華區,建物,臺北市萬華區桂林路３８、３８之１、之２之３之４號,0.0,其他,,,1110610,土地0建物0車位0,全,5,透天厝,,加強磚造,,80.44,3,2,1,有,無,無,16000,199,,0.0,0,部分承租。兩位承租方，輸入其中一位資料申報。原申報序號:C1AB11106280031,RPTPMLLLPHHGFBA87CC
萬華區,建物,臺北市萬華區東園街７３巷４０弄９號４樓,0.0,住,,,1110713,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670125,79.62,3,2,1,有,無,有,16000,201,,0.0,0,台北市都發局社會住宅包租代管計畫 。 每月水電瓦斯費由承租人負擔。,RPUPMLLLPHHGFBA97CC
中正區,建物,臺北市中正區仁愛路一段４９號七樓,0.0,住,,,1110707,土地0建物1車位1,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870724,213.84000000000003,4,2,2,有,有,有,55000,257,坡道平面,0.0,0,,RPWPMLLLPHHGFBA18CC
信義區,房地(土地+建物),臺北市信義區虎林街２０５號,27.37,住,,,1110630,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0740919,3.3,1,2,2,有,無,有,1750,530,,0.0,0,部分辦公空間出租本樓層有25個辦公桌，租用其中1個辦公桌位,RPTNMLLLPHHGFDA87CC
信義區,建物,臺北市信義區松山路５９４之２號,0.0,住,,,1110715,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610717,81.5,3,1,1,有,無,有,24000,294,,0.0,0,加入臺北市社會住宅包租代管第3期計畫,RPUNMLLLPHHGFDA97CC
信義區,建物,臺北市信義區逸仙路２６巷１號及１-１號,0.0,住,,,1110701,土地0建物2車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,0670609,328.6,0,0,0,無,無,無,120000,365,,0.0,0,,RPVNMLLLPHHGFDA08CC
南港區,建物,臺北市南港區昆陽街９３之１號５樓,0.0,住,,,1110614,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710224,9.92,1,0,0,有,無,有,10000,1008,,0.0,0,本案為雅房,RPOOMLLLPHHGFDA47CC
南港區,建物,臺北市南港區昆陽街９３之１號５樓,0.0,住,,,1110614,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710224,9.92,1,0,0,有,無,有,10000,1008,,0.0,0,本案為雅房,RPPOMLLLPHHGFDA57CC
南港區,建物,臺北市南港區忠孝東路六段４９１號三樓,0.0,工,,,1110718,土地0建物0車位0,三層,4,套房(1房1廳1衛),工業用,鋼筋混凝土造,0670120,33.54,1,0,1,有,無,有,11700,349,,0.0,0,此為分租套房，第三層共分成17間，一間平均面積約為33.54平方公尺。每月垃圾收取費600元、水費200元皆為承租人負擔。租期第13個月為房租年繳優惠贈送。,RPROMLLLPHHGFDA77CC
信義區,建物,臺北市信義區信義路６段１２６號３樓之３,0.0,住,,,1110715,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0611221,68.28,2,1,1,有,無,有,24000,351,,0.0,0,,RPUOMLLLPHHGFDA08CC
信義區,建物,臺北市信義區忠孝東路四段５６３號６樓,0.0,住,,,1110714,土地0建物1車位0,六層,17,辦公商業大樓,一般事務所,鋼筋混凝土造,0781226,548.45,0,1,0,有,無,有,381593,696,,0.0,0,與忠孝東路四段563號6樓之2共同承租,RPWOMLLLPHHGFDA28CC
松山區,建物,臺北市松山區光復南路４６巷３６號１８樓之２,0.0,住,,,1110713,土地0建物1車位0,十八層,22,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,1100203,102.46000000000001,2,2,1,有,有,有,70000,683,,0.0,0,,RPXOMLLLPHHGFDA38CC
信義區,建物,臺北市信義區松勤街９號１２樓,0.0,其他,,,1110713,土地0建物1車位0,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0961225,64.5,2,1,1,有,無,有,46000,713,,0.0,0,,RPPPMLLLPHHGFDA67CC
北投區,建物,臺北市北投區溫泉路１４３之１８號二樓,0.0,其他,,,1110715,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780214,69.85,2,1,1,有,無,有,13000,186,,0.0,0,加入臺北市社會住宅包租代管第2期計畫,RPQNMLLLPHHGFEA67CC
北投區,建物,臺北市北投區中山路１之６號七樓之３,0.0,其他,,,1110628,土地0建物0車位0,七層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0670404,22.75,1,0,1,有,有,有,14000,615,,0.0,0,部分承租。租金含管理費。租金含水費。,RPRNMLLLPHHGFEA77CC
北投區,建物,臺北市北投區吉利街１５５號二樓,0.0,住,,,1110705,土地0建物1車位0,二層,3,公寓(5樓含以下無電梯),住商用,加強磚造,0590525,84.27,3,2,1,有,無,有,23000,273,,0.0,0,,RPTNMLLLPHHGFEA97CC
士林區,建物,臺北市士林區士東路２００巷４３號三樓,0.0,住,,,1110703,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800921,128.0,3,2,2,有,無,有,34000,266,,0.0,0,,RPUNMLLLPHHGFEA08CC
士林區,建物,臺北市士林區基河路４０號二樓之１,0.0,商,,,1110707,土地0建物1車位1,二層,13,辦公商業大樓,住家用,鋼筋混凝土造,0871211,89.92999999999999,2,2,1,有,有,無,40000,445,坡道機械,9.4,0,,RPOOMLLLPHHGFEA57CC
北投區,建物,臺北市北投區石牌路二段３１５巷８之１號１樓,0.0,住,,,1110716,土地0建物1車位1,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840619,141.20999999999998,3,2,2,有,無,有,50000,354,坡道平面,0.0,0,,RPQOMLLLPHHGFEA77CC
士林區,房地(土地+建物),臺北市士林區中山北路六段１５７巷１１號４樓之１,68.76,商,,,1110715,土地1建物1車位0,四層,15,其他,策略性產業（資訊服務業）,鋼筋混凝土造,0971002,146.5,1,1,1,有,有,有,62000,423,,0.0,0,,RPVOMLLLPHHGFEA28CC
北投區,建物,臺北市北投區知行路３３６號７樓之１１,0.0,其他,,,1110714,土地0建物1車位0,七層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860122,29.259999999999998,1,0,1,有,有,有,11000,376,,0.0,0,台北市都發局社會住宅包租代管計畫 。 水電瓦斯費及每月管理費753元由承租人負擔。,RPWOMLLLPHHGFEA38CC
大安區,建物,臺北市大安區信義路四段３０巷２７弄６之１號,0.0,住,,,1110701,土地0建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,加強磚造,,64.77,3,2,1,有,無,有,34000,525,,0.0,0,,RPRNMLLLPHHGFFA87CC
大安區,建物,臺北市大安區敦化南路一段２３６巷９號十樓之１,0.0,住,,,1110610,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670120,289.16,3,2,3,有,有,有,95000,329,,0.0,0,,RPTNMLLLPHHGFFA08CC
大安區,建物,臺北市大安區通化街３９巷５６之２號,0.0,商,,,1110709,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,0751023,102.6,3,1,3,有,無,有,42000,409,,0.0,0,租賃期間含免租金裝潢期。,RPUNMLLLPHHGFFA18CC
大安區,建物,臺北市大安區瑞安街２０８巷３９號５樓之３,0.0,住,,,1110713,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040511,41.74,1,1,1,有,無,有,30000,719,,0.0,0,,RPVNMLLLPHHGFFA28CC
大安區,建物,臺北市大安區青田街１２巷１２號６樓,0.0,住,,,1110706,土地0建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951107,168.44,2,2,2,有,無,有,88000,522,坡道平面,51.71,0,,RPWNMLLLPHHGFFA38CC
大安區,建物,臺北市大安區光復南路２９０巷４１號１樓,0.0,住,,,1110715,土地0建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0680124,100.08,0,0,0,無,無,有,110000,1099,,0.0,0,,RPXNMLLLPHHGFFA48CC
中正區,建物,臺北市中正區中華路二段３１３巷２６號３樓,0.0,住,,,1110629,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,加強磚造,,25.63,1,1,1,有,無,有,10000,390,,0.0,0,,RPQNMLLLPHHGFAA27CC
文山區,建物,臺北市文山區羅斯福路五段２２０號五樓,0.0,商,,,1110701,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711220,89.92,3,2,2,有,無,有,33000,367,,0.0,0,,RPTNMLLLPHHGFAA57CC
中正區,建物,臺北市中正區金門街２４巷１４之６號五樓之２,0.0,住,,,1110715,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801015,33.72,1,0,0,無,無,有,15000,445,,0.0,0,加入臺北市社會住宅包租代管第3期計畫,RPOOMLLLPHHGFAA17CC
中正區,建物,臺北市中正區和平西路一段１１號八樓,0.0,商,,,1110718,土地0建物0車位0,八層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,,44.730000000000004,1,0,1,有,無,有,10100,226,,0.0,0,此為分租套房，第八層共分成20間，一間平均面積約為44.73平方公尺。每月垃圾收取費600元、水費200元、鍋爐費300元皆為承租人負擔。租期第13個月為房租年繳優惠贈送。,RPQOMLLLPHHGFAA37CC
文山區,建物,臺北市文山區景興路１９５號八樓之６,0.0,商,,,1110630,土地0建物1車位0,八層,18,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0831210,55.209999999999994,2,2,1,有,有,有,17000,308,,0.0,0,,RPROMLLLPHHGFAA47CC
文山區,建物,臺北市文山區和興路４４巷２６弄６號６樓,0.0,住,,,1110714,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910904,88.48,3,2,2,有,有,有,26200,296,,0.0,0,國家住宅及都市更新中心社會住宅包租代管計畫。 水電瓦斯費及每月管理費930元由承租人負擔。,RPTOMLLLPHHGFAA67CC
大同區,房地(土地+建物)+車位,臺北市大同區民生西路１７１巷３號１２樓之２,7.71,住,,,1110523,土地2建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940414,94.15,2,1,1,有,有,有,27000,287,坡道平面,43.72,0,,RPSPMLLLPHHGFBA87DC
文山區,建物,臺北市文山區指南路三段２６號七樓之５,0.0,住,,,1110704,土地0建物1車位0,七層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970508,48.150000000000006,1,1,1,有,有,有,15000,312,,0.0,0,租金含管理費。,RPWNMLMLPHHGFAA97CC
