鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
北區,房地(土地+建物),臺中市北區漢口路四段６８號３樓之２,3.37,住,,,1110802,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850715,30.509999999999998,1,0,1,有,有,2550000,83579,,0.0,0,,RPVRMLMJQHHGFBB28DA,16.94,0.0,3.22,有,0001
北區,房地(土地+建物),臺中市北區北屯路４９號１１樓之１２,3.74,商,,,1110806,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850819,42.67,1,0,1,有,有,2500000,58589,,0.0,0,,RPTOMLKKQHHGFBB67DA,23.99,0.0,3.14,有,
南屯區,房地(土地+建物),臺中市南屯區大英街３０號五樓之１０,7.35,住,,,1110806,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800425,49.370000000000005,1,1,1,有,有,3300000,66842,,0.0,0,,RPUPMLLKQHHGFCB08DA,25.12,1.13,3.2,有,
南屯區,房地(土地+建物),臺中市南屯區永春東路１３６９號,68.0,住,,,1110803,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0851218,155.53,4,2,3,有,無,16500000,106089,,0.0,0,,RPQOMLPKQHHGFCB97DA,131.62,8.89,15.02,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區工業區一路９８巷７弄８號三樓,20.88,住,,,1110804,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820218,104.31,3,2,2,有,有,5500000,52727,坡道機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLRKQHHGFCB97DA,73.12,0.0,5.36,有,
神岡區,土地,溝心段945地號,1033.24,,特定農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14064980,13613,,0.0,0,,RPQNMLLJQHHGFDB47DA,0.0,0.0,0.0,無,
豐原區,土地,豐年段415-2地號,85.84,住,,,1110804,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3520000,41007,,0.0,0,,RPWNMLLKQHHGFDB18DA,0.0,0.0,0.0,無,0002
梧棲區,土地,信義段605-1地號,121.0,都市：其他:農業區,,,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1891230,15630,,0.0,0,政府機關標讓售；,RPRPMLQKQHHGFFB58DA,0.0,0.0,0.0,無,
新社區,土地,七分段七分小段181地號,119.86,,一般農業區,農牧用地,1110805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,10012,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLRKQHHGFGB88DA,0.0,0.0,0.0,無,0003
太平區,土地,頂坪段736地號,26.22,,鄉村區,乙種建築用地,1110806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,4577,,0.0,0,賣方增值稅81940元及代書費用4000元由買方支付親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPQNMLPKQHHGFJB58DA,0.0,0.0,0.0,無,
神岡區,土地,大豐段429-1地號,13.83,住,,,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,865620,62590,,0.0,0,政府機關標讓售；,RPVNMLSKQHHGFDB88EA,0.0,0.0,0.0,無,
大甲區,土地,雙寮段607-5地號,522.0,,特定農業區,特定目的事業用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5220000,10000,,0.0,0,政府機關標讓售；,RPRNMLSKQHHGFEB58EA,0.0,0.0,0.0,無,0004
大肚區,房地(土地+建物),臺中市大肚區遊園路一段１５０巷１４０號,33.39,,鄉村區,乙種建築用地,1110818,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0700730,67.18,3,2,2,有,無,4530000,67431,,0.0,0,,RPWNMLSKQHHGFKB07EA,67.18,0.0,0.0,無,0005
太平區,房地(土地+建物),臺中市太平區中山路三段６７巷１９號,89.0,商,,,1110804,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0660630,194.4,6,1,7,有,無,16000000,82305,,0.0,0,其他增建；,RPRNMLSKQHHGFJB98DA,194.4,0.0,0.0,無,0006
太平區,土地,新坪段77-1地號,67.95,,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1249940,18395,,0.0,0,包含公共設施保留地用地；,RPSNMLSKQHHGFJB09DA,0.0,0.0,0.0,無,
大里區,房地(土地+建物),臺中市大里區青松街１５６號,24.11,住,,,1110806,土地3建物1車位0,一層，二層，騎樓,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0791201,128.86,2,2,2,有,有,7580000,58824,,0.0,0,鐵窗增建其他增建；,RPWNMLSJQHHGFIB66DA,97.89,0.0,5.76,有,
新社區,土地,大南段大南小段203-469地號,796.0,,鄉村區,乙種建築用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4622800,5808,,0.0,0,1.「地政士僅受托買賣案件申請登記，並無代理撰擬不動產賣賣契約書，係由權利人自行提供成交案件實際資訊，供政士申報登錄。」2. 「本買賣案件係屬一等親間特殊交易，其交易價格可能異於市場正常交易價格。」親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPSNMLTKQHHGFGB88DA,0.0,0.0,0.0,無,
梧棲區,土地,興農段737地號,508.03,都市：其他:農業區,,,1110813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10757000,21174,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPPNMLNKQHHGFFB87DA,0.0,0.0,0.0,無,
大甲區,房地(土地+建物),臺中市大甲區中山路二段９１８之６６號三樓之５,22.81,商,,,1110812,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090331,71.7,2,2,2,有,有,4750000,66248,,0.0,0,,RPPNMLNKQHHGFEB77DA,53.46,0.0,6.44,有,0007
豐原區,土地,豐年段415-3地號,108.06,住,,,1110804,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4380000,40533,,0.0,0,,RPXNMLLKQHHGFDB28DA,0.0,0.0,0.0,無,0002
后里區,土地,圳寮段385地號,16.14,,山坡地保育區,農牧用地,1110811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17400,1078,,0.0,0,,RPUNMLLKQHHGFDB97DA,0.0,0.0,0.0,無,0009
西屯區,土地,生態段112地號,1399.29,都市：其他:第一種生態住宅專用區,,,1110803,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,220105600,157298,,0.0,0,,RPQNMLRKQHHGFCB08DA,0.0,0.0,0.0,無,0010
西屯區,房地(土地+建物)+車位,臺中市西屯區市政路５００號二十四樓之７,10.41,都市：其他:第六種新市政中心專用區,,,1110803,土地1建物1車位1,二十四層,二十九層,住宅大樓(11層含以上有電梯),辦公用,鋼骨鋼筋混凝土造,1011219,195.2,0,0,0,無,有,20550000,105277,坡道平面,20.01,0,含傢俱設備費；,RPPRMLRKQHHGFCB38DA,95.42,10.13,0.0,有,0011
北屯區,房地(土地+建物),臺中市北屯區安順四街１３之４號,16.53,住,,,1110808,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750419,63.330000000000005,2,2,2,有,無,4500000,71056,,0.0,0,含仲介費；含地政士服務費；,RPPVMLRKQHHGFBB68DA,46.25,0.0,7.2,無,
北區,房地(土地+建物),臺中市北區健行路４４３號６樓之４１,3.96,住,,,1110807,土地1建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840526,35.39,0,0,0,無,有,2000000,56513,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLQJQHHGFBB87DA,18.18,0.0,4.32,有,
