鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,房地(土地+建物),臺中市北屯區軍福十五路３１８號三樓之３,15.71,商,,,1110701,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1070907,119.15,3,2,2,有,有,有,23700,199,,0.0,0,社會住宅包租代管公會版3期,RPUOMLLLPHHGFBB97CC
北區,建物,臺中市北區崇德路一段１３３巷１０之３號,0.0,住,,,1110623,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700323,85.15,3,1,2,有,無,有,15000,176,,0.0,0,社宅案件,RPUPMLLLPHHGFBB08CC
北屯區,房地(土地+建物)+車位,臺中市北屯區環太東路４６７號２樓之３,24.02,住,,,1110627,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090820,149.23,3,1,2,有,有,有,21750,160,坡道平面,23.87,1750,此為社會住宅包租代管,RPOQMLLLPHHGFBB57CC
西屯區,建物,臺中市西屯區何厝街３７巷１１號二樓之２,0.0,商,,,1110701,土地0建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010710,161.01,3,2,2,有,有,有,24000,149,坡道平面,31.44,0,,RPWNMLLLPHHGFCB18CC
西屯區,建物,臺中市西屯區福林路１７０號,0.0,住,,,1110630,土地0建物1車位0,一層,14,店面(店鋪),店鋪、人行道,鋼筋混凝土造,1090831,113.19999999999999,0,2,2,有,有,有,48000,424,,0.0,0,首月租金優惠。租金含管理費。租賃範圍不含車位，已扣除車位面積。,RPOOMLLLPHHGFCB47CC
西屯區,建物,臺中市西屯區永福路１３２號十四樓之７,0.0,住,,,1110703,土地0建物1車位0,十四層,19,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850527,55.16,1,1,1,有,有,有,10000,181,,0.0,0,租金含管理費。,RPRQMLLLPHHGFCB97CC
西屯區,建物,臺中市西屯區甘州街３３，３３之１號,0.0,住,,,1110705,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0750506,115.68,5,2,3,有,無,有,32000,277,,0.0,0,部分承租。,RPSQMLLLPHHGFCB08CC
西屯區,建物,臺中市西屯區國安一路２１０巷３號１１樓之１,0.0,住,,,1110624,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0850615,142.05,3,2,2,有,有,有,21000,148,,0.0,0,社宅案件,RPTQMLLLPHHGFCB18CC
西屯區,建物,臺中市西屯區青海南街２０５號１１樓之８,0.0,住,,,1110624,土地0建物1車位2,十一層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1101108,72.35,2,2,1,有,有,有,23500,325,坡道機械,15.31,0,社宅案件,RPUQMLLLPHHGFCB28CC
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路６５之１號７樓之３,15.53,住,,,1110627,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960907,140.79000000000002,3,2,2,有,有,有,27000,192,坡道平面,20.99,4000,此為社會住宅包租代管,RPWQMLLLPHHGFCB48CC
沙鹿區,房地(土地+建物),臺中市沙鹿區臺灣大道七段４３２巷６６弄８號二樓,4.78,住,,,1110628,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960109,28.18,1,0,1,有,有,有,6300,224,,0.0,0,社會住宅包租代管公會版3期。   土地面積依套房數比例計算約29間,RPSNMLLLPHHGFFB08CC
神岡區,土地,前寮段708地號,463.97,工,,,1110705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,60000,129,,0.0,0,目前建物申請保存登記中,RPSNMLLLPHHGFDB87CC
豐原區,房地(土地+建物)+車位,臺中市豐原區安康路３號八樓之５,9.15,住,,,1110721,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901018,85.49000000000001,1,1,1,有,有,有,13800,164,坡道機械,9.33,1300,社會住宅包租代管公會版3期,RPVNMLLLPHHGFDB18CC
豐原區,房地(土地+建物),臺中市豐原區南陽路綠山巷７弄１００號三樓之８,52.93,農,,,1110705,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1101004,38.74,1,0,1,有,有,有,8200,212,,0.0,0,社會住包租代管公會版3期。   土地面積依套房數比例計算33間,RPTOMLLLPHHGFDB08CC
潭子區,建物,臺中市潭子區中山路一段１４６號七樓之１,0.0,住,,,1110714,土地0建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821111,141.76,3,2,2,有,有,有,20000,141,,0.0,0,住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費及每月管理費1715元皆由承租人負擔。,RPROMLLLPHHGFHB28CC
潭子區,建物,臺中市潭子區中山路一段７巷１０號四樓之２,0.0,住,,,1110719,土地0建物1車位0,四層,17,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831205,30.55,1,0,1,有,有,有,6000,196,,0.0,0,住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費及每月管理費370元皆由承租人負擔。,RPSOMLLLPHHGFHB38CC
大雅區,建物,臺中市大雅區中山北路１１７巷１８號五樓之４,0.0,住,,,1110718,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691007,52.45,2,1,1,有,無,有,10000,191,,0.0,0,住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費由承租人負擔。,RPTOMLLLPHHGFHB48CC
大里區,建物,臺中市大里區永大街２０１巷５０弄８號,0.0,住,,,1110630,土地0建物1車位0,全,3,透天厝,住房　停車空間,鋼筋混凝土造,0881119,172.41,4,3,3,有,無,有,25000,145,,0.0,0,租金含管理費。,RPXNMLLLPHHGFIB88CC
大肚區,房地(土地+建物),臺中市大肚區沙田路二段１３２巷１弄１９號,93.65,,鄉村區,乙種建築用地,1110705,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0691229,88.9,4,1,2,有,無,有,22000,247,,0.0,0,,RPSNMLLLPHHGFKB58CC
太平區,房地(土地+建物),臺中市太平區東方二街１８巷１１弄１１號,72.08,,山坡地保育區,丙種建築用地,1110704,土地1建物1車位0,全,4,透天厝,住宅、梯間,鋼筋混凝土造,0861103,156.62,4,2,3,有,無,有,24000,153,,0.0,0,此為社會住宅包租代管,RPVNMLMLPHHGFJB88CC
烏日區,房地(土地+建物),臺中市烏日區中山路二段４５３號,23.52,住,,,1110629,土地1建物1車位0,全,3,透天厝,住家用,加強磚造,0660105,108.36,4,2,3,有,無,有,15000,138,,0.0,0,,RPWNMLMLPHHGFIB88CC
