鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,建物,基隆市信義區深澳坑路２之５號６樓之１３,0.0,住,,,1110720,土地0建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850426,41.55,0,0,0,無,有,有,8500,205,,0.0,0,,RPUNMLLLPHHGFDC18CC
七堵區,建物,基隆市七堵區光明路１２０號７樓,0.0,住,,,1110720,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881122,85.77,2,2,2,有,有,有,12000,140,,0.0,0,,RPVNMLLLPHHGFDC28CC
七堵區,建物,基隆市七堵區福五街４６號６樓,0.0,住,,,1110720,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821013,122.11000000000001,2,2,1,有,有,有,15000,123,,0.0,0,,RPWNMLLLPHHGFDC38CC
中正區,建物,基隆市中正區觀海街１７０號１５樓,0.0,住,,,1110708,土地0建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,152.9,3,1,2,有,有,有,14000,92,,0.0,0,,RPTOMLLLPHHGFDC18CC
七堵區,建物,基隆市七堵區溪頭街２６之３號,0.0,住,,,1110711,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710521,87.5,3,1,1,有,無,有,9000,103,,0.0,0,水電瓦斯費、網路費由承租人負擔。,RPWNMLMLPHHGFDC48CC
信義區,建物,基隆市信義區正信路１７９之３號２樓,0.0,住,,,1110701,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840302,141.88,3,2,2,有,無,有,15000,106,,0.0,0,水電瓦斯費、網路費由承租人負擔。,RPOOMLMLPHHGFDC77CC
信義區,建物,基隆市信義區深溪路５５巷５０號５樓之２,0.0,住,,,1110719,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,137.03,3,2,2,有,有,有,17500,128,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPPOMLMLPHHGFDC87CC
仁愛區,建物,基隆市仁愛區龍安街１４０號３樓,0.0,商,,,1110701,土地0建物1車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820819,49.17,1,0,1,有,無,有,8000,163,,0.0,0,水電瓦斯費、網路費由承租人負擔。,RPQOMLMLPHHGFDC97CC
信義區,建物,基隆市信義區深溪路３８巷６之７號,0.0,住,,,1110719,土地0建物1車位0,一層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1061109,97.41,3,1,1,有,有,有,15000,154,,0.0,0,水電費、瓦斯費、網路費及每月管理費1574元皆由承租人負擔。,RPSOMLMLPHHGFDC18CC
中正區,建物,基隆市中正區調和街１７之２號,0.0,住,,,1110708,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760323,91.91,3,2,1,有,無,有,12000,131,,0.0,0,,RPUOMLMLPHHGFDC38CC
中正區,建物,基隆市中正區武昌街１０４巷３６號,0.0,住,,,1110722,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0630119,80.6,3,2,1,有,無,有,12000,149,,0.0,0,,RPOOMLPLPHHGFDC08CC
中正區,建物,基隆市中正區新豐街１６２巷３０號３樓,0.0,住,,,1110704,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1101014,106.41,2,2,1,有,有,有,15000,141,,0.0,0,,RPSOMLPLPHHGFDC48CC
信義區,建物,基隆市信義區東信路２３６巷４３之２號,0.0,住,,,1110722,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680223,77.3,2,2,2,有,無,有,13500,175,,0.0,0,,RPTOMLPLPHHGFDC58CC
中正區,建物,基隆市中正區新豐街１７４號５樓,0.0,住,,,1110723,土地0建物1車位0,五層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,111.95,3,1,2,有,有,有,15000,134,,0.0,0,,RPXOMLPLPHHGFDC98CC
中山區,建物,基隆市中山區通仁街１４５號底二層,0.0,住,,,1110725,土地0建物1車位0,地下一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660813,85.52,4,2,1,有,無,有,13000,152,,0.0,0,,RPOPMLPLPHHGFDC18CC
信義區,建物,基隆市信義區東信路１３２巷３號,0.0,住,,,1110721,土地0建物1車位0,全,1,透天厝,住家用,磚造,,38.76,4,2,2,有,無,有,15000,387,,0.0,0,水電瓦斯費、網路費由承租人負擔。,RPQPMLPLPHHGFDC38CC
仁愛區,房地(土地+建物),基隆市仁愛區孝四路２９號,0.0,商,,,1110715,土地1建物1車位0,見其他登記事項,,公寓(5樓含以下無電梯),,,,0.0,0,0,0,無,無,無,30000,0,,0.0,0,租賃範圍為4樓及5樓外牆，作為競選帆布廣告使用。帆布面積為6000cm*600cm。,RPVPMLPLPHHGFDC88CC
中山區,建物,基隆市中山區復興路２５９巷３５號４樓,0.0,住,,,1110725,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831003,82.11,3,1,2,有,無,有,9000,110,,0.0,0,,RPTNMLRLPHHGFDC68CC
仁愛區,建物,基隆市仁愛區成功一路１２９號３樓,0.0,住,,,1110719,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0860630,153.75,3,2,2,有,有,有,16000,104,,0.0,0,水電瓦斯費、網路費及每月管理費300元由承租人負擔。,RPQOMLRLPHHGFDC48CC
中山區,建物,基隆市中山區復興路２１２巷１２弄３１之２號,0.0,住,,,1110720,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711209,89.14999999999999,3,2,1,有,無,有,8000,90,,0.0,0,水電瓦斯費、網路費由承租人負擔。,RPXOMLRLPHHGFDC56CC
中正區,建物,基隆市中正區祥豐街１５３之３號,0.0,住,,,1110701,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0580802,68.02,2,1,1,有,無,有,6000,88,,0.0,0,,RPOPMLRLPHHGFDC38CC
中正區,建物,基隆市中正區祥豐街６８巷４５號,0.0,住,,,1110708,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0700815,153.52,3,2,4,有,無,有,15000,98,,0.0,0,,RPRPMLRLPHHGFDC68CC
