鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中西區,房地(土地+建物),臺南市中西區府前路二段２５８巷３３號四樓之１７,5.47,都市：其他:住宅區,,,1110805,土地4建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790615,24.65,1,0,1,有,有,1800000,73022,,0.0,0,包含公共設施保留地用地；,RPVOMLSJQHHGFAD68DA,13.9,0.0,2.0,有,0001
安南區,房地(土地+建物),臺南市安南區公學路六段４６９巷５２弄２號,122.32,都市：其他:住宅區,,,1110812,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0800402,164.31,4,3,3,有,無,2910000,17710,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPRNMLMKQHHGFBD77DA,159.06,0.0,5.25,無,0002
安南區,土地,頂安段329-5地號,436.61,都市：其他:細部計畫道路用地,,,1110801,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1320000,3023,,0.0,0,包含公共設施保留地用地；,RPOQMLQKQHHGFBD18DA,0.0,0.0,0.0,無,
東區,房地(土地+建物),臺南市東區崇明十三街２號三樓之４,32.9,都市：其他:第五種住宅區,,,1110810,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691217,104.11,3,2,2,有,無,6150000,59072,,0.0,0,,RPVNMLSKQHHGFCD88DA,99.35,0.0,0.0,無,
新營區,房地(土地+建物),臺南市新營區和平路１０４巷１５號,72.48,都市：其他:主要計畫道路用地,,,1110801,土地9建物1車位0,一層，二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0670621,81.76,2,2,2,有,無,5000000,61155,,0.0,0,,RPWNMLSJQHHGFDD98DA,81.76,0.0,0.0,無,0003
新營區,房地(土地+建物),臺南市新營區復興路６２０巷６３號二樓之三,8.44,都市：其他:住宅區,,,1110801,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800530,34.71,1,1,1,有,無,880000,25353,,0.0,0,,RPSNMLSKQHHGFDD68DA,26.14,0.0,0.0,有,
後壁區,土地,新東段663-1地號,22.7,,鄉村區,乙種建築用地,1110812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,216400,9533,,0.0,0,,RPPNMLOKQHHGFED08DA,0.0,0.0,0.0,無,
後壁區,房地(土地+建物),臺南市後壁區頂安里７２號,354.0,,鄉村區,乙種建築用地,1110802,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0841107,187.55,6,3,4,有,無,7500000,39989,,0.0,0,其他增建；,RPQNMLTKQHHGFED68DA,179.24,0.0,8.31,無,
六甲區,房地(土地+建物),臺南市六甲區二甲里中山路２２１巷２５號,230.9,都市：其他:住宅區,,,1110801,土地3建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0770314,113.7,3,1,2,有,無,1500000,13193,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLMJQHHGFFD68DA,108.8,0.0,4.9,無,
下營區,房地(土地+建物)+車位,臺南市下營區新興里中華街５５號６樓之６,38.06,都市：其他:住宅區,,,1110811,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1110502,116.32000000000001,3,2,2,有,有,6350000,54591,一樓平面,0.0,650000,車位為法定空地停車位。,RPRNMLQKQHHGFFD58DA,68.45,0.0,7.56,有,
將軍區,土地,山子脚段3097-8地號,235.0,,鄉村區,乙種建築用地,1110812,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,2553,,0.0,0,畸零地或有合併使用效益；,RPPNMLTKQHHGFGD78DA,0.0,0.0,0.0,無,
學甲區,土地,溪洲子寮段497地號,287.0,,一般農業區,農牧用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,290000,1010,,0.0,0,,RPSNMLTKQHHGFGD09DA,0.0,0.0,0.0,無,
新市區,土地,大榮段83地號,621.06,都市：其他:計畫道路用地,,,1110805,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29918554,48173,,0.0,0,本案買賣移轉之印花稅、登記規費、代辦代書費等相關費用皆由買方負擔。包含公共設施保留地用地；,RPTOMLMKQHHGFHD68DA,0.0,0.0,0.0,無,0004
新市區,土地,潭頂段1204地號,2440.0,,特定農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12444000,5100,,0.0,0,,RPPNMLSKQHHGFHD78DA,0.0,0.0,0.0,無,
善化區,房地(土地+建物),臺南市善化區溪底寮１２號之１,135.0,,特定農業區,甲種建築用地,1110804,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0570701,67.24,4,2,1,有,無,3000000,44616,,0.0,0,,RPRNMLSKQHHGFHD98DA,67.24,0.0,0.0,無,
