鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中西區,房地(土地+建物)+車位,臺南市中西區中華西路二段６５１號１８樓之１,37.49,住,,,1110628,土地1建物1車位2,十八層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1051104,427.53,3,3,4,有,有,有,65000,152,坡道平面,89.54,0,,RPUNMLLLPHHGFAD97CC
中西區,建物,臺南市中西區民族路二段２３號,0.0,商,,,1110716,土地0建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0550321,58.91,0,1,1,有,無,無,32000,543,,0.0,0,,RPVNMLLLPHHGFAD08CC
中西區,建物,臺南市中西區永華路一段３６號１１樓之６,0.0,住,,,1110712,土地0建物1車位0,十一層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850301,41.91,1,0,1,有,有,有,7300,174,,0.0,0,台南市不動產租賃公會民間住宅包租代管計畫；每月水電、瓦斯費由承租人負擔。,RPQOMLLLPHHGFAD67CC
安南區,土地,本淵段29地號,330.57,農,,,1110707,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,28500,86,,0.0,0,租賃部份面積，現有鐵皮屋約100坪,RPSNMLLLPHHGFBD87CC
安南區,建物,臺南市安南區長溪路一段４０７巷１０２弄４號,0.0,住,,,1110630,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0780112,150.24,4,2,3,有,無,有,36000,240,,0.0,0,租賃期間含免租金裝潢期。,RPXNMLLLPHHGFBD38CC
安南區,建物,臺南市安南區公學路四段１２２巷８５弄１１號,0.0,其他,,,1110701,土地0建物1車位0,見其他登記事項,9,華廈(10層含以下有電梯),超級市場,鋼筋混凝土造,0850829,188.25,3,2,3,有,有,有,18000,96,,0.0,0,,RPOOMLLLPHHGFBD57CC
永康區,建物,臺南市永康區小北路２２之１號,0.0,工,,,1110714,土地0建物1車位0,全,4,透天厝,工業用,鋼筋混凝土造,0980326,175.56,1,1,1,有,無,無,65000,370,,0.0,0,,RPVNMLLLPHHGFKD09CC
永康區,土地,大灣段1339-3地號,330.57,農,,,1110715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,32000,97,,0.0,0,,RPSPMLLLPHHGFKD98CC
永康區,房地(土地+建物),臺南市永康區國華街１０２巷１００號４樓之２,19.12,住,,,1110721,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0831006,109.41,3,2,2,有,有,有,20000,183,,0.0,0,,RPVPMLLLPHHGFKD66CC
仁德區,土地,公園段108地號,247.93,農,,,1110716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,22500,91,,0.0,0,承租土地約75坪，承租未保存登記建物約75坪。,RPXNMLLLPHHGFID09CC
善化區,房地(土地+建物)+車位,臺南市善化區六分寮２６０之１號五樓,0.0,,鄉村區,乙種建築用地,1110630,土地0建物1車位1,五層,6,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1070425,128.51,3,1,3,有,無,有,25000,195,一樓平面,0.0,0,,RPRNMLLLPHHGFHD38CC
