鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新興區,土地,新興段一小段1126地號,15.2,都市：其他:道路用地,,,1110808,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,330000,21711,,0.0,0,包含公共設施保留地用地；,RPTNMLSJQHHGFBE58DA,0.0,0.0,0.0,無,
苓雅區,房地(土地+建物),高雄市苓雅區自強三路１２０巷１４號,22.33,商,,,1110810,土地2建物1車位0,全,二層,透天厝,,加強磚造,0540401,24.81,3,2,2,有,無,2200000,88674,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPXOMLKKQHHGFBE38DA,24.81,0.0,0.0,無,0001
苓雅區,土地,林興段471地號,36.0,都市：其他:道路用地,,,1110811,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,680400,18900,,0.0,0,包含公共設施保留地用地；,RPQNMLNKQHHGFBE87DA,0.0,0.0,0.0,無,
苓雅區,房地(土地+建物),高雄市苓雅區自強三路５號三十樓之２６,1.33,商,,,1110812,土地2建物1車位0,三十層,八十五層,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0880401,35.29,1,1,1,有,有,1170000,33154,,0.0,0,,RPWNMLQKQHHGFBE78DA,19.64,0.0,4.95,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區四維四路１０號３樓之１,44.61,商,,,1110801,土地1建物1車位3,三層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0820202,562.19,4,0,0,有,有,25200000,44825,坡道平面,0.0,0,,RPUPMLRKQHHGFBE88DA,361.71,0.0,19.54,有,0002
小港區,房地(土地+建物),高雄市小港區店陽街１０號二樓,22.13,住,,,1110803,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811230,131.94,3,2,2,有,有,5500000,41686,,0.0,0,,RPOOMLRKQHHGFCE28DA,81.47,0.0,12.4,有,
三民區,房地(土地+建物),高雄市三民區市中一路４５８巷１５之２號,37.04,住,,,1110802,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680417,85.97,3,2,2,有,無,5400000,62813,,0.0,0,,RPQOMLPKQHHGFDE38DA,80.93,5.04,0.0,無,0003
楠梓區,房地(土地+建物),高雄市楠梓區安泰街１８２巷１號三樓之３,5.47,住,,,1110803,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土結構造,0930413,26.33,1,1,1,有,有,1410000,53551,,0.0,0,,RPXPMLOJQHHGFEE09DA,14.0,1.05,1.27,有,0004
楠梓區,房地(土地+建物)+車位,高雄市楠梓區常德路２４０巷２３弄６４號五樓,25.6,住,,,1110803,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820513,156.95,4,2,2,有,有,8100000,51609,坡道平面,0.0,0,,RPVNMLMKQHHGFEE58DA,99.21,3.46,10.13,有,
