鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,建物,高雄市鼓山區中華一路９７６之１號,0.0,住,,,1110703,土地0建物1車位0,一層,1,店面(店鋪),商業用,鋼骨造,0930113,102.68,0,1,1,有,無,無,132500,1290,,0.0,0,,RPRNMLLLPHHGFAE77CC
鹽埕區,建物,高雄市鹽埕區府北路２０號６樓之８,0.0,商,,,1110720,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0691117,26.27,1,0,0,無,有,有,6000,228,,0.0,0,,RPPOMLLLPHHGFAE67CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區富農路８８號７樓,20.96,商,,,1110717,土地1建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020522,318.93,4,2,3,有,有,有,63000,198,坡道平面,23.17,0,,RPQOMLLLPHHGFAE77CC
鼓山區,房地(土地+建物),高雄市鼓山區明華路３０５號２１樓之１,8.61,商,,,1110706,土地1建物1車位0,二十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840125,135.18,3,2,2,有,有,有,18300,135,,0.0,0,,RPROMLLLPHHGFAE87CC
苓雅區,房地(土地+建物),高雄市苓雅區和平一路２９５號３樓之６,4.9,商,,,1110708,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061110,69.71,2,1,1,有,有,有,22000,316,,0.0,0,,RPSNMLLLPHHGFBE97CC
苓雅區,建物,高雄市苓雅區青年一路４巷１６號,0.0,住,,,1110630,土地0建物1車位0,全,4,透天厝,,鋼筋混凝土造,0681226,163.74,6,5,4,有,無,無,23000,140,,0.0,0,房屋用途做倉儲使用。,RPOOMLLLPHHGFBE67CC
苓雅區,建物,高雄市苓雅區光明街７９號四樓之２,0.0,商,,,1110711,土地0建物1車位0,四層,12,套房(1房1廳1衛),,鋼筋混凝土造,0721216,34.19,1,1,1,有,有,有,10000,292,,0.0,0,,RPQOMLLLPHHGFBE87CC
三民區,房地(土地+建物)+車位,高雄市三民區鼎山街５７５號７樓之２,14.47,住,,,1110720,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990115,153.88,3,2,2,有,有,有,24000,156,坡道平面,0.0,0,,RPTNMLLLPHHGFDE28CC
三民區,房地(土地+建物),高雄市三民區建國三路４１１號１０樓-９,4.91,商,,,1110720,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1110304,70.66,2,1,1,有,有,有,20000,283,,0.0,0,,RPQOMLLLPHHGFDE08CC
三民區,房地(土地+建物),高雄市三民區覺民路１３號９樓,10.7,住,,,1110711,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080618,80.93,2,2,1,有,有,有,20000,247,,0.0,0,,RPUOMLLLPHHGFDE48CC
三民區,房地(土地+建物),高雄市三民區建國一路３８５巷１８弄３號五樓,24.9,住,,,1110627,土地2建物1車位0,五層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0770830,108.86999999999999,3,2,2,有,有,有,12000,110,,0.0,0,1.租金於112年7月25日起調整為每月12500元。2.租金包含管理費。,RPWOMLLLPHHGFDE68CC
左營區,建物,高雄市左營區重愛路９６號十二樓,0.0,住,,,1110714,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840824,114.7,3,2,2,有,有,有,17000,148,,0.0,0,,RPXPMLLLPHHGFEE98CC
楠梓區,房地(土地+建物),高雄市楠梓區藍昌路２６０號１２樓,14.8,住,,,1110707,土地1建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1061226,80.19,1,1,1,有,有,有,17000,212,,0.0,0,,RPTQMLLLPHHGFEE68CC
左營區,建物,高雄市左營區博愛二路４２０號二十五樓之１,0.0,住,,,1110630,土地0建物1車位0,見其他登記事項,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870217,162.39,4,2,2,有,有,有,29780,183,,0.0,0,租賃範圍不含車位，已扣除車位面積。,RPUQMLLLPHHGFEE78CC
左營區,房地(土地+建物),高雄市左營區至真路５０１號６樓之７,9.29,住,,,1110708,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1110112,83.53,2,1,1,有,有,有,19000,227,,0.0,0,,RPWQMLLLPHHGFEE98CC
前鎮區,房地(土地+建物),高雄市前鎮區中山二路１９０號１３樓,5.94,商,,,1110702,土地1建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000125,76.97999999999999,1,1,1,有,有,有,17500,227,,0.0,0,,RPRNMLLLPHHGFCE97CC
鳳山區,房地(土地+建物),高雄市鳳山區文清街３號３樓之８,3.28,住,,,1110716,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701201,13.23,1,0,1,有,無,有,5000,378,,0.0,0,,RPSNMLLLPHHGFGE48CC
鳳山區,房地(土地+建物),高雄市鳳山區文清街３號３樓之８,6.56,住,,,1110719,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701201,26.45,1,0,1,有,無,有,9500,359,,0.0,0,,RPUNMLLLPHHGFGE68CC
鳳山區,土地,華英段46地號,400.4,住,,,1110630,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,50000,125,,0.0,0,,RPTOMLLLPHHGFGE68CC
鳳山區,建物,高雄市鳳山區南京路４４５巷１０之４號,0.0,住,,,1110715,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710628,73.65,3,2,2,有,無,有,10000,136,,0.0,0,,RPPPMLLLPHHGFGE38CC
大寮區,土地,磚子9bf7段3825-2地號,66.12,農,,,1110701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,12000,181,,0.0,0,承租部分地坪約20坪，承租未保存登記建物約17坪。,RPWNMLLLPHHGFLE76CC
大寮區,土地,山子頂段3534地號,2735.0,工,,,1110707,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,130000,48,,0.0,0,承租地坪共約827.34坪，承租未保存登記建物約575坪。,RPXNMLLLPHHGFLE86CC
大寮區,土地,磚子9bf7段2963地號,247.93,農,,,1110709,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,21000,85,,0.0,0,承租部分地坪約75坪，承租未保存登記建物約65坪。,RPOOMLLLPHHGFLE68CC
大寮區,建物,高雄市大寮區民昌街１００號,0.0,住,,,1110701,土地0建物0車位0,一層,5,套房(1房1廳1衛),住商用,鋼筋混凝土造,0720210,23.139999999999997,1,0,1,有,無,有,7500,324,,0.0,0,此為分租套房，1間面積約為23.14平方公尺。每月電費、瓦斯費由承租人另外負擔。,RPQOMLLLPHHGFLE88CC
阿蓮區,建物,高雄市阿蓮區信義路２２８號７樓之２,0.0,住,,,1110709,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0841005,104.16,3,1,2,有,無,有,7500,72,,0.0,0,此為高雄市政府社會住宅包租代管計畫之物件，評定市價租金為 8334 元，選擇代管方案需打 9 折，實際租賃契約金額為 7500 元。水電瓦斯、網路費及每月清潔費700元由承租人另外負擔。,RPWNMLMLPHHGFJE66CC
橋頭區,房地(土地+建物)+車位,高雄市橋頭區經武路１１３０巷１６７號１１樓,3.06,住,,,1110720,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100128,95.78999999999999,2,1,1,有,無,有,17000,177,坡道平面,27.99,0,,RPUNMLMLPHHGFFE68CC
鳥松區,建物,高雄市鳥松區大埤路２９之１９７號九樓,0.0,商,,,1110713,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700116,43.13,1,0,0,無,有,有,9000,209,,0.0,0,,RPSNMLMLPHHGFIE78CC
大社區,建物,高雄市大社區中山路２０１巷１１弄１９號五樓,0.0,住,,,1110722,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840606,137.14,3,2,2,有,無,有,9000,66,,0.0,0,,RPUNMLMLPHHGFIE98CC
鳥松區,建物,高雄市鳥松區松埔北巷４之１８２號七樓之２,0.0,,鄉村區,乙種建築用地,1110720,土地0建物1車位0,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840915,85.91,2,1,1,有,有,有,12500,146,,0.0,0,,RPVNMLMLPHHGFIE09CC
仁武區,建物,高雄市仁武區仁慈路１０９巷２號,0.0,住,,,1110707,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0681110,181.48,0,2,2,有,無,有,30000,165,,0.0,0,房屋用途做辦公室使用。,RPSOMLMLPHHGFIE88CC
鳳山區,房地(土地+建物),高雄市鳳山區漁村街８３之４號,26.95,住,,,1110721,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701110,79.85,3,2,2,有,無,無,11000,138,,0.0,0,,RPVNMLMLPHHGFGE88CC
鳳山區,房地(土地+建物),高雄市鳳山區中山路２巷２７號１４樓,12.08,商,,,1110712,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100104,106.53,2,2,2,有,有,有,23000,216,,0.0,0,,RPWNMLMLPHHGFGE98CC
鳳山區,建物,高雄市鳳山區國富路２９號六樓,0.0,其他,,,1110711,土地0建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840512,169.56,4,2,2,有,有,有,23500,139,,0.0,0,租金含管理費。,RPPPMLMLPHHGFGE48CC
