鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
板橋區,建物,新北市板橋區華江一路２１１號１５樓,0.0,住,,,1110715,土地0建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091117,79.81,2,2,1,有,有,有,22500,282,,0.0,0,,RPOPMLLLPHHGFAF77CC
板橋區,房地(土地+建物),新北市板橋區大同街８巷４５號,24.25,住,,,1110720,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,68.13,3,2,2,有,無,無,26000,382,,0.0,0,,RPQPMLLLPHHGFAF97CC
板橋區,建物,新北市板橋區南雅東路１之５號４樓,0.0,住,,,1110714,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960809,42.33,1,1,1,有,有,有,15900,376,,0.0,0,,RPRPMLLLPHHGFAF08CC
板橋區,建物,新北市板橋區南雅東路８號３樓,0.0,商,,,1110714,土地0建物1車位0,三層,11,其他,一般事務所,鋼筋混凝土造,0861121,48.21000000000001,1,1,1,有,有,有,15000,311,,0.0,0,,RPTPMLLLPHHGFAF28CC
板橋區,建物,新北市板橋區龍泉街９０巷１號２樓,0.0,住,,,1110713,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840111,122.98,3,2,2,有,有,有,28000,228,,0.0,0,,RPUPMLLLPHHGFAF38CC
土城區,建物,新北市土城區福祥街２５號２樓,0.0,住,,,1110708,土地0建物1車位0,二層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820616,36.6,1,1,1,有,有,有,15000,410,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為16700，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額15000。管理費554元,RPQQMLLLPHHGFAF08CC
土城區,建物,新北市土城區金安街１９號１０樓,0.0,住,,,1110608,土地0建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830201,98.03,3,2,2,有,有,有,20000,204,,0.0,0,,RPWQMLLLPHHGFAF68CC
板橋區,建物,新北市板橋區大明街２５巷２弄３３號,0.0,住,,,1110707,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,75.65,2,1,1,有,無,無,25000,330,,0.0,0,,RPSRMLLLPHHGFAF38CC
板橋區,建物,新北市板橋區南雅南路二段１１之７號五樓,0.0,住,,,1110709,土地0建物1車位0,五層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860911,75.57,2,2,1,有,有,有,26000,344,,0.0,0,租金含管理費。租賃範圍不含車位，已扣除車位面積。,RPPSMLLLPHHGFAF18CC
板橋區,建物,新北市板橋區新府路１０２號十五樓,0.0,其他,,,1110625,土地0建物1車位0,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971119,48.59,1,1,1,有,有,有,15000,309,,0.0,0,,RPVSMLLLPHHGFAF78CC
新莊區,建物,新北市新莊區新莊路６１７號之１ ３樓,0.0,住,,,1110716,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681127,79.22,3,1,2,有,無,有,18700,236,,0.0,0,,RPRNMLLLPHHGFBF97CC
新莊區,建物,新北市新莊區萬安街１號１４號之９,0.0,住,,,1110713,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970418,43.0,1,1,1,有,有,有,13800,321,,0.0,0,,RPTNMLLLPHHGFBF18CC
新莊區,建物,新北市新莊區中原路１８５之１號８樓,0.0,住,,,1110711,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880909,97.75,3,2,2,有,有,有,25000,256,,0.0,0,,RPUNMLLLPHHGFBF28CC
五股區,建物,新北市五股區五福路１５８號２樓,0.0,住,,,1110706,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1000307,88.67999999999999,2,1,1,有,無,有,20000,226,,0.0,0,此物件加入新北市社會住宅包租代管計畫，評定市價租金為25000元，包租包管方案打八折為20000元，以20000元為簽訂租賃契約租金。,RPOOMLLLPHHGFBF77CC
泰山區,房地(土地+建物),新北市泰山區泰林路２段１１６巷２弄９號,55.0,住,,,1110720,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0580701,84.8,0,0,0,無,無,無,22500,265,,0.0,0,,RPPOMLLLPHHGFBF87CC
五股區,建物,新北市五股區水碓七路１１３號二樓,0.0,住,,,1110630,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040918,121.38000000000001,3,2,2,有,有,有,22000,181,,0.0,0,,RPPPMLLLPHHGFBF97CC
