鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市大坡路一段６１巷５號四樓之二,19.8,都市：其他:商業區,,,1110804,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110512,63.65,2,1,2,有,無,4700000,73841,,0.0,0,,RPVNMLTKQHHGFBG56DA,45.04,0.0,4.47,有,001
五結鄉,房地(土地+建物),宜蘭縣五結鄉孝威二路６５巷６號,101.17,,特定農業區,甲種建築用地,1110801,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040416,166.74,4,2,4,有,有,8600000,51577,,0.0,0,,RPUNMLKKQHHGFAG08DA,153.91,0.0,12.83,無,002
三星鄉,土地,田心段546地號,4180.0,,特定農業區,農牧用地,1110802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16437000,3932,,0.0,0,,RPUOMLNLQHHGFAG58DA,0.0,0.0,0.0,無,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉功勞路９０之２號,90.0,,特定農業區,甲種建築用地,1110812,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030103,180.25,4,2,4,有,無,10000000,55479,,0.0,0,法定空地有增建。其他增建；,RPPNMLKLQHHGFBG77DA,165.02,0.0,15.23,無,003
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市七張路４７６巷３２弄１號,113.08,,特定農業區,甲種建築用地,1110805,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080514,176.52,3,2,3,有,無,10800000,61183,,0.0,0,陽台外推；,RPPNMLSKQHHGFBG48DA,158.71,0.0,17.81,無,004
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉隆昌路１０號九樓,20.38,都市：其他:住宅區,,,1110808,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960705,152.23000000000002,3,2,2,有,有,11300000,74230,坡道平面,0.0,0,,RPQNMLNLQHHGFAG18EA,89.51,0.0,10.66,有,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉信義路３４巷６號五樓之五,7.66,都市：其他:商業區,,,1110806,土地2建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0971231,63.13,1,1,1,有,有,4900000,77618,,0.0,0,1.車位隨到隨停,RPUNMLMLQHHGFBG48DA,31.57,4.77,0.0,有,005
蘇澳鎮,土地,武荖坑段403地號,67.97,都市：其他:工業區,,,1110808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,26482,,0.0,0,,RPTOMLNLQHHGFAG48DA,0.0,0.0,0.0,無,006
冬山鄉,土地,鹿安一段1115地號,50.76,,特定農業區,農牧用地,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,260000,5122,,0.0,0,,RPOOMLTKQHHGFAG48DA,0.0,0.0,0.0,無,
