鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
宜蘭市,建物,宜蘭縣宜蘭市中山路一段７１８號,0.0,其他,,,1110711,土地0建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,0751224,61.18,0,0,1,有,無,無,17000,278,,0.0,0,,RPTNMLMLPHHGFBG38CC
宜蘭市,建物,宜蘭縣宜蘭市自強路１２６號６樓之６,0.0,住,,,1110713,土地0建物1車位0,六層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0801121,21.990000000000002,1,0,1,有,有,有,5000,227,,0.0,0,每月水電瓦斯、網路費由承租人另外負擔。,RPVNMLMLPHHGFBG58CC
宜蘭市,建物,宜蘭縣宜蘭市進士路二段４７２巷３號２樓,0.0,住,,,1110715,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830816,116.22,3,1,2,有,有,有,14000,120,,0.0,0,每月水電瓦斯、網路費由承租人另外負擔。,RPWNMLMLPHHGFBG68CC
宜蘭市,建物,宜蘭縣宜蘭市新興路１７３巷１６號,0.0,住,,,1110715,土地0建物2車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,,106.51,3,2,1,有,無,有,9000,84,,0.0,0,每月水電瓦斯、網路費由承租人另外負擔。,RPOOMLMLPHHGFBG97CC
五結鄉,建物,宜蘭縣五結鄉親河路二段８８巷８１號,0.0,,特定農業區,甲種建築用地,1110715,土地0建物1車位0,一層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0871127,55.96,1,0,1,有,無,有,8500,152,,0.0,0,每月水電瓦斯、網路費由承租人另外負擔。,RPROMLMLPHHGFAG18CC
羅東鎮,建物,宜蘭縣羅東鎮培英路１３２號三樓之１,0.0,商,,,1110718,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841122,114.06,3,1,2,有,無,有,12000,105,,0.0,0,,RPSNMLQLPHHGFAG58CC
宜蘭市,建物,宜蘭縣宜蘭市北津路５巷７號,0.0,住,,,1110720,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0770310,114.87,3,3,2,有,無,有,15000,131,,0.0,0,,RPSNMLQLPHHGFBG68CC
宜蘭市,建物,宜蘭縣宜蘭市負郭路６１巷８號,0.0,住,,,1110720,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0650525,83.2,2,1,2,有,無,有,14000,168,,0.0,0,,RPUNMLQLPHHGFBG88CC
宜蘭市,建物,宜蘭縣宜蘭市文昌路１７６之１號,0.0,住,,,1110716,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720818,81.49,3,1,1,有,無,有,13000,160,,0.0,0,,RPVNMLQLPHHGFBG98CC
宜蘭市,建物,宜蘭縣宜蘭市自強路１７１號三樓,0.0,住,,,1110721,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861212,35.26,1,0,1,有,有,有,6500,184,,0.0,0,水電瓦斯費、網路費及每月管理費535元由承租人負擔。,RPSNMLRLPHHGFBG78CC
礁溪鄉,建物,宜蘭縣礁溪鄉大忠路９６號４樓之１０,0.0,住,,,1110721,土地0建物1車位0,四層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880831,44.42,1,1,1,有,有,有,11000,248,,0.0,0,,RPXNMLRLPHHGFBG66CC
宜蘭市,建物,宜蘭縣宜蘭市農權路三段１６３巷１弄５７號五樓,0.0,住,,,1110722,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830803,101.15,3,2,2,有,有,有,15000,148,,0.0,0,水電瓦斯費、網路費由承租人負擔。,RPUOMLRLPHHGFBG09CC
三星鄉,建物,宜蘭縣三星鄉農義路二段１５巷７號五樓,0.0,,特定農業區,甲種建築用地,1110722,土地0建物1車位0,五層,5,套房(1房1廳1衛),鄉村住宅,鋼筋混凝土造,0841121,65.34,1,0,1,有,無,有,6000,92,,0.0,0,水電瓦斯費、網路費由承租人負擔。,RPUNMLRLPHHGFAG88CC
宜蘭市,建物,宜蘭縣宜蘭市女中路三段７６號九樓,0.0,住,,,1110725,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840622,114.85,3,2,2,有,有,有,14550,127,,0.0,0,,RPOOMLSLPHHGFBG58CC
宜蘭市,建物,宜蘭縣宜蘭市民權路二段２４８號六樓,0.0,住,,,1110725,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871105,93.00999999999999,2,2,1,有,有,有,11000,118,,0.0,0,,RPVPMLSLPHHGFBG76CC
