鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物),桃園市桃園區永康街３６號,110.0,住,,,1110804,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0610103,215.18,6,3,3,有,無,20000000,92945,,0.0,0,,RPUOMLSKQHHGFAH09DA,215.18,0.0,0.0,無,
觀音區,建物,桃園市觀音區保障里草漯４９之６號,0.0,,,,1110805,土地0建物1車位0,全,二層,透天厝,辦公用,鋼骨造,1030122,6222.17,0,0,0,無,無,79065000,12707,,0.0,0,,RPSPMLLKQHHGFBH38DA,6222.17,0.0,0.0,無,
觀音區,土地,甘泉段1240地號,78.27,都市：其他:住宅區,,,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5577520,71260,,0.0,0,,RPOSMLLKQHHGFBH28DA,0.0,0.0,0.0,無,
觀音區,土地,新坡段新坡小段1-47地號,183.94,都市：其他:道路用地,,,1110805,土地26建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2503800,13612,,0.0,0,,RPPTMLPKQHHGFBH88DA,0.0,0.0,0.0,無,
中壢區,房地(土地+建物)+車位,桃園市中壢區松義二街１８號十一樓,22.8,都市：其他:住宅區,,,1110806,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060519,143.39999999999998,2,2,1,有,有,9000000,62762,坡道平面,38.96,0,,RPOPMLRKQHHGFBH58DA,60.3,0.0,10.83,有,0001
中壢區,土地,芭里段594-2地號,126.34,,特定農業區,農牧用地,1110811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,12664,,0.0,0,,RPOQMLRKQHHGFBH68DA,0.0,0.0,0.0,無,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２３６號十一樓,24.06,都市：其他:住宅區,,,1110802,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,150.39,3,2,2,有,有,15860000,114323,坡道平面,28.28,1900000,,RPWSMLRKQHHGFBH07DA,71.28,2.05,6.94,有,
中壢區,土地,普義段961地號,2721.0,都市：其他:住宅區,,,1110805,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,252692468,92868,,0.0,0,,RPUVMLRKQHHGFBH17DA,0.0,0.0,0.0,無,
中壢區,房地(土地+建物),桃園市中壢區華勛街１６３巷８號,67.0,都市：其他:住宅區,,,1110809,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0670921,65.0,4,2,5,有,無,9600000,147692,,0.0,0,,RPQOMLTKQHHGFBH88DA,65.0,0.0,0.0,無,0002
