鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,建物,桃園市中壢區三光路１３７號三樓,0.0,住,,,1110714,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1001215,93.88,2,2,1,有,有,有,21000,224,,0.0,0,社會住宅管理費另計2000元,RPQQMLLLPHHGFBH38CC
觀音區,建物,桃園市觀音區福興街２６２號５樓,0.0,住,,,1110706,土地0建物1車位0,五層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1101012,68.83,2,1,1,有,有,有,14500,211,,0.0,0,水電、瓦斯費及每月管理費1300元由承租人負擔。,RPOTMLLLPHHGFBH48CC
中壢區,建物,桃園市中壢區大智街１０之２號,0.0,住,,,1110630,土地0建物0車位0,一層,5,套房(1房1廳1衛),住商用,鋼筋混凝土造,0780529,19.03,1,0,1,有,有,有,5000,263,,0.0,0,租金含管理費。部分承租。,RPPWMLLLPHHGFBH88CC
中壢區,建物,桃園市中壢區領航南路四段１０９號九樓,0.0,住,,,1110705,土地0建物1車位1,九層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090514,124.8,3,2,2,有,有,有,23000,184,坡道平面,32.99,0,租金含管理費。,RPUWMLLLPHHGFBH76CC
桃園區,建物,桃園市桃園區桃德路３９巷５６號,0.0,工,,,1110506,土地0建物1車位0,全,2,透天厝,廠房．辦公室．員工宿舍,鋼筋混凝土造,0770704,144.14,5,2,4,有,無,有,26000,180,,0.0,0,社會住宅,RPQNMLLLPHHGFAH97CC
桃園區,房地(土地+建物),桃園市桃園區德華街２０９巷１１號２樓,16.38,住,,,1110715,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720917,79.41,2,1,1,有,無,無,13000,164,,0.0,0,,RPSOMLLLPHHGFAH28CC
桃園區,建物,桃園市桃園區金門三街５９號六樓,0.0,商,,,1110712,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820806,129.21,3,2,2,有,無,有,16000,124,,0.0,0,社會住宅,RPWOMLLLPHHGFAH68CC
桃園區,房地(土地+建物),桃園市桃園區大興西路二段１號５樓,34.52,住,,,1110705,土地1建物1車位0,五層,12,辦公商業大樓,辦公室,鋼筋混凝土造,0810731,277.26,0,0,0,無,有,無,56000,202,,0.0,0,,RPXOMLLLPHHGFAH78CC
桃園區,建物,桃園市桃園區天祥七街１２１之１號３樓,0.0,商,,,1110711,土地0建物1車位0,三層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920123,52.650000000000006,1,0,1,有,有,有,13000,247,,0.0,0,水電、瓦斯費及每月管理費1500元由承租人負擔。,RPXPMLLLPHHGFAH88CC
