鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路７９０之６號十樓之１,17.7,都市：其他:住宅區,,,1110804,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1050510,146.73,3,2,2,有,有,7300000,49751,坡道機械,0.0,0,,RPSNMLTKQHHGFAI09EA,79.33,2.99,8.9,有,001
嘉義市,房地(土地+建物),嘉義市嘉義市新庄街３９巷６號,89.0,都市：其他:住宅區,,,1110811,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660309,86.4,6,2,5,有,無,7500000,86806,,0.0,0,其他增建；,RPVNMLTKQHHGFAI66DA,86.4,0.0,0.0,無,002
嘉義市,土地,湖內段692-5地號,71.0,都市：其他:住宅區,,,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1718400,24203,,0.0,0,畸零地或有合併使用效益；,RPPOMLMLQHHGFAI18DA,0.0,0.0,0.0,無,
嘉義市,建物,嘉義市嘉義市嘉竹路３６號,0.0,,,,1110801,土地0建物2車位0,全,一層,透天厝,住家用,鋼骨構造,1100706,61.91,0,0,2,有,無,750000,12114,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLMLQHHGFAI28DA,61.91,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市永安街１２８號,63.2,都市：其他:住宅區,,,1110803,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0620410,93.37,2,2,2,有,無,2055480,22014,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLSKQHHGFAI98DA,93.37,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路１９３號十三樓２,14.05,都市：其他:住宅區,,,1110803,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,117.12,2,2,1,有,有,3800000,32445,,0.0,0,,RPWNMLMLQHHGFAI88EA,71.63,0.0,11.11,有,
嘉義市,土地,崎頂段41-8地號,721.17,,,,1110809,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4770000,6614,,0.0,0,,RPXNMLOLQHHGFAI09DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市蘭井街１５２號３樓９,6.24,都市：其他:商業區,,,1110806,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800626,41.510000000000005,1,1,1,有,有,2380000,57336,,0.0,0,,RPVOMLNLQHHGFAI88DA,29.19,0.0,0.0,有,
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路２９４之１號２樓之２,4.37,都市：其他:住宅區,,,1110812,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780203,28.310000000000002,1,1,1,有,有,2000000,70646,,0.0,0,,RPOOMLOLQHHGFAI28DA,14.67,0.0,4.58,有,003
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路３４３號八樓３,4.21,都市：其他:住宅區,,,1110813,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,32.92,0,1,1,有,有,1460000,44350,,0.0,0,,RPROMLOLQHHGFAI58DA,20.21,0.0,2.08,有,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市雙竹街３４號二樓之２,20.98,都市：其他:住宅區,,,1110808,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821117,105.31,3,2,2,有,有,5500000,52227,坡道機械,0.0,0,,RPXNMLPLQHHGFAI56DA,64.25,2.46,15.6,有,004
嘉義市,房地(土地+建物),嘉義市嘉義市中庄里臺斗街１９８號２樓１,30.55,都市：其他:住宅區,,,1110810,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730623,110.42,4,2,2,有,無,3200000,28980,,0.0,0,,RPVNMLKKQHHGFAI38DA,102.75,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市安和街２２２－１８號５樓３,21.85,都市：其他:住宅區,,,1110805,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850214,160.27,4,2,2,有,有,7300000,45548,,0.0,0,,RPSNMLSKQHHGFAI88DA,92.66,1.05,14.8,有,
