鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
嘉義市,房地(土地+建物),嘉義市嘉義市北興街４００巷１號之１６,89.0,住,,,1110713,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0740305,107.88,3,2,2,有,無,有,15000,139,,0.0,0,嘉義市政府包租代管計畫；水電瓦斯費、網路費由承租人負擔。,RPSNMLLLPHHGFAI28CC
嘉義市,房地(土地+建物),嘉義市嘉義市文昌街４６號,134.0,商,,,1110626,土地1建物1車位0,全,1,透天厝,住家用,木造,0230120,122.21,0,1,1,有,無,有,12000,98,,0.0,0,,RPTNMLLLPHHGFAI38CC
嘉義市,建物,嘉義市嘉義市大雅路２段４３３巷２８弄３３號４樓３,0.0,商,,,1110701,土地0建物1車位0,四層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840117,36.849999999999994,1,0,1,有,有,有,7500,204,,0.0,0,嘉義市政府包租代管計畫；水電瓦斯費及每月管理費500元由承租人負擔。,RPVNMLLLPHHGFAI58CC
嘉義市,建物,嘉義市嘉義市建成街１８６號２樓５,0.0,住,,,1110715,土地0建物1車位0,二層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800710,44.2,1,0,1,有,有,有,5600,127,,0.0,0,嘉義市政府包租代管計畫；水電瓦斯費及每月管理費400元由承租人負擔。,RPWNMLLLPHHGFAI68CC
嘉義市,建物,嘉義市嘉義市博愛路一段４８６-１號１０樓５,0.0,住,,,1110624,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831231,110.73,3,1,2,有,有,有,8300,75,,0.0,0,嘉義市社會住宅包租代管第二期計畫,RPROMLLLPHHGFAI28CC
嘉義市,建物,嘉義市嘉義市泰瑞一街６４號６樓３,0.0,住,,,1110628,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820805,67.78,2,1,1,有,有,有,7500,111,,0.0,0,,RPQOMLLLPHHGFAI38EC
嘉義市,房地(土地+建物),嘉義市嘉義市大雅路二段５７８巷１１號,123.0,住,,,1110715,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0670927,154.38,4,2,2,有,無,有,17000,110,,0.0,0,,RPWNMLMLPHHGFAI98EC
嘉義市,房地(土地+建物),嘉義市嘉義市新西街２６號,60.0,住,,,1110706,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0960808,135.88,4,1,3,有,無,有,15000,110,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費由承租人負擔。,RPXNMLPLPHHGFAI56CC
嘉義市,建物,嘉義市嘉義市新生路２８３號七樓４,0.0,住,,,1110708,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801218,124.17,3,1,2,有,有,有,15000,121,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費及每月管理費700元皆由承租人負擔。,RPOOMLPLPHHGFAI38CC
嘉義市,建物,嘉義市嘉義市東洋新?２８８號二樓２,0.0,住,,,1110712,土地0建物1車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0741129,43.050000000000004,1,0,1,有,有,有,6800,158,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費及每月管理費640元皆由承租人負擔。,RPQOMLPLPHHGFAI58CC
嘉義市,房地(土地+建物),嘉義市嘉義市北興街４００巷３號之３,86.0,住,,,1110712,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0700618,173.75,3,5,3,有,無,有,13000,75,,0.0,0,嘉義市政府包租代管計畫 。水電費、瓦斯費由承租人負擔。,RPROMLPLPHHGFAI68CC
