鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
竹北市,土地,社北段728地號,30.74,都市：其他:道路用地,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1347100,43822,,0.0,0,包含公共設施保留地用地；,RPRNMLSKQHHGFBJ98DA,0.0,0.0,0.0,無,
湖口鄉,房地(土地+建物),新竹縣湖口鄉中山路三段６１０巷２０弄３６號三樓之１,6.75,,特定農業區,甲種建築用地,1110809,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930515,29.97,1,0,1,有,有,1030000,34368,,0.0,0,,RPRNMLLKQHHGFDJ48DA,17.28,0.0,0.0,有,
關西鎮,土地,新城段157-8地號,3268.25,,山坡地保育區,農牧用地,1110801,土地15建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,245,,0.0,0,,RPUOMLQKQHHGFBJ66EA,0.0,0.0,0.0,無,
橫山鄉,土地,田洋段170地號,1640.42,,特定農業區,農牧用地,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11400000,6949,,0.0,0,未登記建物；農作物；,RPUNMLMLQHHGFCJ98EA,0.0,0.0,0.0,無,
橫山鄉,土地,矺子段732-18地號,1388.81,,山坡地保育區,林業用地,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1460000,1051,,0.0,0,,RPXNMLSKQHHGFCJ17EA,0.0,0.0,0.0,無,
竹北市,土地,府前段1100地號,32.81,都市：其他:道路用地,,,1110809,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,67053,,0.0,0,包含公共設施保留地用地；,RPRNMLTKQHHGFBJ56EA,0.0,0.0,0.0,無,001
竹北市,房地(土地+建物),新竹縣竹北市國盛街１７１號,81.76,都市：其他:第二種住宅區,,,1110804,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,129.48,6,2,3,有,無,4200000,32437,,0.0,0,,RPTNMLMLQHHGFBJ78EA,129.48,0.0,0.0,無,
湖口鄉,土地,八德段383地號,3028.76,,山坡地保育區,特定目的事業用地,1110819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11451742,3781,,0.0,0,協議價購；,RPQNMLTKQHHGFDJ56DA,0.0,0.0,0.0,無,
竹東鎮,房地(土地+建物),新竹縣竹東鎮東峰路３５０巷４３弄２８號,100.36,,山坡地保育區,丙種建築用地,1110802,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,107.0,5,3,5,有,無,5800000,54206,,0.0,0,,RPWNMLTKQHHGFCJ07DA,107.0,0.0,0.0,無,
竹東鎮,土地,頭重埔段237-73地號,871.57,都市：其他:工業區,,,1110801,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,20652,,0.0,0,,RPQNMLLMPHHGFCJ38DA,0.0,0.0,0.0,無,002
竹北市,土地,省道段410地號,198.14,都市：其他:道路用地,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17432850,87982,,0.0,0,包含公共設施保留地用地；,RPPNMLLLQHHGFBJ18DA,0.0,0.0,0.0,無,003
竹北市,房地(土地+建物),新竹縣竹北市博愛街４８６巷１號二樓,6.66,都市：其他:第三種商業區,,,1110801,土地1建物1車位0,二層,七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0940215,35.67,1,1,1,有,有,3850000,107934,,0.0,0,,RPQNMLMLQHHGFBJ38DA,20.74,0.0,2.56,有,
尖石鄉,土地,梅花段763地號,5130.0,,山坡地保育區,農牧用地,1110811,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,682,,0.0,0,,RPQOMLMLQHHGFCJ68EA,0.0,0.0,0.0,無,
竹東鎮,土地,柯子湖段453-2地號,1149.0,,山坡地保育區,農牧用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1608600,1400,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；受債權債務關係影響或債務抵償；,RPOOMLTKQHHGFCJ09EA,0.0,0.0,0.0,無,
峨眉鄉,土地,中興段四分子小段89地號,5762.71,,山坡地保育區,農牧用地,1110810,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7844484,1361,,0.0,0,,RPVOMLSKQHHGFCJ96DA,0.0,0.0,0.0,無,
竹東鎮,房地(土地+建物),新竹縣竹東鎮五豐街５２巷１７號,71.12,都市：其他:住宅區,,,1110805,土地5建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830629,187.7,5,2,3,有,無,8100000,43154,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRJQHHGFCJ68DA,167.48,3.63,16.59,無,
竹北市,土地,水瀧段1535地號,257.99,都市：其他:第二種住宅區,,,1110811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31216000,120997,,0.0,0,,RPPPMLMLQHHGFBJ48DA,0.0,0.0,0.0,無,004
新豐鄉,房地(土地+建物),新竹縣新豐鄉新興路３１７號,112.19,都市：其他:住宅區,,,1110809,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,,161.98,4,2,3,有,無,5939172,36666,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPLQHHGFDJ88EA,161.98,0.0,0.0,無,
新豐鄉,土地,坪頂段907地號,140.78,,鄉村區,乙種建築用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8500000,60378,,0.0,0,,RPUNMLOLQHHGFDJ66EA,0.0,0.0,0.0,無,005
新豐鄉,房地(土地+建物),新竹縣新豐鄉康樂路一段３６１巷３４弄３１號二樓,18.15,,一般農業區,甲種建築用地,1110801,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971226,81.9,4,0,4,有,有,3500000,42735,,0.0,0,,RPXNMLMLQHHGFDJ66DA,45.36,10.5,4.9,有,006
新埔鎮,土地,汶水坑段1060-102地號,1263.38,,山坡地保育區,農牧用地,1110805,土地15建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4600000,3641,,0.0,0,,RPSPMLMLQHHGFBJ78DA,0.0,0.0,0.0,無,
新埔鎮,土地,和平段1183地號,880.25,都市：其他:道路用地,,,1110811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20500000,23289,,0.0,0,包含公共設施保留地用地；,RPTOMLMLQHHGFBJ78DA,0.0,0.0,0.0,無,007
橫山鄉,土地,內灣段839地號,125.35,,鄉村區,乙種建築用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2105880,16800,,0.0,0,政府機關標讓售；,RPUNMLNLQHHGFCJ98DA,0.0,0.0,0.0,無,
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉埔頂８８之４０號,161.11,,特定農業區,甲種建築用地,1110806,土地3建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,0940620,171.69,5,2,3,有,無,6800000,39606,一樓平面,0.0,0,一樓增建、三樓鐵皮後方其他增建；,RPVNMLTKQHHGFDJ07DA,160.09,0.0,11.6,無,
湖口鄉,房地(土地+建物),新竹縣湖口鄉仁和路６６號,99.0,,工業區,丁種建築用地,1110811,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0870420,241.49,6,2,2,有,無,19500000,80749,,0.0,0,,RPVNMLQLQHHGFDJ96EA,207.78,8.91,24.8,無,
湖口鄉,房地(土地+建物),新竹縣湖口鄉仁和路１６０號,70.0,,工業區,丁種建築用地,1110815,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830106,201.36,6,1,5,有,無,12700000,63071,,0.0,0,,RPWNMLQLQHHGFDJ07EA,167.76,6.72,26.88,無,
湖口鄉,房地(土地+建物),新竹縣湖口鄉仁和路１５８號,72.0,,工業區,丁種建築用地,1110815,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830106,201.36,6,1,5,有,無,12700000,63071,,0.0,0,,RPXNMLQLQHHGFDJ17EA,167.76,6.72,26.88,無,
竹東鎮,土地,竹東段竹東小段296地號,350.99,都市：其他:住宅區,,,1110816,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3360000,9573,,0.0,0,,RPTOMLTLQHHGFCJ07EA,0.0,0.0,0.0,無,
芎林鄉,土地,上山貳段247地號,534.1,,山坡地保育區,農牧用地,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1130957,2118,,0.0,0,,RPPNMLNLQHHGFCJ58EA,0.0,0.0,0.0,無,
新埔鎮,土地,上寮段380地號,340.86,,山坡地保育區,丙種建築用地,1110804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2460000,7217,,0.0,0,,RPSNMLTLQHHGFBJ76EA,0.0,0.0,0.0,無,
竹東鎮,房地(土地+建物),新竹縣竹東鎮和江街４５３巷３９號,142.59,都市：其他:住宅區,,,1110806,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0861114,164.79,5,2,3,有,無,10300000,62504,,0.0,0,頂樓加蓋；,RPPOMLSJQHHGFCJ88DA,164.79,0.0,0.0,無,
關西鎮,土地,關農段306地號,153.24,都市：其他:道路用地,,,1110816,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3460000,22579,,0.0,0,,RPRNMLOLQHHGFBJ68DA,0.0,0.0,0.0,無,
關西鎮,土地,馬武督段赤柯山小段252-168地號,2851.33,,山坡地保育區,林業用地,1110818,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1255000,440,,0.0,0,,RPOPMLQLQHHGFBJ78DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市科大一路２１０號十一樓,25.3,都市：其他:第一種住宅區,,,1110801,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010531,194.42000000000002,3,2,2,有,有,21000000,108014,坡道平面,60.02,0,,RPOUMLOLQHHGFBJ09DA,74.08,3.51,13.17,有,
竹北市,土地,站前段766地號,95.59,都市：其他:道路用地,,,1110805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7460086,78043,,0.0,0,包含公共設施保留地用地；,RPTRMLPLQHHGFBJ76DA,0.0,0.0,0.0,無,
竹北市,車位,新竹縣竹北市嘉豐五路一段２１３號,3.51,都市：其他:住宅區,,,1110811,土地1建物1車位1,一層,十九層,其他,辦公室,鋼筋混凝土造,1050203,30.01,0,0,0,有,無,2000000,,坡道平面,0.0,2000000,僅車位交易；,RPVOMLQKQHHGFBJ66DA,0.0,0.0,0.0,無,
竹北市,土地,華興段536地號,46.3,都市：其他:道路用地,,,1110816,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2160000,46652,,0.0,0,包含公共設施保留地用地；,RPWOMLQKQHHGFBJ76DA,0.0,0.0,0.0,無,
竹北市,土地,三崁店段水坑口小段142-4地號,28.62,,特定農業區,水利用地,1110817,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,680000,23760,,0.0,0,,RPROMLRKQHHGFBJ98DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街３５號九樓之五,10.05,都市：其他:住宅區,,,1110715,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970609,59.77,2,2,1,有,有,8900000,148929,坡道機械,0.0,0,夾層；,RPQNMLPLPHHGFBJ58DA,30.33,1.69,3.22,有,
竹北市,車位,光明六路東二段２８１號等公共設施,1.04,都市：其他:住宅區,,,1110709,土地1建物1車位1,,,其他,,,,44.69,0,0,0,有,有,1500000,,坡道平面,44.7,1500000,僅車位交易；,RPRPMLQLPHHGFBJ98DA,0.0,0.0,0.0,有,008
竹北市,房地(土地+建物),新竹縣竹北市六家六街３５號,142.73,都市：其他:第一種住宅區,,,1110708,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0941118,296.14,6,3,3,有,無,39000000,131694,,0.0,0,,RPPNMLQJQHHGFBJ48DA,263.94,0.0,32.2,無,009
關西鎮,房地(土地+建物),新竹縣關西鎮北平路５１６號,100.82,都市：其他:住宅區,,,1110724,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,,148.6,5,2,3,有,無,3200000,21534,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLOKQHHGFBJ58DA,148.6,0.0,0.0,無,
竹北市,房地(土地+建物),新竹縣竹北市民族街２７巷１０弄１號,80.17,都市：其他:第二種住宅區,,,1110718,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0701229,108.42,3,2,2,有,無,7500000,69175,,0.0,0,,RPRPMLSJQHHGFBJ09DA,108.42,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路二段３６９巷１３號四樓,35.74,,特定農業區,甲種建築用地,1110708,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811113,129.2,3,2,2,有,有,6700000,51858,坡道平面,0.0,0,,RPRRMLPKQHHGFBJ09DA,78.78,0.0,9.68,有,010
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興路２７７巷２１號二樓之一,13.68,都市：其他:第二種住宅區,,,1110704,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850821,95.28999999999999,3,2,2,有,有,8600000,90251,坡道機械,0.0,0,夾層；,RPXQMLPKQHHGFBJ96DA,46.87,0.0,5.28,有,011
竹北市,房地(土地+建物),新竹縣竹北市六家二街６８巷２號,65.99,都市：其他:住宅區,,,1110718,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0950908,207.04,4,2,4,有,無,26500000,127995,,0.0,0,,RPSNMLSKQHHGFBJ09DA,157.43,17.79,31.82,無,
關西鎮,土地,馬武督段赤柯山小段81地號,3441.79,,山坡地保育區,丁種建築用地,1110720,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30192480,8772,,0.0,0,,RPVOMLSKQHHGFBJ86DA,0.0,0.0,0.0,無,
竹北市,車位,新竹縣竹北市隘口二路１號,0.0,,,,1110704,土地0建物1車位1,一層,十二層,其他,守衛室,鋼筋混凝土造,0990201,25.94,0,0,0,有,有,2050000,,坡道平面,25.8,2050000,僅車位交易；,RPWOMLSKQHHGFBJ96DA,0.0,0.0,0.0,無,012
竹北市,房地(土地+建物)+車位,新竹縣竹北市新光一街７２號十三樓,22.29,都市：其他:第一種住宅區,,,1110722,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030826,155.18,3,2,2,有,有,9800000,63152,坡道平面,36.61,0,,RPTOMLRKQHHGFBJ56DA,66.15,4.55,10.16,有,013
芎林鄉,房地(土地+建物),新竹縣芎林鄉富林路二段１７３巷２０弄９號,80.83,,特定農業區,甲種建築用地,1110730,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0951117,222.68,4,2,4,有,無,9000000,40417,,0.0,0,其他增建；,RPTOMLQKQHHGFCJ56DA,216.28,0.36,6.04,無,
竹東鎮,房地(土地+建物),新竹縣竹東鎮生產街９６巷１６號,82.0,都市：其他:住宅區,,,1110719,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,105.92,3,2,2,有,無,4580000,43240,,0.0,0,,RPRNMLTKQHHGFCJ56DA,105.92,0.0,0.0,無,014
湖口鄉,房地(土地+建物),新竹縣湖口鄉龍安街１１６號,89.01,,,,1110721,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0910207,189.96,5,2,4,有,無,12700000,66856,,0.0,0,車庫增建其他增建；,RPPOMLMKQHHGFDJ48DA,179.49,0.0,10.47,無,015
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉民生街１６２巷３號三樓,29.73,都市：其他:住宅區,,,1110703,土地2建物1車位1,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,114.9,2,2,2,有,無,3000000,26110,坡道平面,0.0,0,,RPPNMLTKQHHGFDJ09DA,100.0,0.0,6.93,無,
湖口鄉,土地,信勢段226地號,178.15,都市：其他:住宅區,,,1110719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11150000,62588,,0.0,0,,RPUNMLSKQHHGFDJ86DA,0.0,0.0,0.0,無,
