鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
湖口鄉,建物,新竹縣湖口鄉中山路一段５９８號九樓之１,0.0,商,,,1110719,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1101105,120.12,3,2,2,有,有,有,21000,175,,0.0,0,水電瓦斯費及每月管理費2940元由承租人負擔。,RPVNMLLLPHHGFDJ98CC
新豐鄉,建物,新竹縣新豐鄉松柏村松柏街４０號,0.0,,鄉村區,乙種建築用地,1110630,土地0建物1車位0,全,3,透天厝,住宅、樓梯間,鋼筋混凝土造,1001226,172.76,3,2,2,有,無,有,20000,116,,0.0,0,,RPWNMLLLPHHGFDJ09CC
湖口鄉,建物,新竹縣湖口鄉中正路二段３２７號,0.0,住,,,1110715,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,203.4,3,2,2,有,無,有,25000,123,,0.0,0,每月水電瓦斯費由承租人另外負擔。,RPQPMLMLPHHGFDJ78CC
竹北市,建物,新竹縣竹北市成功一街７３號二樓,0.0,商,,,1110702,土地0建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930524,132.11,3,2,2,有,有,有,28000,212,坡道機械,17.58,0,,RPTNMLMLPHHGFBJ68CC
竹北市,建物,新竹縣竹北市臺元街３０之１號,0.0,工,,,1110720,土地0建物1車位4,一層,6,廠辦,工業用,鋼筋混凝土造,0900612,669.16,0,0,0,無,有,無,171800,257,坡道平面,0.0,0,,RPVNMLMLPHHGFBJ88CC
竹北市,建物,新竹縣竹北市臺元一街１號３F~１,0.0,工,,,1110720,土地0建物1車位0,三層,14,廠辦,一般服務業,鋼筋混凝土造,0990305,414.25,0,0,0,無,有,無,121000,292,,0.0,0,,RPOOMLMLPHHGFBJ28CC
竹北市,建物,新竹縣竹北市臺元一街１號４F~３,0.0,工,,,1110720,土地0建物1車位0,四層,14,廠辦,一般服務業,鋼筋混凝土造,0990305,551.55,0,0,0,無,有,無,161500,293,,0.0,0,,RPPOMLMLPHHGFBJ38CC
湖口鄉,建物,新竹縣湖口鄉中山路二段１７５號,0.0,,,,1110715,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,,50.72,0,0,0,無,無,有,18000,355,,0.0,0,完全開放空間,RPQNMLNLPHHGFDJ68CC
湖口鄉,房地(土地+建物),新竹縣湖口鄉中山路一段５９８號８樓之５,7314.0,商,,,1110725,土地1建物1車位0,八層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1101105,70.0,3,2,2,有,無,有,30000,429,,0.0,0,,RPTNMLPLPHHGFDJ66DC
