鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
獅潭鄉,土地,桂竹林段363-86地號,504.5,,山坡地保育區,農牧用地,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,595,,0.0,0,,RPPNMLSKQHHGFAK78DA,0.0,0.0,0.0,無,
公館鄉,土地,館陽段249地號,41.61,都市：其他:住宅區,,,1110812,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2895700,69591,,0.0,0,土地增值稅由買方負責繳納約新台幣約35萬元畸零地或有合併使用效益；,RPWNMLLKQHHGFBK88DA,0.0,0.0,0.0,無,
後龍鎮,土地,苦苓腳段708-3地號,147.0,,鄉村區,乙種建築用地,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1334100,9076,,0.0,0,增值稅由買方負擔親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOJQHHGFDK58DA,0.0,0.0,0.0,無,
竹南鎮,土地,中正段412地號,117.33,都市：其他:住宅區,,,1110801,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2839000,24197,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLQKQHHGFDK76DA,0.0,0.0,0.0,無,
頭份市,土地,八德段1429地號,315.0,都市：其他:道路用地,,,1110811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5276250,16750,,0.0,0,,RPQNMLSKQHHGFFK86EA,0.0,0.0,0.0,無,001
苗栗市,房地(土地+建物),苗栗縣苗栗市玉華里２６鄰玉清街２２２巷２９號,99.0,,特定農業區,甲種建築用地,1110811,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0910108,247.1,7,2,3,有,無,11900000,48159,,0.0,0,,RPQNMLTKQHHGFBK56EA,231.6,0.0,15.5,無,
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉２６鄰中興一街６之５號,29.12,,工業區,丁種建築用地,1110810,土地1建物1車位0,一層，二層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850507,123.17999999999999,4,2,2,有,無,2100000,17048,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKQHHGFEK66DA,100.78,3.12,4.43,無,
通霄鎮,土地,五里牌段五里牌小段602地號,1059.0,,特定農業區,農牧用地,1110804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1416,,0.0,0,農作物；,RPPNMLLKQHHGFCK28DA,0.0,0.0,0.0,無,002
苑裡鎮,土地,南山段430地號,639.88,,特定農業區,農牧用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,3126,,0.0,0,,RPRNMLMKQHHGFCK58DA,0.0,0.0,0.0,無,
