鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
苗栗市,房地(土地+建物),苗栗縣苗栗市清華里２７鄰為民街３７９之１號６樓,27.73,住,,,1110716,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830223,160.32,4,2,2,有,有,有,16000,100,,0.0,0,,RPRNMLLLPHHGFBK48CC
苗栗市,房地(土地+建物),苗栗縣苗栗市嘉盛街１１０號,112.45,住,,,1110301,土地1建物1車位0,全,1,透天厝,住家用,加強磚造,0571001,91.11,1,2,1,有,無,有,10000,110,,0.0,0,,RPTNMLLLPHHGFBK68CC
苗栗市,建物,苗栗縣苗栗市勝利里３６鄰榮興１之１號三樓,0.0,住,,,1110713,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830303,117.73,4,2,2,有,無,有,7500,64,,0.0,0,,RPPNMLMLPHHGFBK38CC
苗栗市,房地(土地+建物),苗栗縣苗栗市建功里３４鄰忠孝路１３８號五樓,28.89,住,,,1110723,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760603,109.61,2,2,2,有,無,有,10000,91,,0.0,0,,RPTNMLPLPHHGFBK09CC
苗栗市,房地(土地+建物),苗栗縣苗栗市新東街１３６巷６號,57.0,住,,,1101222,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,,101.7,3,2,2,有,無,有,8000,79,,0.0,0,,RPVNMLQLPHHGFBK76CC
竹南鎮,建物,苗栗縣竹南鎮大埔七街４２號２樓C室,0.0,住,,,1110726,土地0建物0車位0,二層,4,套房(1房1廳1衛),住商用、停車空間,鋼筋混凝土造,1041229,13.22,1,0,1,有,無,有,5000,378,,0.0,0,承租人承擔：電費,RPWOMLRLPHHGFDK27CC
竹南鎮,建物,苗栗縣竹南鎮大埔七街４６巷１號１樓,0.0,住,,,1110630,土地0建物0車位0,一層,4,套房(1房1廳1衛),住家用、停車空間,鋼筋混凝土造,1041229,12.1,1,0,1,有,有,有,4000,331,,0.0,0,承租人負擔：電費,RPXOMLRLPHHGFDK37CC
竹南鎮,建物,苗栗縣竹南鎮大埔一街２７號３樓之１號房,0.0,住,,,1110710,土地0建物0車位0,三層,5,套房(1房1廳1衛),住宅、店舖、停車空間,鋼筋混凝土造,1040129,16.3,1,0,1,有,有,有,5000,307,,0.0,0,承租人負擔：電費,RPOPMLRLPHHGFDK56CC
竹南鎮,建物,苗栗縣竹南鎮大埔一街２７號１樓,0.0,住,,,1110726,土地0建物0車位0,一層,5,店面(店鋪),住宅、店舖、停車空間,鋼筋混凝土造,1040129,65.02,1,0,1,有,有,無,17500,269,,0.0,0,承租人負擔：水費、電費、瓦斯,RPPPMLRLPHHGFDK66CC
竹南鎮,建物,苗栗縣竹南鎮大埔一街２７號４樓之２號房,0.0,住,,,1110727,土地0建物0車位0,四層,5,套房(1房1廳1衛),住宅、店舖、停車空間,鋼筋混凝土造,1040129,16.3,1,0,1,有,有,有,5000,307,,0.0,0,承租人負擔：電費,RPQPMLRLPHHGFDK76CC
竹南鎮,建物,苗栗縣竹南鎮大埔七街４２號１樓,0.0,住,,,1110726,土地0建物0車位0,一層,4,店面(店鋪),住商用、停車空間,鋼筋混凝土造,1041229,49.58,1,0,1,有,有,有,15000,303,,0.0,0,承租人負擔：水費、電費。附屬設備：出租人提供監視器5台,RPUPMLRLPHHGFDK17CC
苗栗市,建物,苗栗縣苗栗市恭敬里８鄰中正路１０９０號六樓之二十,0.0,其他,,,1110722,土地0建物1車位0,六層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960716,37.33,1,0,1,有,有,有,6000,161,,0.0,0,水電瓦斯、網路費及每月管理費800元由承租人另外負擔。,RPRNMLTLPHHGFBK66CC
