鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南投市,房地(土地+建物)+車位,南投縣南投市南陽路３４３之６號四樓,15.41,都市：其他:住宅區,,,1110804,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840216,141.32999999999998,3,2,2,有,有,3000000,21227,坡道機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQJQHHGFAM78DA,83.73,0.52,19.55,有,001
南投市,土地,新廍段896-2地號,31.76,都市：其他:農業區,,,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,460000,14484,,0.0,0,未登記建物；瑕疵物件；,RPSNMLRKQHHGFAM56DA,0.0,0.0,0.0,無,
草屯鎮,土地,新南埔段90地號,8079.49,,山坡地保育區,農牧用地,1110801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5600000,693,,0.0,0,山陡崎嶇 無車路,RPWOMLRKQHHGFBM17DA,0.0,0.0,0.0,無,
魚池鄉,房地(土地+建物),南投縣魚池鄉金天巷７０之８號,6546.0,,山坡地保育區,農牧用地,1110810,土地1建物1車位0,一層，二層,二層,農舍,農業用,鋼骨ＲＣ造,0881230,79.87,12,1,12,有,無,87640000,,,0.0,0,,RPQNMLRKQHHGFCM56DA,49.74,19.25,10.88,無,
魚池鄉,房地(土地+建物),南投縣魚池鄉金天巷７０之１０號,5703.0,,山坡地保育區,農牧用地,1110810,土地1建物1車位0,一層，二層,二層,農舍,農業用,鋼骨ＲＣ造,0881230,231.02,11,1,11,有,無,75120000,,,0.0,0,,RPRNMLRKQHHGFCM66DA,231.02,0.0,0.0,無,
魚池鄉,房地(土地+建物),南投縣魚池鄉金天巷７０之９號,6230.0,,山坡地保育區,農牧用地,1110810,土地1建物1車位0,一層，二層,二層,農舍,農業用,鋼骨ＲＣ造,0881230,484.46,12,1,12,有,無,84510000,,,0.0,0,,RPSNMLRKQHHGFCM76DA,484.46,0.0,0.0,無,
魚池鄉,房地(土地+建物),南投縣魚池鄉金天巷７０之４號,4105.0,,山坡地保育區,農牧用地,1110810,土地1建物1車位0,一層，二層,二層,農舍,農業用,一樓：加強磚造　二樓：木構造,0880121,496.38,4,1,4,有,無,65730000,,,0.0,0,,RPTNMLRKQHHGFCM86DA,496.38,0.0,0.0,無,
竹山鎮,土地,中州段1460地號,237.34,,鄉村區,乙種建築用地,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,11797,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLSJQHHGFDM96EA,0.0,0.0,0.0,無,
南投市,土地,內新段1330地號,55.52,,鄉村區,乙種建築用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,8105,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSKQHHGFAM98DA,0.0,0.0,0.0,無,
