鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
線西鄉,土地,重振段654地號,1755.0,,特定農業區,農牧用地,1110805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7650000,4359,,0.0,0,未辦保存登記之建物領有使用執照建物領有使用執照未登記建物；,RPPNMLRKQHHGFBN09DA,0.0,0.0,0.0,無,
福興鄉,土地,大興段589地號,40.81,,鄉村區,乙種建築用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,720000,17643,,0.0,0,,RPRNMLSKQHHGFCN86DA,0.0,0.0,0.0,無,
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮中正路５０６號,103.0,都市：其他:住宅區,,,1110805,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1091022,228.15,8,2,9,有,無,41300000,181021,,0.0,0,鹿港鎮永安段3794-4地號買賣價金:1558萬。鹿港鎮永安段4053建號買賣價金:2572萬。其他增建；,RPOOMLSKQHHGFCN66DA,188.24,0.0,39.91,有,
溪州鄉,土地,下水埔段185-2地號,2174.0,,一般農業區,農牧用地,1110801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,1196,,0.0,0,農作物；,RPQNMLSKQHHGFFN07DA,0.0,0.0,0.0,無,
二林鎮,土地,儒興段213-1地號,204.93,,特定農業區,甲種建築用地,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4029000,19660,,0.0,0,,RPTNMLRKQHHGFGN37DA,0.0,0.0,0.0,無,001
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮頂新五街１００號,115.1,都市：其他:道路用地,,,1110801,土地8建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100208,224.56,4,3,5,有,有,16000000,71250,,0.0,0,未登記建物；,RPOOMLPKQHHGFHN86DA,207.56,0.0,17.0,無,
花壇鄉,土地,口庄段516地號,1177.0,都市：其他:農業區,,,1110817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8782088,7461,,0.0,0,政府機關標讓售；,RPRNMLMLQHHGFAN88EA,0.0,0.0,0.0,無,
竹塘鄉,土地,竹塘段416地號,666.67,都市：其他:農業區,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,932400,1399,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSKQHHGFGN07DA,0.0,0.0,0.0,無,
竹塘鄉,土地,永基段648地號,5380.0,,特定農業區,農牧用地,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8715600,1620,,0.0,0,,RPQNMLSKQHHGFGN17DA,0.0,0.0,0.0,無,002
