鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新竹市,土地,東橋段534地號,55.03,都市：其他:人行步道用地,,,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1359214,24700,,0.0,0,包含公共設施保留地用地；,RPUQMLPKQHHGFAO07DA,0.0,0.0,0.0,無,
新竹市,土地,東山段一小段317地號,4.0,都市：其他:第一種住宅區,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,37500,,0.0,0,未登記建物；未登記建物；包含公共設施保留地用地；,RPTNMLRKQHHGFAO96EA,0.0,0.0,0.0,無,
新竹市,土地,聚吉段4-1地號,25.33,都市：其他:道路用地,,,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2324927,91786,,0.0,0,包含公共設施保留地用地；,RPTPMLRKQHHGFAO17EA,0.0,0.0,0.0,無,001
新竹市,土地,東光段420-1地號,115.0,都市：其他:道路用地,,,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6440000,56000,,0.0,0,包含公共設施保留地用地；,SPTPMLRKQHHGFAO27EA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市建中路２７號,5.76,都市：其他:市場用地,,,1110809,土地1建物1車位0,全,一層,透天厝,商業用,鋼筋混凝土造,0701219,24.3,0,0,0,無,無,1345000,55350,,0.0,0,,RPWNMLPKQHHGFAO96DA,24.3,0.0,0.0,無,002
新竹市,土地,光華段310地號,21.9,都市：其他:第一種住宅區,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2071630,94595,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPORMLTJQHHGFAO86DA,0.0,0.0,0.0,無,003
新竹市,土地,光華段310地號,21.9,都市：其他:第一種住宅區,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2071630,94595,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTQMLTJQHHGFAO27DA,0.0,0.0,0.0,無,003
新竹市,房地(土地+建物),新竹市新竹市經國路一段７２６號四樓之７,4.73,都市：其他:第二種住宅區,,,1110809,土地3建物1車位0,四層,九層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0950701,43.6,1,1,1,有,有,3970000,91055,,0.0,0,含租約；,RPXNMLRKQHHGFAO27DA,23.76,0.0,0.0,有,
新竹市,土地,中雅段222-28地號,15.0,都市：其他:第二種住宅區,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1664700,110980,,0.0,0,政府機關標讓售；,RPSPMLRKQHHGFAO07EA,0.0,0.0,0.0,無,
