鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
二崙鄉,土地,大義崙段836地號,1944.5,,特定農業區,農牧用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3205000,1648,,0.0,0,,RPQNMLTJQHHGFCP96DA,0.0,0.0,0.0,無,
土庫鎮,土地,越港段890地號,302.96,都市：其他:住宅區,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,39609,,0.0,0,,RPQNMLTKQHHGFDP17DA,0.0,0.0,0.0,無,001
東勢鄉,土地,西安段668-1地號,2715.55,,特定農業區,農牧用地,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2172440,800,,0.0,0,,RPRNMLRKQHHGFFP27DA,0.0,0.0,0.0,無,
二崙鄉,土地,新庄子段大北園小段1667地號,1686.0,,特定農業區,農牧用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3034800,1800,,0.0,0,,RPRNMLTKQHHGFCP27EA,0.0,0.0,0.0,無,002
麥寮鄉,土地,橋頭段1083-8地號,38.0,,一般農業區,甲種建築用地,1110817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,23684,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；瑕疵物件；,RPPNMLSKQHHGFFP17DA,0.0,0.0,0.0,無,003
台西鄉,土地,公館段1224地號,101.67,,鄉村區,乙種建築用地,1110816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,2951,,0.0,0,,RPPNMLTKQHHGFFP27DA,0.0,0.0,0.0,無,
麥寮鄉,土地,豐安段282地號,228.97,,鄉村區,乙種建築用地,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,4367,,0.0,0,未登記建物；瑕疵物件；,RPPNMLPKQHHGFFP86DA,0.0,0.0,0.0,無,
四湖鄉,土地,西鹿段222-1地號,502.02,,一般農業區,農牧用地,1110806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,896,,0.0,0,,RPPNMLKLQHHGFEP98DA,0.0,0.0,0.0,無,004
口湖鄉,土地,9866梧段986-15地號,72.73,,鄉村區,乙種建築用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,970000,13337,,0.0,0,,RPUNMLQKQHHGFEP37DA,0.0,0.0,0.0,無,
