鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
水上鄉,土地,水西段853-14地號,5.14,都市：其他:住宅區,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,132090,25698,,0.0,0,,RPPNMLRKQHHGFDQ96DA,0.0,0.0,0.0,無,001
竹崎鄉,土地,覆鐤金段935-3地號,1051.89,,山坡地保育區,農牧用地,1110812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,190000,181,,0.0,0,,RPPNMLMKQHHGFEQ56DA,0.0,0.0,0.0,無,002
竹崎鄉,土地,覆鐤金段196-16地號,95.0,,一般農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,257450,2710,,0.0,0,政府機關標讓售；,RPPNMLSKQHHGFEQ27EA,0.0,0.0,0.0,無,
竹崎鄉,土地,崎腳段884地號,422.17,,一般農業區,甲種建築用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2043000,4839,,0.0,0,土地是袋地無出路。,RPPNMLTKQHHGFEQ37EA,0.0,0.0,0.0,無,
鹿草鄉,土地,海豐段海豐小段548地號,2810.0,,特定農業區,農牧用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3699000,1316,,0.0,0,,RPQNMLSKQHHGFDQ27EA,0.0,0.0,0.0,無,003
鹿草鄉,土地,龜佛山段重劃小段790地號,349.0,,特定農業區,農牧用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,299000,857,,0.0,0,地清或未辦繼承標售；,RPSNMLSKQHHGFDQ47EA,0.0,0.0,0.0,無,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉和美村永樂新村２６５之１０號,82.67,都市：其他:住宅區,,,1110808,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0770614,111.4,7,1,3,有,無,10200000,91562,,0.0,0,頂樓加蓋；夾層；,RPQNMLRKQHHGFDQ07DA,111.4,0.0,0.0,無,
太保市,土地,新埤段新埤小段1911地號,3770.0,,特定農業區,農牧用地,1110812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6786000,1800,,0.0,0,,RPUNMLRKQHHGFDQ47DA,0.0,0.0,0.0,無,
大林鎮,房地(土地+建物),嘉義縣大林鎮大美里大埔美５４５號,114.11,,鄉村區,乙種建築用地,1110804,土地1建物1車位0,全,一層,透天厝,住家用,木磚造,0660520,65.54,3,1,1,有,無,300000,4577,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLSKQHHGFCQ37DA,65.54,0.0,0.0,無,
