鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
長治鄉,房地(土地+建物),屏東縣長治鄉香楊路３３號七樓之六,2.2,都市：其他:商業區,,,1110807,土地4建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841006,28.89,1,1,1,有,有,1550000,53652,,0.0,0,,RPPNMLPKQHHGFAT76DA,20.89,0.0,0.0,有,
屏東市,房地(土地+建物),屏東縣屏東巿武順街９８號六樓之一,17.44,都市：其他:住宅區,,,1110808,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830519,105.96000000000001,3,1,1,有,有,3300000,31144,,0.0,0,,RPWNMLPKQHHGFAT47DA,60.78,0.0,10.2,有,
屏東市,房地(土地+建物)+車位,屏東縣屏東巿清寧街１０６巷１５號,44.8,都市：其他:住宅區,,,1110808,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070330,67.56,2,2,2,有,無,6700000,99171,一樓平面,0.0,0,,RPQOMLSKQHHGFAT27DA,55.1,0.0,0.0,有,
潮州鎮,土地,蓬萊段77地號,150.74,,鄉村區,交通用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,995,,0.0,0,本案土地為鄉村區交通用地,RPRNMLLKQHHGFCT76DA,0.0,0.0,0.0,無,
內埔鄉,房地(土地+建物),屏東縣內埔鄉新展路３巷６０號,2592.6,,一般農業區,農牧用地,1110802,土地1建物1車位0,全,一層,透天厝,農業用,鋼骨構造,1070330,48.0,0,0,1,有,無,6000000,125000,,0.0,0,本案移轉建物為農業資材室,RPWNMLRKQHHGFCT87DA,48.0,0.0,0.0,無,
內埔鄉,土地,fbf5頭鏢段79-4地號,1148.0,,一般農業區,農牧用地,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1742,,0.0,0,農作物；,RPROMLRKQHHGFCT47DA,0.0,0.0,0.0,無,
琉球鄉,土地,大寮段212地號,188.47,都市：其他:住宅區,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3762000,19961,,0.0,0,,RPWNMLLJQHHGFDT27DA,0.0,0.0,0.0,無,
林邊鄉,房地(土地+建物),屏東縣林邊鄉仁和路１２２號八樓,13.99,都市：其他:住宅區,,,1110804,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840808,99.08000000000001,3,2,2,有,有,2200000,22204,,0.0,0,,RPUNMLLKQHHGFDT17DA,70.02,2.4,9.84,有,
長治鄉,土地,崑崙段270地號,320.47,,一般農業區,農牧用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,1092,,0.0,0,袋地,RPVNMLQKQHHGFAT57EA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物),屏東縣屏東巿民享一路１４３號四樓之三,17.22,都市：其他:住宅區,,,1110802,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020916,65.99000000000001,2,1,1,有,有,4250000,64404,,0.0,0,,RPPNMLTKQHHGFAT27EA,39.86,5.41,3.47,有,001
鹽埔鄉,房地(土地+建物),屏東縣鹽埔鄉忠誠街３２號五樓之一,14.65,,鄉村區,乙種建築用地,1110808,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850729,44.5,1,0,1,有,無,900000,20225,,0.0,0,土地價款新台幣587250元整，房屋價款新台幣312750元整,RPTOMLQKQHHGFBT57EA,24.75,0.0,10.34,有,
