鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內埔鄉,建物,屏東縣內埔鄉壽比路２２８號５樓之３,10.0,,鄉村區,乙種建築用地,1110627,土地0建物0車位0,五層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,31.1,1,1,1,有,無,有,5600,180,,0.0,0,,RPQNMLMLPHHGFCT86CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號２樓之２,10.0,,鄉村區,乙種建築用地,1110717,土地0建物0車位0,二層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.03,1,1,1,有,無,有,5400,180,,0.0,0,,RPSNMLMLPHHGFCT07CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號２樓之１,10.0,,鄉村區,乙種建築用地,1110707,土地0建物0車位0,二層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.45,1,1,1,有,無,有,5400,177,,0.0,0,,RPTNMLMLPHHGFCT17CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號７樓之７,10.0,,鄉村區,乙種建築用地,1110708,土地0建物0車位0,七層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.02,1,1,1,有,無,有,5600,187,,0.0,0,,RPUNMLMLPHHGFCT27CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號７樓之２,10.0,,鄉村區,乙種建築用地,1110712,土地0建物0車位0,七層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.38,1,1,1,有,無,有,5600,184,,0.0,0,,RPVNMLMLPHHGFCT37CC
內埔鄉,建物,屏東縣內埔鄉壽比路２２８號７樓之５,10.0,,鄉村區,乙種建築用地,1110710,土地0建物0車位0,七層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,31.1,1,1,1,有,無,有,5600,180,,0.0,0,,RPXNMLMLPHHGFCT57CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號６樓之３,10.0,,鄉村區,乙種建築用地,1110625,土地0建物0車位0,六層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.9,1,1,1,有,無,有,5600,181,,0.0,0,,RPOOMLMLPHHGFCT76CC
內埔鄉,建物,屏東縣內埔鄉壽比路２２８號７樓之３,10.0,,鄉村區,乙種建築用地,1110701,土地0建物0車位0,七層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.94,1,1,1,有,無,有,5600,181,,0.0,0,,RPPOMLMLPHHGFCT86CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號５樓之２,10.0,,鄉村區,乙種建築用地,1110627,土地0建物0車位0,五層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.55,1,1,1,有,無,有,5600,183,,0.0,0,,RPQOMLMLPHHGFCT96CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號５樓之３,10.0,,鄉村區,乙種建築用地,1110705,土地0建物0車位0,五層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,29.86,1,1,1,有,無,有,5600,188,,0.0,0,,RPROMLMLPHHGFCT07CC
內埔鄉,建物,屏東縣內埔鄉壽比路２２８號３樓之１,10.0,,鄉村區,乙種建築用地,1110626,土地0建物0車位0,三層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.84,1,1,1,有,無,有,5500,178,,0.0,0,,RPSOMLMLPHHGFCT17CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號７樓之１,10.0,,鄉村區,乙種建築用地,1110714,土地0建物0車位0,七層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.45,1,1,1,有,無,有,5600,184,,0.0,0,,RPPNMLPLPHHGFCT07CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-５號３樓,7.7,,鄉村區,乙種建築用地,1110707,土地0建物0車位0,三層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,34.19,1,1,1,有,無,有,5000,146,,0.0,0,,RPSNMLPLPHHGFCT37CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-１２號４樓,7.0,,鄉村區,乙種建築用地,1110705,土地0建物0車位0,四層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,33.8,1,1,1,有,無,有,5000,148,,0.0,0,,RPUNMLPLPHHGFCT57CC
屏東市,房地(土地+建物),屏東縣屏東市德豐街９４巷４９號七樓,16.7,住,,,1110720,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810715,93.99000000000001,2,1,1,有,無,有,11500,122,,0.0,0,屏東縣政府包租代管計畫；水電瓦斯費由承租人負擔。,RPVNMLPLPHHGFAT47CC
東港鎮,房地(土地+建物),屏東縣東港鎮屏東縣東港鎮船頭里大順路１０７號,1637.83,工,,,1110501,土地4建物1車位0,見其他登記事項,1,工廠,工業用,鋼骨構造,1110225,887.92,0,0,0,無,無,無,174286,,,0.0,0,租期111年5月1起至126年4月30日止1111年5月1日至114年4月30日每月租金174286元整未稅.2114年5月1日至117年4月30日每月租金為179514元整未稅.3117年5月1日至120年4月30日每月租金為184900元整未稅4120年5月1日至126年4月30日每月租金為190447元整未稅。撤回原申報序號：C1TD11105270012更正租賃日期為111年5月1日,RPVNMLQLPHHGFDT87CC
屏東市,建物,屏東縣屏東市光復路１０４號１樓,1133.0,商,,,1110726,土地0建物1車位0,一層,2,店面(店鋪),車庫，倉庫,鋼架造，有牆,0801002,393.38,0,2,2,有,無,無,100000,254,,0.0,0,,RPWNMLRLPHHGFAT77CC
屏東市,房地(土地+建物),屏東縣屏東市大連路１１號,104.0,住,,,1110729,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0810228,81.69,0,0,0,無,無,有,30000,367,,0.0,0,僅出租1樓,RPPNMLKMPHHGFAT09CC
