鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
壽豐鄉,土地,北坑段214-7地號,5851.94,,風景區,林業用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,85,,0.0,0,農作物；,RPUPMLNJQHHGFAU27DA,0.0,0.0,0.0,無,
壽豐鄉,土地,溪口段2-1地號,27.71,,一般農業區,甲種建築用地,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,335200,12097,,0.0,0,,RPVOMLQKQHHGFAU67DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,瑞泉段13地號,2933.83,非都市：特定農業區 ; 非都市編定：農牧用地,,,1110804,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7195800,2453,,0.0,0,,RPRNMLTKQHHGFCU67DA,0.0,0.0,0.0,無,001
玉里鎮,房地(土地+建物),花蓮縣玉里鎮民國路二段７２巷４號,104.93,都市：其他:住宅區,,,1110801,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0710326,113.74,4,1,2,有,無,4800000,42202,,0.0,0,頂樓加蓋；其他增建；,RPSNMLTKQHHGFCU77DA,113.74,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉民治路２７０之１０號,120.12,住,,,1110801,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060202,268.26,4,2,5,有,有,21500000,80146,,0.0,0,其他增建；,RPOOMLLJQHHGFAU98DA,249.04,0.0,19.22,有,002
花蓮市,房地(土地+建物),花蓮縣花蓮市國民八街８號十一樓之二,11.71,商,,,1110804,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080808,70.39,1,2,1,有,有,6100000,86660,,0.0,0,,RPQNMLLKQHHGFAU56DA,41.18,0.0,4.76,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市國興五街６９號二樓之一,49.38,住,,,1110802,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110630,152.71,3,2,2,有,無,10850000,71050,,0.0,0,共有部分含車位,RPOOMLMLQHHGFAU66DA,93.14,0.0,13.31,有,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中央路三段１８號,174.0,住,,,1110803,土地2建物2車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0840111,543.18,8,4,12,有,無,20200000,37188,,0.0,0,,RPPNMLLLQHHGFAU56DA,518.82,0.0,24.36,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛四街１０６號五樓之七,10.18,住,,,1110804,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830412,61.36,2,1,1,有,無,2870000,46773,,0.0,0,,RPRNMLTKQHHGFAU47DA,43.84,0.0,0.0,有,003
吉安鄉,土地,太昌段5-6地號,28.0,,,,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1591520,56840,,0.0,0,政府機關標讓售；,RPQNMLMLQHHGFAU76DA,0.0,0.0,0.0,無,
光復鄉,房地(土地+建物),花蓮縣光復鄉光華街５巷２２弄５號,78.23,都市：其他:商業區,,,1110808,土地6建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0850710,172.96,4,2,3,有,無,3600000,20814,,0.0,0,,RPPNMLMLQHHGFBU76DA,172.96,0.0,0.0,無,
瑞穗鄉,土地,源北段625地號,2122.92,,特定農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1750000,824,,0.0,0,,RPQNMLMLQHHGFCU96DA,0.0,0.0,0.0,無,
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉民權東路４９１號,100.0,都市：其他:住宅區,,,1110815,土地1建物1車位0,全,一層,透天厝,住商用,鋼筋混凝土加強磚造,0721116,59.39,4,2,2,有,無,2250000,37885,,0.0,0,頂樓加蓋；其他增建；,RPWNMLMLQHHGFCU57DA,59.39,0.0,0.0,無,
瑞穗鄉,土地,屋拉力段540地號,3998.86,,山坡地保育區,農牧用地,1110810,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,950,,0.0,0,農作物；,RPQNMLTKQHHGFCU57DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國民八街８號十樓之三,11.28,商,,,1110808,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080808,102.95,1,2,1,有,有,7800000,88496,坡道平面,35.15,1800000,,RPQNMLNLQHHGFAU86DA,39.49,0.0,4.76,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市軒轅路２號三樓之七,1.57,商,,,1110810,土地2建物1車位0,三層,九層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0750531,37.22,1,0,1,有,有,1300000,34927,,0.0,0,其他增建；包含公共設施保留地用地；,RPTNMLNLQHHGFAU17DA,26.14,0.0,0.0,有,004
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛五街５３號四樓之一,25.64,住,,,1110809,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110630,83.99000000000001,2,2,1,有,無,6860000,81676,,0.0,0,,RPTPMLNLQHHGFAU37DA,52.51,0.0,3.58,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛六街５１號,29.4,住,,,1110815,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0830414,135.73,1,2,2,有,有,5850000,43100,,0.0,0,其他增建；,RPPOMLOLQHHGFAU96DA,98.24,24.14,0.0,有,005
秀林鄉,土地,德布克段76地號,2244.46,農,,,1110815,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2850000,1270,,0.0,0,,RPQNMLQKQHHGFAU07DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里九街８９之３號,102.0,住,,,1110815,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1110627,217.81,4,2,5,有,無,10500000,48207,,0.0,0,,RPROMLTKQHHGFAU57DA,205.33,0.0,12.48,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里九街８９之３號,92.0,住,,,1110816,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1110627,189.37,4,2,5,有,無,11500000,60728,,0.0,0,,RPOOMLTKQHHGFAU27DA,178.4,0.0,10.97,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市中原路６９５號,81.0,住,,,1110817,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0680611,114.28,4,1,2,有,無,10000000,87504,,0.0,0,頂樓加蓋；其他增建；,RPVOMLOLQHHGFAU57DA,114.28,0.0,0.0,無,006
秀林鄉,土地,上水源段817地號,460.15,,鄉村區,乙種建築用地,1110816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,3260,,0.0,0,未登記建物；,RPXOMLOLQHHGFAU77DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市德安二街６０之１號八樓,17.31,住,,,1110808,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841104,96.17,3,2,2,有,有,4550000,47312,,0.0,0,,RPTNMLPLQHHGFAU37DA,61.09,0.0,9.27,有,007
花蓮市,房地(土地+建物),花蓮縣花蓮市化道路８９巷２２號四樓之一,10.36,住,,,1110816,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830401,74.73,2,2,1,有,有,4500000,60217,,0.0,0,其他增建；,RPQOMLOLQHHGFAU07DA,48.86,2.68,7.84,有,008
花蓮市,房地(土地+建物),花蓮縣花蓮市國民十二街５３號四樓之二,7.99,住,,,1110813,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850130,30.1,1,1,1,有,無,1600000,53156,,0.0,0,含裝潢費；含傢俱設備費；陽台外推；,RPUNMLOLQHHGFAU37DA,19.6,0.0,2.63,有,009
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕七街２１號四樓之一,16.77,商,,,1110803,土地1建物2車位3,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090107,115.5,2,2,1,有,有,9150000,79221,一樓平面,18.28,0,,RPQOMLNLQHHGFAU96DA,56.14,0.0,3.54,有,010
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里九街８９之２號,92.0,住,,,1110815,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1110627,189.37,4,2,5,有,無,10500000,55447,,0.0,0,,RPPNMLMLQHHGFAU66DA,178.4,0.0,10.97,無,
