鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路４２巷７號,123.0,住,,,1110714,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0960117,272.83,5,2,3,有,無,有,28000,103,,0.0,0,,RPXNMLLLPHHGFAU37CC
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路３９１號,135.0,住,,,1110715,土地1建物1車位0,見其他登記事項,1,店面(店鋪),商業用,鋼筋混凝土加強磚造,0661221,69.0,1,0,1,有,無,有,10000,145,,0.0,0,,RPQOMLLLPHHGFAU76CC
花蓮市,房地(土地+建物),花蓮縣花蓮市建國路９５巷１８號,73.0,住,,,1110716,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0620130,94.67,3,2,1,有,無,無,12000,127,,0.0,0,,RPWNMLMLPHHGFAU47DC
花蓮市,房地(土地+建物),花蓮縣花蓮市中和街２１１號２樓之２,10.34,住,,,1110720,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890807,78.67999999999999,2,1,1,有,有,有,14500,184,,0.0,0,,RPUNMLPLPHHGFAU57DC
花蓮市,房地(土地+建物),花蓮縣花蓮市建和街４５巷６號,64.27,住,,,1110708,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0830929,122.55,3,1,3,有,無,有,13500,110,,0.0,0,,RPWNMLPLPHHGFAU67CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路１１５巷６號６樓，１１３號地下室二樓,14.35,商,,,1110723,土地2建物2車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830611,114.49000000000001,3,2,2,有,有,有,13000,114,,0.0,0,,RPXOMLPLPHHGFAU87CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國興五街１５２號６樓之１,20.39,住,,,1110629,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820618,109.36999999999999,2,2,1,有,有,有,16000,146,,0.0,0,,RPSNMLQLPHHGFAU37CC
花蓮市,建物,花蓮縣花蓮市國富六街９號,0.0,住,,,1110725,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0740724,82.52,3,2,2,有,無,有,12000,145,,0.0,0,,RPTNMLRLPHHGFAU67DC
花蓮市,房地(土地+建物),花蓮縣花蓮市民光１６１號,58.0,住,,,1110711,土地1建物1車位0,全,1,透天厝,住家用,木石磚造〈磚石造〉,04901,29.01,4,1,2,有,無,有,10000,345,,0.0,0,,RPROMLSLPHHGFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路２８３號９樓之１,47.29,住,,,1110725,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1000121,307.07,4,1,3,有,無,有,81670,266,,0.0,0,,RPVOMLTLPHHGFAU08CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路８８１號,110.0,住,,,1110728,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0760620,244.41,4,3,3,有,無,有,35000,143,,0.0,0,,RPWOMLTLPHHGFAU18CC
吉安鄉,土地,仁廉段784地號,32.0,住,,,1110727,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,7000,219,,0.0,0,,RPSNMLTLPHHGFAU77DC
