鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
台東市,土地,知本段8073地號,2132.0,,特定農業區,農牧用地,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,1126,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLQKQHHGFAV37DA,0.0,0.0,0.0,無,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路３０之１號十一樓之１５,6.53,都市：其他:旅館區,,,1110805,土地1建物1車位0,十一層,十五層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0870306,49.199999999999996,1,1,1,有,有,1300000,26423,,0.0,0,,RPPNMLQKQHHGFDV37DA,30.45,0.0,4.85,有,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５３巷５號五樓之２７,10.39,都市：其他:出租旅館區,,,1110809,土地2建物1車位0,五層,八層,套房(1房1廳1衛),其他,鋼筋混凝土造,0840714,37.81,1,1,1,有,有,720000,19043,,0.0,0,,RPPNMLNLQHHGFDV17DA,27.07,3.8,0.0,有,
綠島鄉,土地,上南寮段1203地號,260.12,都市：其他:住宅區,,,1110813,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,9227,,0.0,0,,RPQNMLTKQHHGFAV47DA,0.0,0.0,0.0,無,
池上鄉,土地,大池段820地號,734.42,,鄉村區,乙種建築用地,1110801,土地2建物0車位0,,,其他,,,,0.0,1,1,1,有,無,4100000,5583,,0.0,0,,RPSNMLPKQHHGFCV47DA,0.0,0.0,0.0,無,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路３０之１號十三樓之２８,6.53,都市：其他:旅館區,,,1110810,土地1建物1車位0,十三層,十五層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0870306,49.199999999999996,1,1,1,有,有,1000000,20325,,0.0,0,含傢俱設備費；,RPRNMLKKQHHGFDV96DA,30.45,0.0,4.85,有,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路３０之２號五樓之２５,6.53,都市：其他:旅館區,,,1110810,土地1建物1車位0,五層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0870306,49.199999999999996,1,0,1,有,有,1050000,21341,,0.0,0,,RPSNMLKKQHHGFDV07DA,30.45,0.0,4.85,有,
大武鄉,土地,復興段1146地號,58.44,都市：其他:商業區,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,323888,5542,,0.0,0,地清或未辦繼承標售；,RPPNMLTKQHHGFDV67DA,0.0,0.0,0.0,無,
大武鄉,土地,復興段1147地號,45.44,都市：其他:道路用地,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,165408,3640,,0.0,0,地清或未辦繼承標售；,SPPNMLTKQHHGFDV77DA,0.0,0.0,0.0,無,
