鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
金沙鎮,土地,大山段59地號,437.96,都市：其他:國家公園區,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1729942,3950,,0.0,0,國有財產法第52條之1第1項第6款規定市場查估地價計價政府機關標讓售；,RPRNMLTJQHHGFAW57DA,0.0,0.0,0.0,無,
金寧鄉,土地,寧湖三劃段350地號,1000.0,都市：其他:農業區,,,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8200000,8200,,0.0,0,,RPSNMLSKQHHGFAW67DA,0.0,0.0,0.0,無,
金寧鄉,土地,盤山村測段453地號,79.69,都市：其他:自然村專用區,,,1110817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2900000,36391,,0.0,0,,RPRNMLTKQHHGFAW77EA,0.0,0.0,0.0,無,
金寧鄉,土地,后湖村測段229地號,135.35,都市：其他:自然村專用區,,,1110819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,14777,,0.0,0,,RPUNMLTKQHHGFAW08EA,0.0,0.0,0.0,無,
金沙鎮,土地,洋山測段637地號,305.06,都市：其他:自然村專用區,,,1110813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4056000,13296,,0.0,0,,RPWNMLSKQHHGFAW08DA,0.0,0.0,0.0,無,01
金沙鎮,土地,浦邊段1181-1地號,29.0,都市：其他:自然村專用區,,,1110817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,10345,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKQHHGFAW47DA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮安民５８號四樓之１,55.91,都市：其他:自然村專用區,,,1110805,土地1建物1車位0,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101021,115.2,3,2,2,有,有,7200000,62500,,0.0,0,約定專用停車位編號8,RPRNMLNLQHHGFAW17DA,80.87,0.0,19.56,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉西山１７號四樓,32.38,都市：其他:農業區,,,1110807,土地3建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090529,94.42,3,2,2,有,有,6300000,66723,,0.0,0,,RPSNMLNLQHHGFAW27DA,70.94,0.0,5.68,有,02
金湖鎮,土地,陳坑段240地號,380.74,都市：其他:保護區,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,9193,,0.0,0,,RPQNMLKKQHHGFAW66DA,0.0,0.0,0.0,無,
金湖鎮,土地,中五劃段743地號,858.09,都市：其他:國家公園區,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,5827,,0.0,0,,RPSNMLKKQHHGFAW86DA,0.0,0.0,0.0,無,
金沙鎮,土地,北九劃段1037地號,1000.0,都市：其他:農業區,,,1110806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3400000,3400,,0.0,0,,RPRNMLQJQHHGFAW27DA,0.0,0.0,0.0,無,
烈嶼鄉,土地,沙溪測段384地號,401.45,都市：其他:道路用地,,,1110822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,894470,2228,,0.0,0,,RPPNMLNLQHHGFAW96DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉榜林３８之９號三樓,14.99,都市：其他:自然村專用區,,,1110822,土地2建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1020318,28.58,1,0,1,有,無,2200000,76977,,0.0,0,,RPQNMLNLQHHGFAW07DA,22.58,0.0,3.48,無,
金城鎮,房地(土地+建物),金門縣金城鎮西海路三段３９巷２弄２號四樓,45.46,都市：其他:農業區,,,1110824,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100611,106.32,3,2,2,有,無,6600000,62077,,0.0,0,土地264萬元，建物396萬元契稅12630元由賣方支付,RPSNMLQLQHHGFAW57DA,78.36,0.0,7.58,有,03
金沙鎮,房地(土地+建物)+車位,金門縣金沙鎮洋山２０２號七樓,35.67,都市：其他:自然村專用區,,,1110813,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110406,127.79,3,2,2,有,無,5400000,43844,坡道平面,13.75,400000,,RPPNMLNKQHHGFAW86DA,75.5,0.0,6.4,有,
金寧鄉,土地,中三劃測段108地號,80.01,都市：其他:農業區,,,1110822,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,27497,,0.0,0,,RPRNMLPLQHHGFAW47EA,0.0,0.0,0.0,無,
金寧鄉,土地,中三劃測段109地號,80.01,都市：其他:農業區,,,1110822,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,27497,,0.0,0,,RPUNMLPLQHHGFAW77EA,0.0,0.0,0.0,無,
金沙鎮,土地,后宅段1286地號,624.0,都市：其他:自然村專用區,,,1110823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8300000,13301,,0.0,0,,RPTNMLQLQHHGFAW77EA,0.0,0.0,0.0,無,
