鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
湖西鄉,土地,潭邊新段878地號,727.5,,一般農業區,農牧用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1020000,1402,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLMKQHHGFAX86DA,0.0,0.0,0.0,無,
湖西鄉,土地,許家段732地號,617.82,,一般農業區,農牧用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30820000,49885,,0.0,0,,RPXNMLSKQHHGFAX28DA,0.0,0.0,0.0,無,01
馬公市,土地,光華段529-3地號,272.12,,一般農業區,農牧用地,1110815,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,10290,,0.0,0,,RPWNMLSKQHHGFAX18DA,0.0,0.0,0.0,無,02
馬公市,房地(土地+建物),澎湖縣馬公市文光路８５號六樓之七,14.63,都市：其他:市場用地,,,1110805,土地10建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870723,151.79999999999998,3,2,2,有,有,6000000,39526,,0.0,0,,RPSNMLMLQHHGFAX27DA,112.49,9.97,0.0,有,
湖西鄉,土地,林投北段657地號,918.13,,一般農業區,農牧用地,1110816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,1852,,0.0,0,,RPPNMLTKQHHGFAX57DA,0.0,0.0,0.0,無,
湖西鄉,房地(土地+建物),澎湖縣湖西鄉東石４之１號,35.23,,鄉村區,乙種建築用地,1110816,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0600000,70.74,1,1,1,有,無,1100000,15550,,0.0,0,,RPVNMLQKQHHGFAX87DA,70.74,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市石泉１之２９１號,451.2,,一般農業區,甲種建築用地,1110802,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0900604,519.64,4,3,4,有,無,8000000,15395,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLQKQHHGFAX27DA,501.25,18.39,0.0,無,
馬公市,土地,文寮段1142地號,393.7,,一般農業區,農牧用地,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2680000,6807,,0.0,0,,RPTNMLOJQHHGFAX37DA,0.0,0.0,0.0,無,03
馬公市,土地,烏崁新段1230地號,370.5,,鄉村區,乙種建築用地,1110809,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,10796,,0.0,0,,RPOOMLTJQHHGFAX47DA,0.0,0.0,0.0,無,
湖西鄉,土地,隘門新段1252地號,1087.91,,一般農業區,農牧用地,1110809,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1740862,1600,,0.0,0,,RPPOMLTJQHHGFAX57DA,0.0,0.0,0.0,無,
馬公市,土地,興仁南段369地號,540.06,,一般農業區,礦業用地,1110818,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,653450,1210,,0.0,0,,RPQPMLLLQHHGFAX17DA,0.0,0.0,0.0,無,
湖西鄉,土地,許家段1208地號,1658.61,,一般農業區,農牧用地,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7520000,4534,,0.0,0,,RPTNMLMLQHHGFAX37DA,0.0,0.0,0.0,無,
湖西鄉,土地,林投北段112地號,327.71,,一般農業區,農牧用地,1110816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,3662,,0.0,0,,RPUNMLMLQHHGFAX47DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物)+車位,澎湖縣馬公市吉港路１６８巷５號４樓之２,46.59,都市：其他:住宅區,,,1110802,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101022,131.27,3,1,2,有,無,5380000,40984,一樓平面,0.0,0,,RPWNMLMLQHHGFAX67DA,76.32,8.88,0.0,有,
西嶼鄉,土地,大池段991地號,442.43,,一般農業區,農牧用地,1110822,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,669175,1512,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLKMQHHGFAX47EA,0.0,0.0,0.0,無,
西嶼鄉,土地,內垵二段1055地號,141.73,,鄉村區,乙種建築用地,1110806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,7056,,0.0,0,,RPOOMLPLQHHGFAX27DA,0.0,0.0,0.0,無,
馬公市,土地,山水北段21地號,199.02,,一般農業區,農牧用地,1110719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,310000,1558,,0.0,0,地清或未辦繼承標售；,RPPNMLOLQHHGFAX27EA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市水源路２之１號五樓之一,14.13,都市：其他:商業區,,,1110707,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850828,147.03,7,0,2,有,無,4400000,29926,,0.0,0,,RPRNMLMLQHHGFAX17DA,94.53,14.32,0.0,有,04
馬公市,土地,東衛段1476地號,166.38,,鄉村區,乙種建築用地,1110718,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,19834,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLSKQHHGFAX47DA,0.0,0.0,0.0,無,05
湖西鄉,土地,東石新段502地號,899.4,,一般農業區,農牧用地,1110712,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,945,,0.0,0,土地增值稅由買方負擔。,RPOPMLLKPHHGFAX76DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市東文澳１２３之１號五樓之三,14.5,,鄉村區,乙種建築用地,1110726,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1070620,53.58,1,0,1,有,有,4000000,74655,,0.0,0,,RPVNMLLKQHHGFAX37DA,28.91,4.92,0.0,有,06
馬公市,土地,文寮段366-2地號,296.41,,一般農業區,農牧用地,1110720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,6073,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLNLQHHGFAX87DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市重慶街４０號,39.0,都市：其他:商業區,,,1110713,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土加強空心磚造,0610630,121.86,4,2,3,有,無,5000000,41031,,0.0,0,,RPVNMLNKPHHGFAX47DA,121.86,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市西文澳１３１號,83.0,,鄉村區,乙種建築用地,1110708,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0670215,175.54,4,2,4,有,無,6950000,39592,,0.0,0,,RPOOMLNLQHHGFAX07DA,175.54,0.0,0.0,無,07
馬公市,房地(土地+建物)+車位,澎湖縣馬公市吉港路１６８巷５號４樓之１,48.52,都市：其他:住宅區,,,1110720,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101022,135.07999999999998,3,1,2,有,無,5680000,42049,一樓平面,0.0,0,,RPVNMLNLQHHGFAX67DA,79.56,7.49,0.0,有,
馬公市,土地,國宅段491地號,132.5,都市：其他:住宅區,,,1110726,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,24151,,0.0,0,,RPSOMLKMQHHGFAX27DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市文山路５５巷２９號,20.93,都市：其他:道路用地,,,1110726,土地2建物1車位0,全,一層,透天厝,住家用,造,0290000,4.23,5,2,1,有,無,165000,39007,,0.0,0,,RPPNMLPKQHHGFAX27EA,4.22,0.0,0.0,無,
