編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLSJKHKGFFA38DA,金華段一小段,4.00,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,20000,73,持分移轉,00020000
RPTNMLLKKHKGFBA27DA,雙連段一小段,12.67,都市：其他:第四之一種住宅區。,10000,149,持分移轉,02690000
RPRNMLKKKHKGFCA17EA,正義段一小段,16.52,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,2000,413,持分移轉,04860000
RPTNMLLKKHKGFBA27DA,雙連段一小段,.33,都市：其他:第四種住宅區。,10000,143,持分移轉,02690001
RPRPMLQJKHKGFEA97DA,奇岩段三小段,4.94,都市：其他:第三種住宅區。,256025,2800,持分移轉,02100003
RPUNMLSJKHKGFFA38DA,金華段一小段,.30,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參之貳種住宅區)。,20000,73,持分移轉,00020002
RPPNMLLKKHKGFCA96DA,西湖段二小段,4.95,都市：其他:第三種住宅區。,30000,732,持分移轉,04790000
RPUNMLSJKHKGFFA38DA,金華段一小段,.02,都市：其他:道路用地(公共設施用地)。42/9/18,20000,73,持分移轉,00020003
RPPNMLLKKHKGFCA96DA,西湖段二小段,22.23,都市：其他:第三之一種住宅區。,30000,732,持分移轉,04790001
RPRNMLLKKHKGFCA17DA,碧湖段四小段,.48,都市：其他:第三種住宅區。,10000,1,持分移轉,02560000
RPXNMLMKKHKGFAA67DA,福和段二小段,1.58,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,300,1,持分移轉,04060002
RPXNMLMKKHKGFAA67DA,福和段二小段,.03,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,300,1,持分移轉,04060004
RPPNMLLKKHKGFEA17DA,芝蘭段一小段,.08,都市：其他:第三種住宅區。,10000,2,持分移轉,02120000
RPQNMLQJKHKGFCA47DA,吉林段四小段,3.78,都市：其他:第三種住宅區。,87900,380,持分移轉,03230000
RPOPMLQLKIJGFDA87EA,雅祥段一小段,.96,都市：其他:第三種住宅區。,48,2,持分移轉,03890000
RPOPMLQLKIJGFDA87EA,雅祥段一小段,3.62,都市：其他:第三種住宅區。,48,2,持分移轉,03900000
RPSNMLSJKHKGFEA18EA,振興段三小段,.01,都市：其他:道路用地(公共設施用地)。51/7/14,7574,1,持分移轉,03200004
RPUNMLMKKHKGFAA37DA,萬芳段二小段,6.11,都市：其他:第二種住宅區。,1375920,49140,持分移轉,03170000
RPQNMLNKKHKGFFA67EA,龍泉段三小段,2.42,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,30000,139,持分移轉,00570000
RPRNMLNKKHKGFFA77EA,龍泉段三小段,12.12,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,6000,139,持分移轉,00570000
RPQNMLMLJHKGFDA37EA,美仁段一小段,6.08,都市：其他:第三種住宅區。,10000,11,持分移轉,06690006
RPSNMLOKKHKGFEA87EA,桃源段五小段,12.54,都市：其他:道路用地(公共設施用地)。66/12/27,1,1,全筆移轉,07100000
RPUNMLKKKHKGFCA37DA,中山段一小段,1.70,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,10000,50,持分移轉,02060000
RPUNMLKKKHKGFCA37DA,中山段一小段,5.44,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,10000,52,持分移轉,02100000
RPVNMLLKKHKGFEA77DA,奇岩段三小段,.99,都市：其他:第三種住宅區。,51205,112,持分移轉,02100003
RPTNMLMKKHKGFAA27DA,萬芳段二小段,6.11,都市：其他:第二種住宅區。,1375920,49140,持分移轉,03170000
RPWNMLLKKHKGFEA87DA,奇岩段三小段,4.44,都市：其他:第三種住宅區。,256025,2520,持分移轉,02100003
RPVNMLOKKHKGFEA08DA,蘭雅段二小段,.03,都市：其他:第參種工業區(不得作住宅使用)。,100000,1,持分移轉,00050000
RPVNMLOKKHKGFEA08DA,蘭雅段二小段,.00,都市：其他:第三種住宅區。,100000,1,持分移轉,00070000
RPVNMLOKKHKGFEA08DA,蘭雅段二小段,.01,都市：其他:第三種住宅區。,100000,1,持分移轉,00130000
RPWNMLOKKHKGFEA18DA,蘭雅段二小段,.03,都市：其他:第參種工業區(不得作住宅使用)。,100000,1,持分移轉,00050000
RPWNMLOKKHKGFEA18DA,蘭雅段二小段,.00,都市：其他:第三種住宅區。,100000,1,持分移轉,00070000
RPWPMLNKKHKGFCA08DA,中山段二小段,.09,都市：其他:第三種商業區。,100000,20,持分移轉,00890000
RPWNMLOKKHKGFEA18DA,蘭雅段二小段,.01,都市：其他:第三種住宅區。,100000,1,持分移轉,00130000
RPXNMLOKKHKGFEA28DA,蘭雅段二小段,.03,都市：其他:第參種工業區(不得作住宅使用)。,100000,1,持分移轉,00050000
RPOOMLOKKHKGFEA47DA,蘭雅段二小段,.03,都市：其他:第參種工業區(不得作住宅使用)。,1000000,9,持分移轉,00050000
RPXNMLOKKHKGFEA28DA,蘭雅段二小段,.00,都市：其他:第三種住宅區。,100000,1,持分移轉,00070000
RPOOMLOKKHKGFEA47DA,蘭雅段二小段,.03,都市：其他:第參種工業區(不得作住宅使用)。,1000000,9,持分移轉,00050000
RPXNMLOKKHKGFEA28DA,蘭雅段二小段,.01,都市：其他:第三種住宅區。,100000,1,持分移轉,00130000
RPOOMLOKKHKGFEA47DA,蘭雅段二小段,.00,都市：其他:第三種住宅區。,1000000,9,持分移轉,00070000
RPOOMLOKKHKGFEA47DA,蘭雅段二小段,.00,都市：其他:第三種住宅區。,1000000,9,持分移轉,00070000
RPOOMLOKKHKGFEA47DA,蘭雅段二小段,.01,都市：其他:第三種住宅區。,1000000,9,持分移轉,00130000
RPPOMLOKKHKGFEA57DA,蘭雅段二小段,.03,都市：其他:第參種工業區(不得作住宅使用)。,1000000,9,持分移轉,00050000
RPVPMLNKKHKGFFA28DA,仁愛段一小段,32.38,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第四種住宅區〈特〉及第四之一種住宅區〈特〉國父紀念館特定專用區原屬第肆種住宅區)。,100000,1030,持分移轉,00050000
