編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXOMLOKJIJGFDA18CB,玉成段一小段,10.70,都市：其他:產業生活特定專用區（一）（住）,100000,233,持分移轉,01690003
RPRNMLOKJIJGFDA47CB,玉成段一小段,6.01,都市：其他:產業生活特定專用區（一）（住）,100000,131,持分移轉,01690003
RPPPMLOKJIJGFDA47CB,玉成段一小段,10.70,都市：其他:產業生活特定專用區（一）（住）,100000,233,持分移轉,01690003
RPUQMLOKJIJGFDA08CB,玉成段一小段,6.20,都市：其他:產業生活特定專用區（一）（住）,100000,135,持分移轉,01690003
RPQNMLSKJIJGFCA67CB,碧湖段四小段,.33,都市：商,100000,1114,持分移轉,10360007
RPQNMLSKJIJGFCA67CB,碧湖段四小段,12.29,都市：商,100000,1114,持分移轉,10640004
RPQNMLSKJIJGFCA67CB,碧湖段四小段,.71,都市：商,100000,1114,持分移轉,10650002
RPQNMLSKJIJGFCA67CB,碧湖段四小段,.12,都市：商,100000,1114,持分移轉,10660002
RPQNMLSKJIJGFCA67CB,碧湖段四小段,2.77,都市：商,100000,1114,持分移轉,10680006
RPQNMLSKJIJGFCA67CB,碧湖段四小段,.01,都市：商,100000,1114,持分移轉,10680016
RPVQMLOKJIJGFDA18CB,玉成段一小段,11.66,都市：其他:產業生活特定專用區（一）（住）,100000,254,持分移轉,01690003
RPTNMLOKJIJGFDA67CB,玉成段一小段,6.01,都市：其他:產業生活特定專用區（一）（住）,100000,131,持分移轉,01690003
RPSQMLOKJIJGFDA87CB,玉成段一小段,11.02,都市：其他:產業生活特定專用區（一）（住）,100000,240,持分移轉,01690003
RPPNMLTKJIJGFCA67CB,中山段三小段,27.32,都市：商,100000,786,持分移轉,03150000
RPPNMLTKJIJGFCA67CB,中山段三小段,6.56,都市：商,100000,786,持分移轉,03160000
RPPNMLTKJIJGFCA67CB,中山段三小段,3.88,都市：商,100000,786,持分移轉,03170000
RPPNMLSKJIJGFBA57DB,中正段一小段,28.90,都市：住,10000,507,持分移轉,02320000
RPPNMLKLJIJGFBA76CB,臨沂段一小段,25.39,都市：住,100000,6578,持分移轉,06140000
