編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLRKKHKGFDC08DA,坡道機械,650000,20.33,地下五樓含以下
RPROMLKKKHKGFDC47DA,坡道平面,1700000,45.42,地下一樓
RPOOMLKLKHKGFDC27DA,坡道平面,2200000,33.44,地下一樓
RPTOMLKKKHKGFDC67DA,坡道平面,2400000,28.40,地下二樓
RPUOMLKKKHKGFDC77DA,坡道平面,2400000,28.40,地下二樓
RPSNMLQLKHKGFDC18DA,坡道平面,0,,地下二樓
RPVNMLPJLHKGFDC28DA,坡道平面,0,42.88,地下一樓
RPOOMLOJLHKGFDC57DA,坡道機械,0,16.76,地下一樓
RPPNMLPJLHKGFDC67DA,坡道平面,0,,地下一樓
RPXOMLPJLHKGFDC58DA,坡道平面,0,,地下二樓
RPPNMLLKJHKGFDC17DA,坡道平面,1570000,25.47,地下一樓
RPQNMLLKJHKGFDC27DA,坡道平面,1570000,25.47,地下三樓
RPPNMLLLJHKGFDC37EA,坡道平面,0,,地下一樓
RPTNMLPJKHKGFDC97DA,坡道平面,0,,地下三樓
RPSNMLSJKHKGFDC18DA,坡道平面,0,11.86,地下二樓
RPSNMLSJKHKGFDC18DA,坡道平面,0,11.86,地下二樓
RPUNMLLKKHKGFDC77DA,坡道機械,0,,地下一樓
RPSNMLLKKHKGFDC57DA,坡道平面,0,,地下一樓
RPVNMLRKKHKGFDC48DA,坡道平面,0,33.03,地下二樓
RPWNMLMLJHKGFDC08DA,坡道平面,1500000,43.94,地下二樓
RPWNMLMLJHKGFDC08DA,坡道平面,1500000,43.94,地下二樓
RPPNMLTKKHKGFDC08DA,坡道平面,0,32.61,地下一樓
RPSNMLTKKHKGFDC38DA,升降機械,0,20.30,地下一樓
RPTNMLKLKHKGFDC67DA,坡道平面,0,,地下三樓
RPRNMLLLKHKGFDC57DA,坡道平面,1750000,36.75,地下三樓
RPPNMLLLKHKGFDC47EA,坡道平面,0,,地下一樓
RPORMLMKKHKGFDC67DA,坡道平面,0,,地下二樓
RPXNMLOLKHKGFDC48DA,坡道平面,0,29.66,地下二樓
RPXNMLOLKHKGFDC48DA,坡道平面,0,29.66,地下二樓
RPPNMLKLKHKGFDC27DA,坡道平面,0,29.66,地下四樓
RPVNMLTKKHKGFDC68DA,坡道平面,1100000,37.74,地下三樓
RPVNMLTKKHKGFDC68DA,坡道平面,1100000,37.74,地下三樓
RPSOMLPJKHKGFDC97DA,坡道平面,0,,地下二樓
RPRNMLNJKHKGFDC57DA,坡道平面,1200000,,地下三樓
RPPNMLOJLHKGFDC67EA,坡道平面,2100000,34.60,地下五樓含以下
RPXNMLRKKIJGFDC68DA,坡道平面,0,,地下四樓
RPTNMLQKKIJGFDC18DA,坡道平面,1500000,15.87,地下一樓
RPQPMLOLKIJGFDC97DA,坡道平面,1200000,43.43,地下二樓
RPPPMLOLKIJGFDC87DA,坡道平面,1200000,43.43,地下二樓
RPSOMLOJKIJGFDC87DA,坡道平面,2400000,28.40,地下二樓
RPPNMLRLKIJGFDC97DA,坡道平面,0,,地下一樓
RPRPMLOLKIJGFDC08DA,坡道平面,1250000,41.38,地下四樓
RPOOMLNLKIJGFDC57DA,坡道平面,0,29.66,地下三樓
RPOOMLRLKIJGFDC97DA,坡道平面,0,27.14,地下四樓
RPPNMLLLKIJGFDC37DA,坡道平面,0,28.40,地下三樓
RPPNMLLLKIJGFDC37DA,坡道平面,0,28.40,地下三樓
RPPNMLLLKIJGFDC37DA,坡道平面,0,28.40,地下三樓
RPTPMLLMKIJGFDC08DA,升降機械,0,15.76,地下二樓
RPRNMLTKKIJGFDC28DA,坡道平面,0,,地下一樓
RPTNMLLMKIJGFDC87DA,坡道機械,0,13.98,地下五樓含以下
RPTNMLLMKIJGFDC87DA,坡道機械,0,13.98,地下五樓含以下
RPPNMLMJJHKGFDC17DA,坡道平面,0,32.08,地下一樓
RPPNMLMJJHKGFDC17DA,坡道平面,0,32.08,地下一樓
RPVNMLMJJHKGFDC77DA,一樓平面,0,,一樓
RPXOMLMJJHKGFDC08DA,坡道平面,0,32.07,地下一樓
RPXNMLMJJHKGFDC97DA,坡道平面,0,48.96,地下二樓
RPPNMLNJJHKGFDC27DA,坡道平面,2000000,33.44,地下一樓
RPPNMLPJJHKGFDC47DA,坡道機械,0,,二樓含以上
RPPNMLPJJHKGFDC47DA,坡道機械,0,,二樓含以上
RPVNMLKMKIJGFDC97DA,坡道平面,1200000,38.72,地下三樓
RPUOMLKMKIJGFDC97DA,坡道平面,0,45.31,地下三樓
RPPPMLSKKIJGFDC18DA,坡道平面,0,13.47,地下四樓
RPSNMLNKKIJGFDC77DA,坡道機械,0,,地下二樓
RPXNMLRJJHKGFDC48DA,一樓平面,0,,一樓
RPPPMLLMKIJGFDC67DA,坡道平面,1800000,45.42,一樓
RPQOMLNJJHKGFDC47DA,坡道平面,0,,地下二樓
RPQOMLNJJHKGFDC47DA,坡道平面,0,,地下二樓
RPXOMLKKJHKGFDC97DA,坡道平面,1300000,34.70,地下一樓
RPPNMLNKJHKGFDC47EA,坡道平面,0,34.37,地下二樓
RPPNMLOKJHKGFDC57EA,坡道平面,0,,地下二樓
RPOOMLNKJHKGFDC37DA,升降機械,1500000,10.64,地下二樓
RPRNMLMKJHKGFDC47DA,坡道平面,1900000,29.76,地下四樓
RPWNMLPKJHKGFDC28DA,坡道平面,0,7.16,地下一樓
RPVPMLOKJHKGFDC28DA,坡道平面,0,,地下一樓
RPPNMLQKJHKGFDC67DA,坡道平面,0,33.05,地下二樓
RPOOMLQKJHKGFDC67DA,坡道平面,0,,地下一樓
RPOOMLKLJHKGFDC17DA,坡道機械,0,,地下二樓
RPSNMLRKJHKGFDC18EA,坡道平面,1500000,42.51,地下二樓
RPTNMLLLJHKGFDC67DA,坡道平面,0,29.66,地下四樓
RPRNMLNLJHKGFDC67DA,坡道平面,0,,地下一樓
RPPNMLRJKIJGFDC77DA,坡道平面,2400000,28.40,地下二樓
RPROMLNLJHKGFDC77DA,坡道平面,0,,地下二樓
RPQNMLKLJHKGFDC27DA,坡道平面,0,,地下二樓
RPQOMLKKJHKGFDC27DA,坡道平面,0,34.22,地下一樓
RPQNMLNJKHKGFDC47DA,坡道平面,0,37.67,地下三樓
RPWPMLOKJHKGFDC38DA,坡道平面,0,27.45,地下三樓
RPWNMLQJKHKGFDC38DA,一樓平面,1600000,34.20,一樓
RPOQMLOKJHKGFDC67DA,升降機械,1000000,13.20,一樓
RPWOMLPJKHKGFDC38DA,坡道平面,0,,地下二樓
RPQNMLOJKHKGFDC57DA,坡道平面,0,29.28,地下二樓
RPPOMLRKJHKGFDC87DA,坡道平面,0,,地下二樓
RPUNMLNLJHKGFDC97DA,坡道機械,0,20.77,地下三樓
RPPNMLLKKHKGFDC27DA,坡道平面,1500000,15.87,地下一樓
RPPNMLLKKHKGFDC27DA,坡道平面,1500000,15.87,地下一樓
RPPNMLLKKHKGFDC27DA,坡道平面,2000000,15.87,地下一樓
RPWNMLLKKHKGFDC97DA,坡道平面,0,,地下四樓
RPOOMLKLKIJGFDC27DA,坡道平面,0,,地下一樓
RPUOMLKKJHKGFDC67DA,坡道平面,0,29.66,地下五樓含以下
RPTOMLRKKHKGFDC38DA,坡道平面,0,31.21,地下四樓
RPUNMLSKKHKGFDC48DA,坡道平面,0,,地下二樓
RPTNMLRKKHKGFDC28DA,坡道平面,0,36.73,地下二樓
RPOOMLPLKIJGFDC77DA,坡道機械,0,10.50,地下二樓
RPOOMLPLKIJGFDC77DA,坡道機械,0,10.50,地下二樓
RPVOMLKMKIJGFDC08DA,坡道平面,0,15.87,地下一樓
RPROMLTKKHKGFDC38DA,坡道平面,0,,地下一樓
RPOOMLRKKHKGFDC87DA,坡道平面,0,17.88,地下三樓
RPTNMLKKJHKGFDC47DA,坡道平面,0,34.16,地下二樓
RPVNMLOJKIJGFDC08DA,坡道平面,0,28.40,地下三樓
RPVNMLOJKIJGFDC08DA,坡道平面,0,28.40,地下三樓
RPUNMLPLKHKGFDC28DA,其他,0,,一樓
RPWNMLQLKHKGFDC58DA,其他,0,,一樓
RPVNMLRLKHKGFDC58DA,坡道平面,0,37.19,地下五樓含以下
RPROMLNJKHKGFDC67DA,坡道平面,1250000,32.08,地下二樓
RPPOMLNJKIJGFDC47DA,坡道平面,0,,地下四樓
RPPOMLSLJIJGFDC08DA,坡道平面,0,36.40,地下三樓
RPPNMLKKKIJGFDC27EA,坡道平面,0,29.66,地下二樓
RPOOMLOJKIJGFDC47DA,坡道機械,1300000,18.38,地下二樓
RPUOMLKKKIJGFDC77DA,坡道平面,0,,地下一樓
RPUOMLKKKIJGFDC77DA,坡道平面,0,,地下一樓
RPWNMLKKKIJGFDC87DA,坡道平面,800000,33.90,地下一樓
RPXNMLKKKIJGFDC97DA,坡道機械,0,17.51,地下一樓
RPXNMLLKKIJGFDC08DA,坡道平面,0,24.17,地下二樓
RPSNMLSLJIJGFDC28DA,坡道平面,0,31.42,地下一樓
RPPNMLKMJIJGFDC27DA,坡道平面,0,35.67,地下二樓
RPXNMLPLJIJGFDC48DA,坡道機械,900000,20.77,地下三樓
RPVNMLLKKIJGFDC87DA,坡道平面,0,,地下三樓
RPXNMLQKKIJGFDC58DA,坡道平面,0,,地下二樓
RPQNMLRKKIJGFDC08EA,坡道平面,0,,地下二樓
RPPOMLLKKIJGFDC37DA,坡道機械,900000,20.33,地下五樓含以下
RPROMLTLJIJGFDC38DA,坡道平面,0,,地下二樓
RPQNMLSKKIJGFDC08DA,坡道平面,0,29.66,地下三樓
RPTOMLRKKIJGFDC38DA,坡道平面,1000000,27.45,地下二樓
RPVNMLRKKIJGFDC48DA,坡道平面,0,,地下一樓
RPQNMLNLKIJGFDC67DA,坡道平面,0,28.62,地下四樓
RPUNMLOLKIJGFDC18DA,坡道平面,0,29.66,地下三樓
RPQOMLSKKIJGFDC18DA,坡道平面,0,,地下二樓
RPQOMLOLKIJGFDC87DA,坡道平面,0,29.66,地下二樓
RPVNMLPLKIJGFDC38DA,坡道平面,0,29.66,地下四樓
RPQNNLQLKIJGFDC08DA,坡道平面,1400000,27.13,地下三樓
RPVNMLPJKIJGFDC18DA,坡道平面,0,34.92,地下二樓
RPUPMLLMKIJGFDC18DA,坡道平面,0,15.58,地下一樓
RPTNMLMJJHKGFDC57DA,坡道平面,0,35.96,地下二樓
RPTNMLKMKIJGFDC77DA,坡道平面,1500000,15.87,地下三樓
RPRNMLSLKIJGFDC28DA,坡道平面,0,35.96,地下一樓
RPUPMLMJJHKGFDC87DA,坡道平面,0,,地下二樓
RPWPMLLMKIJGFDC38DA,坡道平面,0,15.87,地下三樓
RPQNMLOKJIJGFDC57DA,坡道平面,0,29.28,地下四樓
RPTNMLNJJHKGFDC67DA,一樓平面,0,,一樓
RPQNMLSJJHKGFDC87DA,坡道平面,0,38.87,一樓
RPWNMLMKKIJGFDC08DA,坡道平面,0,,地下三樓
RPTNMLSJJHKGFDC18DA,坡道平面,0,,地下一樓
RPPNMLKKJHKGFDC07DA,坡道平面,0,13.47,地下五樓含以下
RPRNMLOKJHKGFDC77EA,坡道平面,0,35.27,地下一樓
RPQNMLOKJHKGFDC67EA,坡道機械,0,17.63,地下一樓
RPXNMLQKJHKGFDC48DA,坡道機械,0,,地下二樓
RPOOMLNJJHKGFDC27DA,坡道平面,0,,地下一樓
RPXNMLOLKIJGFDC48DA,坡道平面,0,,地下一樓
RPPNMLKLKIJGFDC27DA,坡道平面,0,28.62,地下五樓含以下
RPQNMLNLJHKGFDC57DA,坡道機械,1200000,18.17,地下二樓
RPOOMLOJKHKGFDC47DA,坡道平面,0,,地下三樓
RPPNMLKKKHKGFDC17DA,坡道平面,0,,地下二樓
RPVNNLQLKIJGFDC58DA,坡道平面,0,,地下一樓
RPXNMLTLJIJGFDC88DA,坡道平面,0,35.43,地下三樓
RPUNMLSJKHKGFDC38DA,坡道機械,700000,16.50,地下一樓
