編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLKKKIJGFDC67CB,坡道平面,2650000,13.58,地下二樓
RPRNMLKKKIJGFDC37CB,坡道平面,2700000,15.10,地下三樓
RPXNMLMLJIJGFDC18CB,坡道平面,3000000,15.74,地下一樓
RPOOMLKKKIJGFDC17CB,坡道平面,2750000,15.10,地下二樓
RPSNMLMLJIJGFDC67CB,坡道平面,2750000,15.10,地下二樓
RPTNMLKKKIJGFDC57CB,坡道平面,2750000,15.10,地下二樓
RPRNMLMLJIJGFDC57CB,坡道平面,2700000,15.74,地下三樓
RPVNMLKKKIJGFDC77CB,坡道平面,2750000,15.74,地下二樓
RPPOMLKKKIJGFDC27CB,坡道平面,2300000,13.58,地下三樓
RPQNMLRLKIJGFDC08CB,坡道平面,1800000,23.75,地下一樓
RPPNMLRLKIJGFDC97CB,坡道平面,1900000,23.75,地下二樓
RPSNMLRLKIJGFDC28CB,坡道平面,2050000,23.75,地下二樓
RPSNMLRLKIJGFDC28CB,坡道平面,2050000,23.75,地下二樓
RPVNMLRLKIJGFDC58CB,坡道平面,1900000,23.75,地下二樓
RPWNMLRLKIJGFDC68CB,坡道平面,1900000,23.75,地下二樓
RPWNMLRLKIJGFDC68CB,坡道平面,1900000,23.75,地下二樓
RPXNMLRLKIJGFDC78CB,坡道平面,1900000,23.75,地下二樓
RPTNMLRLKIJGFDC38CB,坡道平面,1800000,23.75,地下一樓
RPQOMLRLKIJGFDC18CB,坡道平面,1750000,23.75,地下三樓
RPSOMLRLKIJGFDC38CB,坡道平面,1900000,23.75,地下二樓
RPROMLRLKIJGFDC28CB,坡道平面,1800000,23.75,地下一樓
RPTOMLRLKIJGFDC48CB,坡道平面,1900000,23.75,地下二樓
RPOPMLRLKIJGFDC08CB,坡道平面,1800000,23.75,地下一樓
RPQPMLRLKIJGFDC28CB,坡道平面,1900000,23.75,地下二樓
RPPPMLRLKIJGFDC18CB,坡道平面,2000000,23.75,地下三樓
RPRPMLRLKIJGFDC38CB,坡道平面,1800000,23.75,地下一樓
RPSPMLRLKIJGFDC48CB,坡道平面,1700000,23.75,地下一樓
RPTPMLRLKIJGFDC58CB,坡道平面,1800000,23.75,地下一樓
RPUPMLRLKIJGFDC68CB,坡道平面,1900000,23.75,地下二樓
RPVPMLRLKIJGFDC78CB,坡道平面,2000000,23.75,地下三樓
RPWPMLRLKIJGFDC88CB,坡道平面,2050000,23.75,地下二樓
RPOQMLRLKIJGFDC18CB,坡道平面,2000000,23.75,地下三樓
RPXPMLRLKIJGFDC98CB,坡道平面,1900000,23.75,地下二樓
RPOQMLRLKIJGFDC18CB,坡道平面,2000000,23.75,地下三樓
RPPQMLRLKIJGFDC28CB,坡道平面,1650000,23.75,地下二樓
RPQQMLRLKIJGFDC38CB,坡道平面,1800000,23.75,地下一樓
RPWOMLRLKIJGFDC78CB,坡道平面,2050000,23.75,地下二樓
RPVOMLRLKIJGFDC68CB,坡道平面,1800000,23.75,地下一樓
RPXOMLRLKIJGFDC88CB,坡道平面,2000000,23.75,地下三樓
RPRQMLRLKIJGFDC48CB,坡道平面,1900000,23.75,地下二樓
RPSQMLRLKIJGFDC58CB,坡道平面,1800000,23.75,地下一樓
RPTQMLRLKIJGFDC68CB,坡道平面,2000000,23.75,地下三樓
RPTQMLRLKIJGFDC68CB,坡道平面,2000000,23.75,地下三樓
RPUQMLRLKIJGFDC78CB,坡道平面,1800000,23.75,地下一樓
RPWQMLRLKIJGFDC98CB,坡道平面,1900000,23.75,地下二樓
RPVQMLRLKIJGFDC88CB,坡道平面,1900000,23.75,地下二樓
RPQRMLRLKIJGFDC48CB,坡道平面,1900000,23.75,地下二樓
RPORMLRLKIJGFDC28CB,坡道平面,2000000,23.75,地下三樓
RPORMLRLKIJGFDC28CB,坡道平面,1900000,23.75,地下三樓
RPPRMLRLKIJGFDC38CB,坡道平面,1900000,23.75,地下二樓
RPXQMLRLKIJGFDC09CB,坡道平面,1800000,23.75,地下一樓
RPRRMLRLKIJGFDC58CB,坡道平面,1900000,23.75,地下二樓
RPSRMLRLKIJGFDC68CB,坡道平面,1900000,23.75,地下二樓
RPTRMLRLKIJGFDC78CB,坡道平面,1800000,23.75,地下一樓
RPVRMLRLKIJGFDC98CB,坡道平面,2000000,23.75,地下三樓
RPURMLRLKIJGFDC88CB,坡道平面,1900000,23.75,地下二樓
RPXRMLRLKIJGFDC56CB,坡道平面,1800000,23.75,地下一樓
RPOSMLRLKIJGFDC38CB,坡道平面,1800000,23.75,地下一樓
RPWRMLRLKIJGFDC09CB,坡道平面,1800000,23.75,地下一樓
RPQSMLRLKIJGFDC58CB,坡道平面,1900000,23.75,地下二樓
RPPSMLRLKIJGFDC48CB,坡道平面,2050000,23.75,地下二樓
RPSSMLRLKIJGFDC78CB,坡道平面,1900000,23.75,地下二樓
RPRSMLRLKIJGFDC68CB,坡道平面,1800000,23.75,地下一樓
RPTSMLRLKIJGFDC88CB,坡道平面,1800000,23.75,地下一樓
RPUSMLRLKIJGFDC98CB,坡道平面,1900000,23.75,地下二樓
RPUSMLRLKIJGFDC98CB,坡道平面,1900000,23.75,地下二樓
RPWSMLRLKIJGFDC56CB,坡道平面,1900000,23.75,地下二樓
RPVSMLRLKIJGFDC09CB,坡道平面,1800000,23.75,地下一樓
RPXSMLRLKIJGFDC66CB,坡道平面,1900000,23.75,地下二樓
RPOTMLRLKIJGFDC48CB,坡道平面,1800000,23.75,地下一樓
RPPTMLRLKIJGFDC58CB,坡道平面,2000000,23.75,地下三樓
RPQTMLRLKIJGFDC68CB,坡道平面,1800000,23.75,地下一樓
RPSTMLRLKIJGFDC88CB,坡道平面,1900000,23.75,地下二樓
RPRTMLRLKIJGFDC78CB,坡道平面,1900000,23.75,地下二樓
RPTTMLRLKIJGFDC98CB,坡道平面,2000000,23.75,地下三樓
RPVTMLRLKIJGFDC56CB,坡道平面,1800000,23.75,地下一樓
RPUTMLRLKIJGFDC09CB,坡道平面,1900000,23.75,地下二樓
RPWTMLRLKIJGFDC66CB,坡道平面,2000000,23.75,地下三樓
RPPUMLRLKIJGFDC68CB,坡道平面,2000000,23.75,地下三樓
RPOUMLRLKIJGFDC58CB,坡道平面,1800000,23.75,地下一樓
RPXTMLRLKIJGFDC76CB,坡道平面,1900000,23.75,地下二樓
RPQUMLRLKIJGFDC78CB,坡道平面,1800000,23.75,地下一樓
RPRUMLRLKIJGFDC88CB,坡道平面,1800000,23.75,地下一樓
RPUNMLRLKIJGFDC48CB,坡道平面,1800000,23.75,地下一樓
RPPOMLRLKIJGFDC08CB,坡道平面,1900000,23.75,地下二樓
RPSUMLRLKIJGFDC98CB,坡道平面,1700000,23.75,地下一樓
RPTUMLRLKIJGFDC09CB,坡道平面,2000000,23.75,地下三樓
RPVUMLRLKIJGFDC66CB,坡道平面,1900000,23.75,地下二樓
RPWUMLRLKIJGFDC76CB,坡道平面,1800000,23.75,地下二樓
RPWUMLRLKIJGFDC76CB,坡道平面,1900000,23.75,地下二樓
RPUUMLRLKIJGFDC56CB,坡道平面,1550000,23.75,地下一樓
RPPVMLRLKIJGFDC78CB,坡道平面,1900000,23.75,地下二樓
RPXUMLRLKIJGFDC86CB,坡道平面,1900000,23.75,地下二樓
RPQVMLRLKIJGFDC88CB,坡道平面,1800000,23.75,地下一樓
RPOVMLRLKIJGFDC68CB,坡道平面,1800000,23.75,地下一樓
RPRVMLRLKIJGFDC98CB,坡道平面,1950000,23.75,地下一樓
RPSVMLRLKIJGFDC09CB,坡道平面,1800000,23.75,地下一樓
RPTVMLRLKIJGFDC56CB,坡道平面,1800000,23.75,地下一樓
RPQWMLRLKIJGFDC98CB,坡道平面,1800000,23.75,地下二樓
RPPWMLRLKIJGFDC88CB,坡道平面,1900000,23.75,地下二樓
RPUVMLRLKIJGFDC66CB,坡道平面,1900000,23.75,地下二樓
RPVVMLRLKIJGFDC76CB,坡道平面,1800000,23.75,地下一樓
RPWVMLRLKIJGFDC86CB,坡道平面,1900000,23.75,地下二樓
RPXVMLRLKIJGFDC96CB,坡道平面,1900000,23.75,地下二樓
RPOWMLRLKIJGFDC78CB,坡道平面,1950000,23.75,地下一樓
RPOWMLRLKIJGFDC78CB,坡道平面,1950000,23.75,地下一樓
RPRWMLRLKIJGFDC09CB,坡道平面,1900000,23.75,地下二樓
RPWWMLRLKIJGFDC96CB,坡道平面,2000000,23.75,地下三樓
RPONNLRLKIJGFDC97CB,坡道平面,1800000,23.75,地下一樓
RPTWMLRLKIJGFDC66CB,坡道平面,1900000,23.75,地下二樓
RPSWMLRLKIJGFDC56CB,坡道平面,1800000,23.75,地下一樓
RPVWMLRLKIJGFDC86CB,坡道平面,1700000,23.75,地下一樓
RPXWMLRLKIJGFDC07CB,坡道平面,1700000,23.75,地下一樓
RPUWMLRLKIJGFDC76CB,坡道平面,1800000,23.75,地下一樓
RPPNNLRLKIJGFDC08CB,坡道平面,1900000,23.75,地下二樓
RPPNNLRLKIJGFDC08CB,坡道平面,1900000,23.75,地下二樓
RPQNNLRLKIJGFDC18CB,坡道平面,1900000,23.75,地下二樓
RPRNNLRLKIJGFDC28CB,坡道平面,1800000,23.75,地下一樓
RPUNNLRLKIJGFDC58CB,坡道平面,1800000,23.75,地下一樓
RPVNNLRLKIJGFDC68CB,坡道平面,1800000,23.75,地下一樓
RPTNNLRLKIJGFDC48CB,坡道平面,1900000,23.75,地下二樓
RPSNNLRLKIJGFDC38CB,坡道平面,1700000,23.75,地下一樓
RPWNNLRLKIJGFDC78CB,坡道平面,1800000,23.75,地下一樓
RPOONLRLKIJGFDC08CB,坡道平面,1800000,23.75,地下一樓
RPXNNLRLKIJGFDC88CB,坡道平面,1800000,23.75,地下二樓
RPRONLRLKIJGFDC38CB,坡道平面,2000000,23.75,地下三樓
RPPONLRLKIJGFDC18CB,坡道平面,1900000,23.75,地下二樓
RPSONLRLKIJGFDC48CB,坡道平面,2000000,23.75,地下三樓
RPTONLRLKIJGFDC58CB,坡道平面,2000000,23.75,地下三樓
RPQONLRLKIJGFDC28CB,坡道平面,1900000,23.75,地下二樓
RPUOMLRLKIJGFDC58CB,坡道平面,1900000,23.75,地下二樓
RPOOMLRLKIJGFDC97CB,坡道平面,1900000,23.75,地下二樓
RPRNMLRLKIJGFDC18CB,坡道平面,1800000,23.75,地下一樓
RPVONLRLKIJGFDC78CB,坡道平面,1900000,23.75,地下二樓
RPWONLRLKIJGFDC88CB,坡道平面,1900000,23.75,地下二樓
RPUONLRLKIJGFDC68CB,坡道平面,1800000,23.75,地下一樓
RPRPNLRLKIJGFDC48CB,坡道平面,1800000,23.75,地下一樓
RPRNMLTLKIJGFDC38CB,坡道平面,2950000,15.74,地下二樓
RPPNMLMJJHKGFDC17CB,坡道平面,1800000,23.75,地下一樓
RPQPNLRLKIJGFDC38CB,坡道平面,1900000,23.75,地下三樓
RPQPNLRLKIJGFDC38CB,坡道平面,2000000,23.75,地下三樓
RPPPNLRLKIJGFDC28CB,坡道平面,1950000,23.75,地下一樓
RPPPNLRLKIJGFDC28CB,坡道平面,1950000,23.75,地下一樓
RPXONLRLKIJGFDC98CB,坡道平面,1900000,23.75,地下二樓
RPOPNLRLKIJGFDC18CB,坡道平面,1800000,23.75,地下一樓
RPRNMLMJJHKGFDC37CB,坡道平面,1900000,23.75,地下二樓
RPQNMLMJJHKGFDC27CB,坡道平面,1800000,23.75,地下一樓
RPUNMLMJJHKGFDC67CB,坡道平面,1800000,23.75,地下一樓
RPSNMLMJJHKGFDC47CB,坡道平面,1900000,23.75,地下二樓
RPTNMLMJJHKGFDC57CB,坡道平面,1900000,23.75,地下二樓
RPOOMLMJJHKGFDC17CB,坡道平面,1800000,23.75,地下一樓
RPPOMLMJJHKGFDC27CB,坡道平面,2000000,23.75,地下三樓
RPVNMLMJJHKGFDC77CB,坡道平面,1800000,23.75,地下一樓
RPQOMLMJJHKGFDC37CB,坡道平面,1900000,23.75,地下二樓
RPWNMLMJJHKGFDC87CB,坡道平面,1900000,23.75,地下二樓
RPXNMLMJJHKGFDC97CB,坡道平面,1800000,23.75,地下一樓
RPROMLMJJHKGFDC47CB,坡道平面,2000000,23.75,地下三樓
RPROMLMJJHKGFDC47CB,坡道平面,2000000,23.75,地下三樓
RPTOMLMJJHKGFDC67CB,坡道平面,1900000,23.75,地下二樓
RPSOMLMJJHKGFDC57CB,坡道平面,1900000,23.75,地下二樓
RPPNMLQJJHKGFDC57CB,坡道平面,2000000,23.75,地下三樓
RPRNMLQJJHKGFDC77CB,坡道平面,1650000,23.75,地下二樓
RPQNMLQJJHKGFDC67CB,坡道平面,2000000,23.75,地下三樓
RPUNMLQJJHKGFDC08CB,坡道平面,1800000,23.75,地下一樓
RPTNMLQJJHKGFDC97CB,坡道平面,1800000,23.75,地下一樓
RPSNMLQJJHKGFDC87CB,坡道平面,2000000,23.75,地下三樓
RPWNMLQJJHKGFDC28CB,坡道平面,2000000,23.75,地下三樓
RPVNMLQJJHKGFDC18CB,坡道平面,2000000,23.75,地下三樓
RPVNMLQJJHKGFDC18CB,坡道平面,2000000,23.75,地下三樓
RPVNMLRKJHKGFDC38CB,坡道平面,1800000,23.75,地下一樓
RPPNMLRKJHKGFDC77CB,坡道平面,1800000,23.75,地下一樓
RPRNMLRKJHKGFDC97CB,坡道平面,1800000,23.75,地下一樓
RPUNMLRKJHKGFDC28CB,坡道平面,1900000,23.75,地下二樓
RPQNMLRKJHKGFDC87CB,坡道平面,1900000,23.75,地下二樓
RPQNMLRKJHKGFDC87CB,坡道平面,1900000,23.75,地下二樓
RPSNMLRKJHKGFDC08CB,坡道平面,1800000,23.75,地下一樓
RPTNMLRKJHKGFDC18CB,坡道平面,1800000,23.75,地下一樓
RPWNMLRKJHKGFDC48CB,坡道平面,1900000,23.75,地下二樓
RPPNMLKLJHKGFDC17CB,坡道平面,1900000,23.75,地下二樓
RPPNMLTKJHKGFDC97CB,坡道平面,3100000,15.75,地下一樓
RPOOMLRKJHKGFDC77CB,坡道平面,1900000,23.75,地下二樓
RPXNMLRKJHKGFDC58CB,坡道平面,1800000,23.75,地下一樓
RPQOMLRKJHKGFDC97CB,坡道平面,2000000,23.75,地下三樓
RPPOMLRKJHKGFDC87CB,坡道平面,1800000,23.75,地下一樓
RPQNMLKLJHKGFDC27CB,坡道平面,1800000,23.75,地下一樓
RPRNMLKLJHKGFDC37CB,坡道平面,1800000,23.75,地下一樓
RPRNMLKLJHKGFDC37CB,坡道平面,1800000,23.75,地下一樓
RPSNMLKLJHKGFDC47CB,坡道平面,1700000,23.75,地下一樓
RPWNMLKLJHKGFDC87CB,坡道平面,1800000,23.75,地下一樓
RPXNMLKLJHKGFDC97CB,坡道平面,1900000,23.75,地下二樓
RPQNMLOJKHKGFDC57CB,坡道平面,1850000,23.75,地下二樓
RPOOMLKLJHKGFDC17CB,坡道平面,1800000,23.75,地下二樓
RPPNMLOJKHKGFDC47CB,坡道平面,1850000,23.75,地下二樓
RPTNMLKLJHKGFDC57CB,坡道平面,1800000,23.75,地下一樓
RPQOMLKLJHKGFDC37CB,坡道平面,1800000,23.75,地下一樓
RPPOMLKLJHKGFDC27CB,坡道平面,1900000,23.75,地下二樓
RPRNMLOJKHKGFDC67CB,坡道平面,1850000,23.75,地下二樓
RPSNMLOJKHKGFDC77CB,坡道平面,1850000,23.75,地下二樓
RPTNMLOJKHKGFDC87CB,坡道平面,2000000,23.75,地下二樓
RPUNMLOJKHKGFDC97CB,坡道平面,1750000,23.75,地下一樓
RPRNMLPJKHKGFDC77CB,坡道平面,1550000,23.75,地下一樓
RPSNMLPJKHKGFDC87CB,坡道平面,1800000,23.75,地下二樓
RPPNMLNKKHKGFDC47CB,坡道平面,1700000,23.75,地下一樓
RPQNMLNKKHKGFDC57CB,坡道平面,1800000,23.75,地下一樓
RPSNMLNKKHKGFDC77CB,坡道平面,1800000,23.75,地下一樓
RPUNMLNKKHKGFDC97CB,坡道平面,2000000,23.75,地下三樓
