編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKKLHKGFHD77DA,大營段,15.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,34950008
RPPNMLQJLHKGFDD97EA,篤農段,62.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,24,1,持分移轉,03790000
RPPNMLRJLHKGFHD48EA,大新段,1729.88,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01280000
RPXPMLRJLHKGFHD76DA,中興段,614.19,非都市：森林區 ; 非都市編定：農牧用地,3,1,持分移轉,03430000
RPTNMLPJLHKGFBD97DA,福國段,97.95,都市：其他:主要計畫道路用地,2,1,持分移轉,05210000
RPTNMLRJKHKGFAD97DA,星鑽段,2.42,都市：其他:商業區,10000,20,持分移轉,18300000
SPTNMLRJKHKGFAD08DA,星鑽段,2.42,都市：其他:商業區,10000,20,持分移轉,18300000
RPTNMLRJKHKGFAD97DA,星鑽段,.69,都市：其他:商業區,10000,20,持分移轉,18400000
SPTNMLRJKHKGFAD08DA,星鑽段,.69,都市：其他:商業區,10000,20,持分移轉,18400000
RPQNMLQJKHKGFDD87DA,果毅後段,63.50,非都市：特定農業區 ; 非都市編定：水利用地,6,1,持分移轉,16280001
RPQNMLQJKHKGFDD87DA,果毅後段,205.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,36860001
RPQNMLQJKHKGFDD87DA,果毅後段,71.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,1378,511,持分移轉,36860003
RPQNMLQJKHKGFDD87DA,果毅後段,234.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,36860005
RPQNMLPJLHKGFED08EA,玉豐段,3896.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12700000
RPPOMLQJKHKGFFD08DA,南廍段,1479.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03860000
RPPNMLRJKHKGFFD18EA,東角段,10.30,都市：其他:住宅區,6,1,持分移轉,11170004
RPQNMLKKKHKGFED47DA,東山段,1700.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21290000
RPPNMLLKKHKGFDD37DA,南港段,82.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06720000
RPQOMLOJKHKGFGD08DA,通興段,16.12,非都市：鄉村區 ; 非都市編定：交通用地,1000,375,持分移轉,02820000
RPQOMLOJKHKGFGD08DA,通興段,65.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,375,持分移轉,02830000
RPQOMLOJKHKGFGD08DA,通興段,1.02,非都市：鄉村區 ; 非都市編定：交通用地,1000,170,持分移轉,02850000
RPQOMLOJKHKGFGD08DA,通興段,91.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,375,持分移轉,02860004
RPQOMLOJKHKGFGD08DA,通興段,11.39,非都市：鄉村區 ; 非都市編定：交通用地,1000,170,持分移轉,03200000
RPQOMLOJKHKGFGD08DA,通興段,10.03,非都市：鄉村區 ; 非都市編定：交通用地,1000,170,持分移轉,03230000
RPQOMLOJKHKGFGD08DA,通興段,3.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,375,持分移轉,03240000
RPQOMLOJKHKGFGD08DA,通興段,1.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,48,4,持分移轉,03250000
RPSNMLSJKHKGFDD38EA,新岸段,3.29,都市：其他:住宅區,1,1,全筆移轉,12390001
RPSOMLQJKHKGFHD58DA,大營段,7.37,非都市：一般農業區 ; 非都市編定：農牧用地,198,1,持分移轉,34250000
RPSOMLQJKHKGFHD58DA,大營段,2.42,非都市：一般農業區 ; 非都市編定：交通用地,198,1,持分移轉,34250001
RPTOMLKKKHKGFDD87EA,柳營段溫厝廍小段,2589.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07270000
RPRNMLLKKHKGFHD97DA,新武段,3.43,都市：其他:住宅區,54,1,持分移轉,09320000
RPRNMLLKKHKGFHD97DA,新武段,81.79,都市：其他:住宅區,2,1,持分移轉,10750000
RPRNMLLKKHKGFHD97DA,新武段,.70,都市：其他:住宅區,18,1,持分移轉,10760000
RPOOMLLKKHKGFHD77DA,保安段,5.47,都市：其他:住宅區,6,4,持分移轉,01300000
RPRNMLNJKHKGFID28EA,深坑子段,2027.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01610000
RPRNMLSJKHKGFDD18DA,歡雅段,20.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,02250000
RPPNMLNKKHKGFED77EA,許秀才段,1500.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21110000
RPRNMLSJKHKGFDD18DA,歡雅段,101.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02420000
RPPNMLMKKHKGFHD97EA,內庄子段,691.00,非都市：一般農業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,04050003
RPTNMLKKKHKGFCD57DA,富裕段,34.27,都市：其他:細部計畫道路用地,1,1,全筆移轉,08110000
