編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLOKJIJGFKD38CB,坡道平面,1780000,16.48,一樓
RPTNMLNKJIJGFKD58CB,坡道平面,1300000,27.03,地下二樓
RPQNMLSKJIJGFKD78CB,坡道平面,1800000,31.60,地下一樓
RPSNMLTKJIJGFID88CB,一樓平面,1700000,23.14,一樓
RPPNMLTKJIJGFID58CB,坡道平面,1600000,27.17,地下二樓
RPPNMLRKJIJGFDD87CB,一樓平面,1500000,31.03,一樓
RPTNMLTKJIJGFID98CB,坡道平面,1600000,31.73,地下一樓
RPQNMLTKJIJGFID68CB,一樓平面,1600000,14.87,一樓
RPOOMLTKJIJGFID58CB,坡道平面,1650000,29.75,地下二樓
RPPNMLKLJIJGFID87DB,坡道平面,1500000,33.07,地下二樓
RPPNMLLLJIJGFKD08CB,坡道平面,1800000,36.17,一樓
RPRNMLMLJIJGFBD47CB,坡道平面,1700000,26.81,地下二樓
RPPNMLTKJIJGFFD38DB,坡道平面,1200000,26.45,地下三樓
RPQNMLMLJIJGFDD57CB,坡道平面,1300000,31.03,地下一樓
RPPNMLKLJIJGFFD57DB,坡道平面,1400000,29.75,地下一樓
RPPNMLKLJIJGFFD57DB,坡道平面,1300000,26.45,地下一樓
RPPNMLKLJIJGFFD57DB,坡道平面,1300000,26.45,地下一樓
RPRNMLMLJIJGFDD67CB,坡道平面,1300000,31.03,地下一樓
RPXOMLLLJIJGFDD28CB,坡道平面,1250000,27.12,地下三樓
RPSNMLMLJIJGFDD77CB,坡道平面,1300000,31.03,地下一樓
RPPPMLLLJIJGFDD57CB,坡道平面,1250000,27.12,地下三樓
RPOPMLLLJIJGFDD47CB,坡道平面,1250000,27.12,地下三樓
RPTNMLMLJIJGFDD87CB,一樓平面,1500000,31.03,一樓
RPQNMLMLJIJGFKD28CB,坡道平面,1260000,24.97,地下二樓
RPPNMLMLJIJGFKD18CB,坡道平面,1580000,24.97,地下二樓
RPVNMLMLJIJGFDD08CB,坡道平面,1300000,31.03,地下一樓
RPOOMLNLJIJGFBD37CB,坡道平面,1600000,21.05,地下二樓
RPPNMLNLJIJGFDD57CB,坡道平面,1450000,27.12,地下一樓
RPXNMLNLJIJGFBD18CB,坡道機械,800000,10.19,地下三樓
RPPNMLNLJIJGFKD28CB,坡道平面,1750000,24.86,地下三樓
RPSNMLMLJIJGFHD18CB,一樓平面,1500000,21.49,一樓
RPQNMLNLJIJGFDD67CB,坡道平面,1250000,27.12,地下三樓
RPRNMLPLJIJGFHD38CB,坡道平面,1450000,25.45,地下一樓
