編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXOMLNKJIJGFCD38CC,坡道平面,3300,,地下一樓
RPTNMLOKJIJGFID58CC,坡道平面,0,,地下一樓
RPUNMLSKJIJGFAD28CC,坡道平面,0,,地下一樓
RPQNMLSKJIJGFBD97CC,坡道平面,0,25.60,地下二樓
RPSOMLSKJIJGFAD18CC,坡道平面,0,,地下一樓
RPSPMLTKJIJGFAD38CC,坡道平面,0,,地下二樓
RPPNMLTKJIJGFHD58CC,其他,0,11.58,一樓
RPUNMLKLJIJGFKD58CC,坡道機械,0,,地下一樓
RPRNMLKLJIJGFHD97CC,坡道機械,0,5.11,地下一樓
RPQNMLLLJIJGFAD27CC,坡道機械,0,29.39,地下四樓
RPPNMLLLJIJGFBD27CC,坡道平面,0,22.91,地下二樓
RPTNMLMLJIJGFAD67CC,坡道平面,0,32.55,地下三樓
RPQNMLMLJIJGFCD57CC,坡道機械,0,9.83,地下一樓
RPROMLMLJIJGFCD77CC,坡道平面,0,,地下四樓
RPTOMLMLJIJGFCD97CC,坡道平面,3300,,地下一樓
RPXOMLMLJIJGFCD38CC,坡道平面,0,,地下一樓
RPWOMLMLJIJGFCD28CC,坡道平面,3300,,地下一樓
RPTNMLMLJIJGFHD38CC,升降機械,0,,一樓
RPXNMLMLJIJGFKD09CC,坡道機械,0,,地下一樓
RPVNMLMLJIJGFKD88CC,坡道平面,0,33.01,地下一樓
RPVNMLMLJIJGFKD88CC,坡道平面,0,33.01,地下一樓
RPRNMLPLJIJGFBD87CC,坡道平面,0,21.22,地下一樓
RPSNMLPLJIJGFBD97CC,坡道平面,0,30.18,地下二樓
RPQNMLPLJIJGFHD38CC,坡道平面,500,,一樓
RPPNMLTKJIJGFGD48CC,一樓平面,0,14.88,一樓
RPOPMLPLJIJGFKD68CC,坡道機械,0,,地下二樓
RPXNMLQLJIJGFAD48CC,坡道平面,0,39.46,地下三樓
RPWNMLQLJIJGFAD38CC,坡道平面,0,25.96,地下二樓
RPVOMLQLJIJGFAD38CC,其他,0,,地下一樓
RPTOMLQLJIJGFCD38CC,坡道機械,0,27.39,地下三樓
RPVNMLQLJIJGFKD66CC,坡道平面,0,37.35,地下四樓
RPVNMLRLJIJGFCD58CC,坡道機械,0,,地下一樓
RPPNMLRLJIJGFKD78CC,坡道平面,0,16.23,地下二樓
RPQNMLRLJIJGFHD58CC,一樓平面,0,,一樓
RPXNMLRLJIJGFKD96CC,坡道平面,0,22.39,地下一樓
RPQNMLSLJIJGFHD68CC,坡道平面,0,19.66,地下一樓
RPPNMLSLJIJGFKD88CC,坡道平面,0,,地下一樓
RPQNMLSLJIJGFID78CC,坡道機械,600,12.24,地下二樓
RPPOMLSLJIJGFAD97CC,升降機械,0,28.37,地下五樓含以下
RPROMLSLJIJGFAD18CC,坡道平面,0,,地下二樓
RPPNMLTLJIJGFID78CC,一樓平面,2000,15.00,一樓
RPPNMLKMJIJGFBD27CC,坡道平面,1000,23.33,地下二樓
RPPNMLKMJIJGFCD37CC,坡道機械,2000,9.83,地下一樓
RPPNMLKMJIJGFHD87CC,坡道平面,0,12.94,一樓
RPXNMLTLJIJGFKD17CC,坡道平面,0,37.35,地下三樓
RPPNMLKMJIJGFKD18CC,坡道平面,2000,,地下一樓
RPQNMLKMJIJGFKD28CC,坡道平面,0,39.40,地下三樓
RPPNMLMJKIJGFAD17CC,坡道機械,0,11.17,地下三樓
RPPOMLMJKIJGFAD27CC,坡道平面,0,16.55,地下二樓
RPRNMLTLJIJGFAD18CC,坡道平面,2000,,地下一樓
RPPOMLMJKIJGFCD47CC,坡道平面,0,27.27,地下一樓
RPXNMLMJKIJGFCD18CC,坡道平面,0,38.66,地下三樓
RPUNMLMJKIJGFKD68CC,坡道平面,2000,24.30,地下二樓
RPRNMLMJKIJGFKD38CC,坡道平面,0,26.25,地下三樓
RPRNMLNJKIJGFCD67CC,坡道平面,0,33.74,地下三樓
RPPNMLNJKIJGFID08CC,一樓平面,0,16.12,一樓
RPSOMLNJKIJGFCD87CC,坡道平面,0,,地下一樓
RPSNMLOJKIJGFCD87CC,坡道平面,3300,,地下一樓
RPWNMLOJKIJGFCD28CC,坡道平面,3300,,地下一樓
RPQNMLOJKIJGFID28CC,坡道平面,0,25.79,地下一樓
RPSNMLOJKIJGFHD38CC,坡道平面,0,26.06,地下二樓
RPWOMLOJKIJGFAD18CC,坡道平面,0,,地下一樓
RPVNMLPJKIJGFAD08CC,坡道平面,0,19.79,地下一樓
RPPOMLPJKIJGFAD57CC,坡道平面,0,30.66,地下五樓含以下
RPPNMLPJKIJGFCD67CC,坡道平面,0,40.92,地下四樓
RPTNMLPJKIJGFBD97CC,一樓平面,0,,一樓
RPSNMLPJKIJGFCD97CC,坡道平面,0,15.13,地下二樓
RPWNMLPJKIJGFCD38CC,坡道機械,0,,地下一樓
RPVNMLPJKIJGFCD28CC,坡道機械,0,,地下一樓
RPXNMLPJKIJGFCD48CC,坡道機械,0,27.39,地下三樓
RPVOMLPJKIJGFCD38CC,坡道平面,0,15.13,地下二樓
RPRNMLPJKIJGFHD38CC,坡道平面,0,13.75,一樓
RPPNMLQJKIJGFAD57CC,坡道平面,0,27.75,地下一樓
RPOOMLQJKIJGFCD77CC,坡道平面,0,29.01,地下二樓
RPXNMLQJKIJGFKD76CC,坡道平面,0,34.41,地下二樓
RPOOMLQJKIJGFKD58CC,坡道平面,0,34.41,地下三樓
RPQNMLRJKIJGFID58CC,坡道平面,2700,17.45,地下二樓
