編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRKJIJGFLE78CB,內厝段,25.81,都市：住,10000,531,持分移轉,00370002
RPPNMLPKJIJGFCE67CB,港墘段,13.07,都市：住,100000,734,持分移轉,02070002
RPVNMLQKJIJGFFE68CB,信義段,24.41,都市：住,100000,825,持分移轉,00300000
RPUNMLQKJIJGFFE58CB,信義段,17.22,都市：住,100000,582,持分移轉,00300000
RPPNMLSKJIJGFCE97CB,高鳳段,34.08,都市：住,10000,284,持分移轉,12900000
RPQNMLQKJIJGFIE58DB,八卦段,23.97,都市：住,100000,496,持分移轉,00430000
RPQNMLSKJIJGFCE08CB,高鳳段,26.16,都市：住,10000,218,持分移轉,12900000
RPPNMLTKJIJGFCE08CB,坪松段,9.90,都市：商,10000,27,持分移轉,00610000
RPPNMLTKJIJGFCE08CB,坪松段,6.88,都市：商,10000,27,持分移轉,00670000
RPSNMLSKJIJGFGE68CB,竹子腳段,8.54,都市：住,100000,227,持分移轉,02610030
RPSNMLSKJIJGFGE68CB,竹子腳段,.52,都市：住,100000,227,持分移轉,02020013
RPSNMLSKJIJGFGE68CB,竹子腳段,1.87,都市：住,100000,227,持分移轉,02600001
RPSNMLSKJIJGFGE68CB,竹子腳段,.89,都市：住,100000,227,持分移轉,02600022
RPSNMLSKJIJGFGE68CB,竹子腳段,1.73,都市：住,100000,227,持分移轉,02600023
RPSNMLSKJIJGFGE68CB,竹子腳段,.07,都市：住,100000,227,持分移轉,02610004
RPSNMLSKJIJGFGE68CB,竹子腳段,1.75,都市：住,100000,227,持分移轉,02600027
RPSNMLSKJIJGFGE68CB,竹子腳段,1.77,都市：住,100000,227,持分移轉,02610028
RPSNMLSKJIJGFGE68CB,竹子腳段,.12,都市：住,100000,227,持分移轉,02610065
RPPNMLSKJIJGFEE18CB,左屏段,9.13,都市：住,100000,316,持分移轉,00020000
RPQNMLSKJIJGFGE48CB,竹子腳段,5.15,都市：住,100000,137,持分移轉,02610030
RPQNMLSKJIJGFGE48CB,竹子腳段,.32,都市：住,100000,137,持分移轉,02020013
RPQNMLSKJIJGFGE48CB,竹子腳段,1.13,都市：住,100000,137,持分移轉,02600001
RPQNMLSKJIJGFGE48CB,竹子腳段,.54,都市：住,100000,137,持分移轉,02600022
RPQNMLSKJIJGFGE48CB,竹子腳段,1.04,都市：住,100000,137,持分移轉,02600023
RPQNMLSKJIJGFGE48CB,竹子腳段,.04,都市：住,100000,137,持分移轉,02610004
RPQNMLSKJIJGFGE48CB,竹子腳段,1.06,都市：住,100000,137,持分移轉,02600027
RPQNMLSKJIJGFGE48CB,竹子腳段,1.07,都市：住,100000,137,持分移轉,02610028
RPQNMLSKJIJGFGE48CB,竹子腳段,.07,都市：住,100000,137,持分移轉,02610065
RPRNMLTKJIJGFIE88CB,澄德段,14.53,都市：商,100000,280,持分移轉,00940000
RPUNMLLLJIJGFBE77CB,新興段四小段,15.14,都市：商,1000000,15005,持分移轉,16530000
RPSNMLLLJIJGFEE87CB,和平段二小段,6.88,都市：商,10000,39,持分移轉,03430000
RPTNMLLLJIJGFEE97CB,新光段,8.94,都市：住,100000,398,持分移轉,01180000
RPPNMLLLJIJGFEE57CB,左屏段,7.74,都市：住,100000,268,持分移轉,00020000
RPPNMLLLJIJGFLE28CB,田中央段,18.80,都市：商,100000,502,持分移轉,00020000
RPVNMLLLJIJGFEE18CB,新光段,8.24,都市：住,100000,367,持分移轉,01180000
RPSNMLLLJIJGFIE38DB,興農段,15.86,都市：住,100000,931,持分移轉,08460000
RPPNMLLLJIJGFFE67CB,後壁田段,12.64,都市：住,10000,12,持分移轉,03660000
RPQNMLLLJIJGFIE18DB,興農段,18.51,都市：住,100000,1086,持分移轉,08460000
RPPNMLMLJIJGFEE67CB,左東段,9.92,都市：商,10000,12,持分移轉,00180001
RPQNMLMLJIJGFEE77CB,左東段,14.89,都市：商,10000,18,持分移轉,00180001
RPRNMLMLJIJGFEE87CB,新光段,10.58,都市：住,100000,471,持分移轉,01180000
RPSNMLMLJIJGFEE97CB,新光段,10.22,都市：住,100000,455,持分移轉,01180000
RPTNMLMLJIJGFEE08CB,新光段,8.94,都市：住,100000,398,持分移轉,01180000
