編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQOMLMKJIJGFBE57CC,42,31.33,公寓,鋼筋混凝土造,72年5月5日,十二層,,
RPSNMLNKJIJGFAE67CC,41,89.63,,鋼筋混凝土造,72年12月31日,五層,,
RPQOMLMKJIJGFBE57CC,42,7.70,,鋼筋混凝土造,72年5月5日,十二層,,
RPSNMLNKJIJGFAE67CC,41,12.62,,鋼筋混凝土造,72年12月31日,五層,,
RPUNMLMKJIJGFBE87CC,28,12.65,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,,
RPQOMLMKJIJGFCE67CC,30,25.11,住家用,鋼筋混凝土造,84年3月27日,十九層,,
RPQOMLMKJIJGFCE67CC,30,8.11,見使用執照,鋼筋混凝土造,84年3月27日,十九層,,
RPQOMLMKJIJGFCE67CC,30,6.55,見使用執照,鋼筋混凝土造,84年3月27日,十九層,,
RPSNMLLKJIJGFAE47CC,19,75.17,住商用,鋼筋混凝土造,95年1月16日,五層,,
RPSNMLLKJIJGFIE28CC,16,197.12,住商用,鋼筋混凝土造,97年7月2日,三層,,
RPSOMLMKJIJGFDE97CC,39,33.33,,鋼筋混凝土造,75年2月21日,五層,,
RPQNMLNKJIJGFCE67CC,43,75.86,住宅,鋼筋混凝土造,70年9月23日,五層,,
RPSNMLNKJIJGFCE87CC,42,59.04,店舖,鋼筋混凝土造,71年12月1日,五層,,
RPSNMLNKJIJGFCE87CC,42,5.18,見使用執照,鋼筋混凝土造,71年12月1日,五層,,
RPVNMLNKJIJGFDE28CC,30,90.65,住家用,鋼筋混凝土造,83年6月2日,六層,,
RPVNMLNKJIJGFDE28CC,30,32.57,見使用執照,鋼筋混凝土造,83年6月2日,六層,,
RPWNMLNKJIJGFCE28CC,14,50.05,住家用,鋼筋混凝土造,100年1月25日,十五層,,
RPWNMLNKJIJGFCE28CC,14,26.93,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、自行車停車空間、門廊、外廊、陽台、梯廳、樓梯間、車道、水箱及機械室等１１項。,鋼筋混凝土造,100年1月25日,十五層,,
RPOOMLNKJIJGFBE47CC,58,412.97,冷凍庫及製冰廠,加強磚造,56年4月25日,三層,,
RPQNMLOKJIJGFBE67CC,44,16.52,,鋼筋混凝土造,69年5月29日,五層,,
RPRNMLOKJIJGFBE77CC,28,36.32,住商用,鋼筋混凝土造,86年2月27日,二十四層,,
RPUNMLOKJIJGFCE18CC,7,16.52,住家用,鋼筋混凝土,107年1月15日,七層,,
RPTNMLOKJIJGFBE97CC,11,16.52,住家用,鋼筋混凝土造,103年4月24日,五層,,
RPPOMLOKJIJGFCE77CC,9,74.46,集合住宅,鋼筋混凝土造,104年10月14日,十五層,,
RPPOMLOKJIJGFCE77CC,9,42.01,本共有部分之項目有防空避難室兼停車空間、梯間、門廳、樓梯間、機械室及水箱等６項。,鋼筋混凝土造,104年10月14日,十五層,,
RPRNMLNKJIJGFFE08CC,1,46.07,店舖、住宅,鋼筋混凝土造,112年5月26日,四層,,
RPQNMLNKJIJGFFE97CC,1,130.99,店舖、住宅,鋼筋混凝土造,112年5月26日,四層,,
RPQOMLOKJIJGFCE87CC,36,530.14,工業用,鋼筋混凝土造,77年11月3日,一層,,
RPPNMLOKJIJGFDE77CC,18,8.66,商業用,鋼筋混凝土造,95年7月26日,十層,,
RPPNMLOKJIJGFDE77CC,,7.03,防空避難室兼停車空間,鋼筋混凝土造,,十層,,
RPWNMLNKJIJGFAE08CC,4,63.03,集合住宅,鋼筋混凝土,109年10月19日,十五層,,
RPWNMLNKJIJGFAE08CC,4,50.66,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、梯間、車道、門廳、騎樓、門廊、樓梯間加昇降機間、樓梯間、水箱加機械室等１０項。,鋼筋混凝土,109年10月19日,十五層,,
RPPOMLOKJIJGFEE97CC,35,165.20,見使用執照,鋼筋混凝土造,79年2月8日,四層,,
RPWNMLOKJIJGFDE48CC,46,175.83,,鋼筋混凝土造,67年12月22日,三層,,
RPVNMLNKJIJGFEE38CC,21,11.63,見使用執照,見使用執照,93年4月13日,十層,,
RPVNMLNKJIJGFEE38CC,21,6.59,見使用執照,見使用執照,93年4月13日,十層,,
RPVNMLNKJIJGFEE38CC,21,2.87,見使用執照,見使用執照,93年4月13日,,,
RPVNMLNKJIJGFEE38CC,21,3.24,見使用執照,見使用執照,93年4月13日,十層,,
RPTOMLNKJIJGFEE28CC,31,26.31,住商用,鋼筋混凝土造,82年11月16日,八層,,
RPTOMLNKJIJGFEE28CC,31,53.67,住商用,鋼筋混凝土造,82年11月16日,八層,,
RPTOMLNKJIJGFEE28CC,31,15.23,住商用,鋼筋混凝土造,82年11月16日,八層,,
RPTOMLNKJIJGFEE28CC,31,5.08,住商用,鋼筋混凝土造,82年11月16日,八層,,
RPTOMLNKJIJGFEE28CC,31,3.60,住商用,鋼筋混凝土造,82年11月16日,八層,,
RPTOMLNKJIJGFEE28CC,31,76.85,住家用,鋼筋混凝土造,82年11月16日,八層,,
RPOOMLOKJIJGFEE87CC,3,74.20,集合住宅,鋼筋混凝土,110年5月25日,十五層,,
RPOOMLOKJIJGFEE87CC,3,73.34,本共有部分之項目有：防空避難室兼停車空間、梯廳、樓電梯間、公共服務空間、頂蓋型開放空間、裝卸車位、樓梯間、水箱、機械室等９項。,鋼筋混凝土,110年5月25日,十五層,,
