編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNJKHKGFDF87DA,金龍段,19.56,都市：其他:第二種住宅區,10000,81,持分移轉,02950000
RPPNMLPJLHKGFHF48EA,灰磘段,12.02,都市：其他:農業區,60000,5000,持分移轉,01060000
RPWNMLKKKHKGFEF28DA,海鷗段,.37,都市：其他:商業區(二),100000,20,持分移轉,11910000
RPPNMLPJLHKGFHF48EA,灰磘段,89.08,都市：其他:農業區,3000000000,317710000,持分移轉,01070000
RPPNMLPJLHKGFHF48EA,灰磘段,84.61,都市：其他:農業區,3000000000,317710000,持分移轉,01290000
RPPNMLPJLHKGFHF48EA,灰磘段,343.62,都市：其他:農業區,30000,5000,持分移轉,06440000
RPRNNLNJLHKGFBF87DA,福德段,102.05,都市：其他:保護區,200,13,持分移轉,08220000
RPPNMLQJLHKGFHF58EA,三民段,.75,都市：其他:住宅區,135,1,持分移轉,08830000
RPPNMLQJLHKGFHF58EA,三民段,12.87,都市：其他:住宅區,15,1,持分移轉,08900000
RPRPMLKKKHKGFEF97DA,下圭柔山段,826.76,都市：其他:住宅區,10000,663,持分移轉,03840000
RPQNMLLKKHKGFFF87DA,柑腳段柑腳小段,189.56,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,9,2,持分移轉,02470000
SPQNMLLKKHKGFFF97DA,柑腳段柑腳小段,92.89,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,9,2,持分移轉,02470001
RPPPMLOJKHKGFEF08DA,中和段,144.01,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03670000
RPWRMLNKKHKGFBF68DA,德音段,3.34,都市：其他:住宅區,11797920,131088,持分移轉,06390000
RPWRMLNKKHKGFBF68DA,德音段,3.47,都市：其他:住宅區,179902080,1998912,持分移轉,06400000
RPWRMLNKKHKGFBF68DA,德音段,4.01,都市：其他:住宅區,25960320,288448,持分移轉,06410000
RPWRMLNKKHKGFBF68DA,德音段,.00,都市：其他:道路用地,8640,96,持分移轉,06410001
RPQNMLQJKHKGFBF87DA,自立段,1.56,都市：其他:住宅區,100000,30,持分移轉,00400000
RPWNMLLKKHKGFHF78EA,四維段,1.50,都市：其他:住宅區,165,1,持分移轉,04310000
RPPNMLQJKHKGFBF77DA,自立段,.83,都市：其他:住宅區,100000,16,持分移轉,00400000
RPPNMLMKKHKGFIF28EA,永吉段,21.99,都市：其他:住宅區,2240,896,持分移轉,01320001
RPPNMLLKKHKGFCF57EA,阿柔段,6.42,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,216,2,持分移轉,07540000
RPROMLQJKHKGFHF68DA,中興段,1.40,都市：其他:住宅區,80000,799,持分移轉,05960000
RPROMLQJKHKGFHF68DA,中興段,.25,都市：其他:住宅區,80000,799,持分移轉,05960001
