編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSPMLPJKHKGFAH28DA,桃園段長美小段,7.32,都市：其他:住宅區,1,1,全筆移轉,00860014
RPRRMLOJKHKGFBH38DA,仁德段,2.96,都市：其他:農業區,4,1,持分移轉,01810003
RPPNMLSJKHKGFCH28DA,三層段三層小段,559.00,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,14330001
RPTNMLLKKHKGFBH97DA,草福段,571.01,都市：其他:第二種住宅區,1,1,全筆移轉,02990000
RPSNMLPJLHKGFFH68DA,建國段,33.40,非都市：一般農業區 ; 非都市編定：甲種建築用地,8,1,持分移轉,05150000
RPUNMLLKKHKGFBH08DA,富溪段,510.96,都市：其他:第二種商業區,1,1,全筆移轉,05530000
RPRNMLKKKHKGFHH28DA,坪頂下湖段,3.59,都市：其他:道路用地,296,76,持分移轉,00050120
RPRNMLKKKHKGFHH28DA,公華段,6.78,都市：其他:第二種住宅區,296,76,持分移轉,08520000
RPPOMLRJKHKGFFH58DA,中華段,24.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,2,持分移轉,21740000
RPSNMLSJKHKGFCH58DA,石門段,10.51,都市：其他:旅館區,100000,171,持分移轉,00200000
RPVVMLPJKHKGFAH56DA,富國段,19.59,都市：其他:住宅區,10000,54,持分移轉,01310001
RPQNMLLKKHKGFHH28DA,山德段,1.20,都市：其他:第一種住宅區,10,2,持分移轉,07390000
RPSNMLOKKHKGFCH28DA,五福段,24.31,都市：其他:住宅區,10000,97,持分移轉,05910000
RPUOMLQJKHKGFEH88DA,福海段,8.12,都市：其他:第二種住宅區,80,5,持分移轉,09740000
RPRNMLMKKHKGFGH38DA,廣東段,65.00,都市：其他:住宅區,1,1,全筆移轉,06350000
