編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLPKJIJGFBH08CB,坡道平面,2050000,24.04,地下二樓
RPSNMLPKJIJGFBH18CB,坡道平面,2000000,22.97,地下二樓
RPRNMLRKJIJGFBH28CB,坡道平面,1600000,27.39,地下二樓
RPTPMLOKJIJGFAH28CB,坡道平面,1900000,41.50,地下三樓
RPQNMLQKJIJGFEH38CB,坡道平面,2300000,34.31,地下二樓
RPRNMLSKJIJGFAH28CB,坡道平面,2250000,24.80,地下二樓
RPRNMLSKJIJGFDH58CB,坡道平面,1540000,25.98,地下一樓
RPSNMLSKJIJGFDH68CB,坡道平面,1470000,25.98,地下二樓
RPTNMLSKJIJGFDH78CB,坡道平面,1440000,25.98,地下二樓
RPQNMLRKJIJGFFH58CB,坡道平面,1510000,28.11,地下三樓
RPUPMLSKJIJGFBH88CB,坡道平面,1750000,31.69,地下三樓
RPQNMLTKJIJGFBH38CB,坡道平面,1900000,33.41,地下三樓
RPQNMLTKJIJGFBH38CB,坡道平面,1900000,33.41,地下三樓
RPQNMLTKJIJGFDH58CB,坡道平面,1500000,25.98,地下二樓
RPRNMLTKJIJGFBH48CB,坡道平面,1900000,33.41,地下三樓
RPQNMLSKJIJGFEH58CB,坡道平面,1700000,42.47,地下二樓
RPPNMLSKJIJGFEH48CB,坡道平面,1700000,41.39,地下一樓
RPRNMLSKJIJGFEH68CB,坡道平面,1700000,42.47,地下二樓
RPQOMLTKJIJGFDH68CB,坡道平面,1480000,25.98,地下一樓
RPQOMLTKJIJGFDH68CB,坡道平面,1480000,25.98,地下一樓
RPUQMLTKJIJGFDH66CB,坡道平面,1580000,25.98,地下一樓
RPPQMLTKJIJGFDH78CB,坡道平面,1440000,25.98,地下二樓
RPVOMLTKJIJGFDH56CB,坡道平面,1440000,25.98,地下二樓
RPOQMLTKJIJGFDH68CB,坡道平面,1470000,25.98,地下二樓
RPUSMLTKJIJGFDH86CB,坡道平面,1510000,27.27,地下二樓
RPORMLTKJIJGFDH78CB,坡道平面,1450000,34.66,地下二樓
RPVQMLTKJIJGFDH76CB,坡道平面,1580000,25.98,地下一樓
RPPNMLKLJIJGFDH67CB,一樓平面,1150000,13.74,一樓
RPWTMLTKJIJGFDH17CB,坡道平面,1470000,25.98,地下二樓
RPUNMLTKJIJGFEH09CB,坡道平面,1850000,31.00,地下二樓
RPTUMLTKJIJGFDH96CB,坡道平面,1370000,25.98,地下二樓
RPXUMLTKJIJGFDH37CB,坡道平面,1410000,24.93,地下二樓
RPTTMLTKJIJGFDH86CB,坡道平面,1450000,34.66,地下二樓
RPXOMLLLJIJGFAH38CB,坡道平面,1670000,34.07,地下二樓
RPOPMLLLJIJGFAH57CB,坡道平面,1730000,34.07,地下三樓
RPOPNLKLJIJGFEH97CB,坡道平面,1600000,26.72,地下二樓
RPQPNLKLJIJGFEH18CB,坡道平面,1600000,26.72,地下一樓
RPVOMLLLJIJGFAH18CB,坡道平面,1530000,34.07,地下四樓
RPPNMLLLJIJGFFH08DB,坡道平面,1850000,32.60,地下二樓
RPPNMLMLJIJGFAH57CB,坡道平面,2300000,29.50,地下二樓
RPPNMLMLJIJGFAH57CB,坡道平面,2300000,29.50,地下二樓
RPQNMLMLJIJGFAH67CB,坡道平面,2100000,29.50,地下三樓
RPTNMLMLJIJGFAH97CB,坡道平面,2300000,29.50,地下二樓
RPSNMLLLJIJGFBH87CB,坡道平面,1800000,37.05,地下二樓
RPTNMLMLJIJGFAH97CB,坡道平面,2300000,29.50,地下二樓
RPOOMLLLJIJGFBH57CB,坡道平面,1350000,31.04,地下二樓
RPUNMLMLJIJGFAH08CB,坡道平面,2200000,29.50,地下二樓
RPUNMLMLJIJGFAH08CB,坡道平面,2300000,29.50,地下二樓
RPPNMLMLJIJGFBH67CB,坡道平面,1850000,22.97,地下三樓
RPQNMLMLJIJGFBH77CB,坡道平面,1850000,24.04,地下二樓
RPUNMLMLJIJGFBH18CB,坡道平面,2300000,30.96,地下一樓
RPWNMLMLJIJGFDH58CB,坡道平面,1500000,25.98,地下二樓
RPSNMLMLJIJGFDH18CB,坡道平面,1440000,25.98,地下二樓
RPOOMLMLJIJGFDH87CB,坡道平面,1450000,27.27,地下二樓
RPRNMLMLJIJGFDH08CB,一樓平面,1350000,24.30,一樓
RPPNMLMLJIJGFEH97CB,坡道平面,1500000,26.43,地下一樓
RPRNMLNLJIJGFDH18CB,坡道平面,1470000,25.98,地下二樓
RPTNMLNLJIJGFDH38CB,坡道平面,1540000,25.98,地下一樓
RPSNMLNLJIJGFDH28CB,坡道平面,1500000,25.98,地下二樓
RPUNMLNLJIJGFDH48CB,坡道平面,1580000,25.98,地下一樓
