編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXOMLMKJIJGFBH58CC,28,84.22,住家用,鋼筋混凝土造,85年9月9日,六層,,
RPWOMLMKJIJGFBH48CC,7,61.02,工業社區（社區住宅）,鋼筋混凝土造,106年10月24日,五層,,
RPXOMLMKJIJGFBH58CC,28,15.70,共有部份,鋼筋混凝土造,85年9月9日,六層,,
RPWOMLMKJIJGFBH48CC,7,11.30,本共有部分之項目有：管委會空間、停車空間、樓梯間、水箱及梯廳等五項。,鋼筋混凝土造,106年10月24日,五層,,
RPXOMLMKJIJGFBH58CC,28,14.76,共有部份,鋼筋混凝土造,85年9月9日,六層,,
RPOQMLMKJIJGFBH87CC,1,18.68,住宅、住宅（附屬停車空間）、樓梯間,鋼筋混凝土造,112年9月11日,五層,,
RPXPMLMKJIJGFBH68CC,7,59.86,集合住宅,鋼筋混凝土造,106年9月20日,十五層,,
RPXPMLMKJIJGFBH68CC,7,12.50,本共有部分之項目有：停車空間、消防泵浦室、蓄水池、梯間、機房、污‧雨水回收機房、台電配電室、發電機室、垃圾處理室、防空避難室兼停車空間、電信室、開放空間、車道、管理委員會使用空間、水箱、緊急升降機間兼排煙室、儲藏室等十八項。,鋼筋混凝土造,106年9月20日,十五層,,
RPXPMLMKJIJGFBH68CC,7,15.14,本共有部分之項目有：梯間、機房、水箱、緊急升降機間兼排煙室等四項。,鋼筋混凝土造,106年9月20日,十五層,,
RPPNMLMKJIJGFFH08CC,28,81.89,住家用,鋼筋混凝土造,85年8月3日,十七層,,
RPPNMLMKJIJGFFH08CC,28,14.22,共有部份,鋼筋混凝土造,85年8月3日,十七層,,
RPPNMLMKJIJGFFH08CC,28,6.33,共有部份,鋼筋混凝土造,85年8月3日,十七層,,
RPPOMLMKJIJGFEH08CC,,51.41,住家用,鋼筋混凝土造,113年6月17日,十四層,,
RPPOMLMKJIJGFEH08CC,,58.16,共有部份,鋼筋混凝土造,113年6月17日,十四層,,
RPPOMLMKJIJGFGH28CC,46,53.86,住家用,磚造,67年10月1日,一層,,
RPOOMLMKJIJGFGH18CC,47,53.02,住家用,磚造,67年3月24日,一層,,
RPUNMLMKJIJGFGH68CC,29,65.57,住家用,鋼筋混凝土造,85年3月16日,十二層,,
RPWNMLMKJIJGFGH88CC,9,63.36,住家用,鋼筋混凝土造,104年10月6日,十五層,,
RPUNMLMKJIJGFGH68CC,29,3.25,共有部份,鋼筋混凝土造,85年3月16日,十二層,,
RPWNMLMKJIJGFGH88CC,9,51.75,共有部份,鋼筋混凝土造,104年10月6日,十五層,,
RPUNMLMKJIJGFGH68CC,29,6.96,共有部份,鋼筋混凝土造,85年3月16日,十二層,,
RPWNMLMKJIJGFGH88CC,9,16.16,共有部份,鋼筋混凝土造,104年10月6日,十五層,,
RPUNMLMKJIJGFGH68CC,29,9.53,共有部份,鋼筋混凝土造,85年3月16日,十二層,,
