編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLTKJIJGFAI48CB,湖子內段新民小段,22.89,都市：商,10000,70,持分移轉,03930000
RPSNMLTKJIJGFAI58CB,竹圍子段,19.26,都市：住,10000,99,持分移轉,03740000
RPQNMLLKJIJGFAI57CB,湖子內段新民小段,17.01,都市：商,10000,52,持分移轉,03930000
RPUNMLTKJIJGFAI78CB,竹圍子段,19.26,都市：住,10000,99,持分移轉,03740000
RPPNMLLKJIJGFAI47CB,湖子內段新民小段,23.55,都市：商,10000,72,持分移轉,03930000
RPRNMLOKJIJGFAI97CB,彌陀段,61.16,都市：住,132600,6116,持分移轉,01430013
RPTNMLTKJIJGFAI68CB,竹圍子段,19.26,都市：住,10000,99,持分移轉,03740000
RPPNMLTKJIJGFAI28CB,湖子內段新民小段,15.37,都市：商,10000,47,持分移轉,03930000
RPQNMLMKJIJGFAI67CB,南門段二小段,1.97,都市：商,100000,441,持分移轉,00870000
RPQNMLMKJIJGFAI67CB,南門段二小段,.51,都市：商,100000,441,持分移轉,00870003
RPQNMLMKJIJGFAI67CB,南門段二小段,2.36,都市：商,100000,441,持分移轉,00870006
RPQNMLMKJIJGFAI67CB,南門段二小段,13.77,都市：商,100000,441,持分移轉,00890012
RPQNMLMKJIJGFAI67CB,南門段二小段,.77,都市：商,100000,441,持分移轉,00890016
RPQNMLMKJIJGFAI67CB,南門段二小段,.08,都市：商,100000,441,持分移轉,00890017
RPQNMLMKJIJGFAI67CB,南門段二小段,.29,都市：商,100000,441,持分移轉,00890018
RPQNMLMKJIJGFAI67CB,南門段二小段,.06,都市：商,100000,441,持分移轉,00890019
RPQNMLMKJIJGFAI67CB,南門段二小段,.01,都市：商,100000,441,持分移轉,00890020
RPQNMLTKJIJGFAI38CB,湖子內段新民小段,22.89,都市：商,10000,70,持分移轉,03930000
RPPNMLPLJIJGFAI97CB,湖子內段新民小段,22.89,都市：商,10000,70,持分移轉,03930000
RPSNMLMJKIJGFAI87CB,湖子內段新民小段,23.55,都市：商,10000,72,持分移轉,03930000
RPRNMLKMJIJGFAI77CB,竹圍子段,19.26,都市：住,10000,99,持分移轉,03740000
RPQNMLKMJIJGFAI67CB,竹圍子段,19.26,都市：住,10000,99,持分移轉,03740000
RPPNMLQLJIJGFAI08CB,劉厝段,103.00,都市：住,1,1,全筆移轉,00180121
RPPNMLQLJIJGFAI08CB,劉厝段,.16,都市：住,74,1,持分移轉,00180006
RPPNMLQLJIJGFAI08CB,劉厝段,15.79,都市：住,460,8,持分移轉,00230007
RPQNMLQLJIJGFAI18CB,湖子內段湖美小段,72.78,都市：其他:第三種休閒專用區,1,1,全筆移轉,04730011
RPQNMLQLJIJGFAI18CB,湖子內段湖美小段,24.38,都市：其他:第三種休閒專用區,16,1,持分移轉,04730001
RPQNMLQLJIJGFAI18CB,湖子內段湖美小段,.34,都市：其他:第三種休閒專用區,16,1,持分移轉,04730012
RPQNMLQLJIJGFAI18CB,湖子內段湖美小段,.41,都市：其他:第三種休閒專用區,16,1,持分移轉,04730014
RPQNMLQLJIJGFAI18CB,湖子內段湖美小段,.34,都市：其他:第三種休閒專用區,16,1,持分移轉,04730024
RPQNMLQLJIJGFAI18CB,湖子內段湖美小段,.41,都市：其他:第三種休閒專用區,16,1,持分移轉,04730026
