編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLTKJIJGFAI48CB,坡道平面,1350000,33.87,地下三樓
RPSNMLTKJIJGFAI58CB,坡道平面,1650000,31.90,地下三樓
RPQNMLLKJIJGFAI57CB,坡道平面,1550000,33.87,地下一樓
RPUNMLTKJIJGFAI78CB,坡道平面,1750000,31.90,地下二樓
RPRNMLOKJIJGFAI97CB,坡道機械,750000,13.22,地下一樓
RPPNMLLKJIJGFAI47CB,坡道平面,1350000,33.87,地下三樓
RPTNMLTKJIJGFAI68CB,坡道平面,1700000,31.90,地下三樓
RPPNMLTKJIJGFAI28CB,坡道平面,1350000,33.87,地下三樓
RPQNMLMKJIJGFAI67CB,坡道平面,1850000,18.95,地下一樓
RPQNMLTKJIJGFAI38CB,坡道平面,1350000,32.77,地下二樓
RPPNMLPLJIJGFAI97CB,坡道平面,1350000,32.77,地下二樓
RPSNMLMJKIJGFAI87CB,坡道平面,1450000,35.08,地下二樓
RPRNMLKMJIJGFAI77CB,坡道平面,1550000,31.90,地下三樓
RPQNMLKMJIJGFAI67CB,坡道平面,1750000,31.90,地下二樓
RPRNMLMJKIJGFAI77CB,坡道機械,750000,28.37,地下三樓
RPQNMLPLJIJGFAI08CB,坡道平面,1450000,32.77,地下一樓
RPTNMLMJKIJGFAI97CB,坡道平面,1600000,31.90,地下三樓
RPPNMLPJKIJGFAI87CB,坡道平面,1650000,31.90,地下三樓
RPPNMLRKKIJGFAI18CB,坡道平面,1550000,33.87,地下一樓
RPQNMLKKKIJGFAI57CB,坡道平面,1450000,33.87,地下二樓
RPQNMLQKKIJGFAI18CB,一樓平面,1900000,27.40,一樓
RPRNMLLKKIJGFAI77CB,坡道平面,1700000,31.90,地下二樓
RPPNMLQKKIJGFAI08CB,一樓平面,1900000,27.40,一樓
RPPNMLKKKIJGFAI47CB,坡道平面,1450000,32.77,地下一樓
RPSNMLRKKIJGFAI48CB,一樓平面,1950000,27.40,一樓
RPTNMLRKKIJGFAI58CB,一樓平面,1900000,27.40,一樓
RPQNMLSKKIJGFAI38CB,升降機械,1000000,9.62,一樓
