編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLLLJIJGFDJ38CC,新盛段,63.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02010000
RPQNMLPLJIJGFDJ58CC,中興段復興小段,116.46,非都市：工業區 ; 非都市編定：丁種建築用地,,,,06060002
RPPNMLPJKIJGFBJ18CC,竹北段,75.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07610032
RPPNMLPJKIJGFBJ18CC,竹北段,17.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07610033
RPRNMLPJKIJGFDJ58CC,明新段,18.97,都市：住,,,,07190000
RPQNMLPJKIJGFDJ48CC,泰豐段,34.32,都市：住,,,,05570000
RPQNMLQJKIJGFDJ58CC,瑞興段,1498.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,02340000
RPPNMLKKKIJGFBJ77CC,中正段,3.82,都市：住,,,,00370000
RPQNMLLKKIJGFBJ97CC,永興段,85.98,都市：住,,,,05960010
RPRNMLLKKIJGFBJ08CC,站前段,20.21,都市：商,,,,01610000
RPPNMLLKKIJGFDJ08CC,中興段復興小段,15.47,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03650000
RPPNMLLKKIJGFDJ08CC,中興段復興小段,.83,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03650001
RPPNMLPJKIJGFBJ28DC,自強段,484.48,都市：住,,,,00920000
RPPNMLPJKIJGFBJ28DC,自強段,120.65,都市：住,,,,00920001
RPPNMLPJKIJGFBJ28DC,自強段,121.44,都市：住,,,,00920002
RPPNMLPJKIJGFDJ48DC,坪頂段,630.37,都市：住,,,,11480000
RPQNMLQKKIJGFBJ48CC,東海窟段旱坑子小段,860.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,00730000
RPVNMLQKKIJGFBJ98CC,縣華段,4.99,都市：商,,,,00660000
RPPNMLQKKIJGFCJ48CC,竹東段竹東小段,46.00,都市：住,,,,00460178
RPTNMLQKKIJGFBJ78CC,竹義段,26.75,都市：住,,,,01180000
RPUNMLQKKIJGFBJ88CC,站前段,14.73,都市：商,,,,01880000
RPQNMLQKKIJGFCJ58CC,竹東段竹東小段,13.68,都市：住,,,,00420003
RPPNMLQKKIJGFDJ58CC,建興段鳳凰小段,17.88,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02290000
RPPNMLKLKIJGFCJ97CC,金獅段,12.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,04520000
RPQNMLKLKIJGFCJ08CC,竹東段竹東小段,65.00,都市：住,,,,03960010
RPPNMLMKKIJGFDJ28DC,建興段鳳凰小段,12.71,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02200000
RPPNMLKLKIJGFDJ08CC,中興段復興小段,13.14,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03480000
RPRNMLKLKIJGFDJ28CC,文昌段,24.99,都市：住,,,,06020000
RPSNMLKLKIJGFBJ18CC,縣華段,4.82,都市：商,,,,00810006
RPPNMLSKKIJGFBJ58CC,世興段,11.34,都市：住,,,,00300000
RPQNMLKLKIJGFBJ97CC,竹義段,21.25,都市：住,,,,08660000
RPRNMLKLKIJGFBJ08CC,縣華段,4.85,都市：商,,,,00810006
RPSNMLNLKIJGFDJ68CC,中興段復興小段,15.05,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03340003
RPRNMLNLKIJGFDJ58CC,泰豐段,37.09,都市：住,,,,06830000
RPQNMLQLKIJGFBJ58CC,大學段,12.71,都市：商,,,,02180000
RPSNMLQLKIJGFBJ78CC,隘興段,13.32,都市：住,,,,04410000
RPTNMLQLKIJGFBJ88CC,水瀧段,14.62,都市：住,,,,03910000
RPUNMLQLKIJGFBJ98CC,舊港段漁寮小段,33.53,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03960000
RPPNMLQLKIJGFBJ48CC,大學段,6.72,都市：商,,,,02140000
RPRNMLQLKIJGFBJ68CC,新國段,27.24,都市：住,,,,00920000
RPRNMLQLKIJGFBJ68CC,新國段,11.13,都市：住,,,,00990000
RPRNMLQLKIJGFBJ68CC,新國段,3.21,都市：住,,,,01040000
RPPNMLSLKIJGFBJ68CC,莊敬段,24.93,都市：住,,,,01010000
RPSNMLLMKIJGFDJ58CC,竹九段,686.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18050000
RPQNMLMJJHKGFDJ08CC,中興段復興小段,19.20,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00310000
