編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKJIJGFBM38CC,建興段,3272.40,都市：住,,,,13030000
RPPNMLMKJIJGFBM18CC,新光段,1678.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,12860000
RPPNMLSKJIJGFAM78DC,包尾段,105.00,都市：住,,,,07430025
RPRNMLSLJIJGFAM98CC,包尾段,81.00,都市：住,,,,07350032
RPPNMLRLJIJGFCM88CC,犁頭尖段,91.38,都市：住,,,,06900000
RPPNMLRLJIJGFCM88CC,犁頭尖段,1.98,都市：住,,,,06910000
RPPNMLMJKIJGFAM08CC,新廍段,76.43,都市：住,,,,07820020
RPQNMLMJKIJGFAM18CC,內新段,157.68,都市：商,,,,00520000
RPQNMLMJKIJGFAM18CC,內新段,147.60,都市：商,,,,00530000
RPPNMLOLKIJGFCM68CC,光榮段,114.22,都市：商,,,,03690000
RPPNMLOKJIJGFCM58DC,南村段,215.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,04460000
RPPNMLNJJHKGFCM28CC,忠貞段,71.99,都市：商,,,,06320000
RPPNMLLMKIJGFAM28CC,包尾段,95.00,都市：住,,,,07350044
RPRNMLSJJHKGFBM88CC,草屯段,110.00,都市：住,,,,00570015
RPPNMLTJJHKGFBM78CC,碧峰段,59.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08200000
RPPNMLNJKHKGFAM18CC,新廍段,190.80,都市：住,,,,08450000
RPPNMLLKKHKGFAM08CC,成功段,77.45,都市：住,,,,17740000
RPPNMLNKKHKGFCM48CC,光榮段,19.31,都市：住,,,,08700000
RPPNMLRLKHKGFAM78CC,光興段,104.01,都市：住,,,,08110014
RPPNMLOLJHKGFBM48CC,新富功段,38.47,都市：住,,,,00650000
