編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRPMLRJKHKGFAO09DA,光鎮段,.55,都市：其他:道路用地,10,2,持分移轉,07150003
RPOPMLKKKHKGFAO18DA,和平段,27.00,都市：其他:第二種住宅區,3,1,持分移轉,08420000
RPSPMLSJKHKGFAO66DA,港北段,52.96,都市：其他:第一之一種住宅區,120960,7560,持分移轉,00010000
RPSPMLSJKHKGFAO66DA,港北段,46.05,都市：其他:第一之一種住宅區,120960,7560,持分移轉,00040000
RPSPMLSJKHKGFAO66DA,港北段,33.54,都市：其他:第一之一種住宅區,120960,7560,持分移轉,00050000
RPSPMLSJKHKGFAO66DA,港北段,31.04,都市：其他:第一之一種住宅區,120960,7560,持分移轉,00070000
RPXOMLKKKHKGFAO98DA,和平段,27.00,都市：其他:第二種住宅區,3,1,持分移轉,08420000
RPPNMLSJKHKGFAO88EA,福林段,16.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09760001
SPXOMLLKKHKGFAO56DA,大學段,54.65,都市：其他:道路用地,100000,17550,持分移轉,03490000
RPWPMLLKKHKGFAO09DA,仁愛段,2.37,都市：其他:乙種工業區,98,8,持分移轉,08540000
SPWOMLLKKHKGFAO09DA,竹蓮段,1.91,都市：其他:道路用地,132000,195,持分移轉,21110001
RPPNMLOKKHKGFAO58EA,士林段,10.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00360001
RPWOMLLKKHKGFAO98DA,竹蓮段,32.65,都市：其他:道路用地,132000,3331,持分移轉,21110001
RPXOMLLKKHKGFAO09DA,聚吉段,8.00,都市：其他:道路用地,1,1,全筆移轉,00560043
RPTQMLRJKHKGFAO76DA,光鎮段,4.73,都市：其他:道路用地,8,4,持分移轉,07150002
RPVOMLLKKHKGFAO88DA,和平段,1.72,都市：其他:第一種住宅區,100000,60,持分移轉,05000000
RPPPMLTKKHKGFAO56DA,科學段一小段,8.63,都市：其他:第一種住宅區,2000000,7948,持分移轉,03340000
RPVNMLRKKHKGFAO76DA,新雅段,91.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02750000
RPVPMLOKKHKGFAO66DA,聚吉段,6.01,都市：其他:第二種商業區,100000,705,持分移轉,00120000
RPQNMLRKKHKGFAO98EA,新莊段,318.79,都市：其他:第二之一種住宅區,1,1,全筆移轉,04140000
RPRNMLTKKHKGFAO66EA,成功段,1.29,都市：其他:第二種住宅區,100000,10,持分移轉,00260000
RPRNMLTKKHKGFAO66EA,大學段,.02,都市：其他:第二種住宅區,100000,10,持分移轉,04950000
RPTPMLTKKHKGFAO96DA,港北段,113.66,都市：其他:第一之一種住宅區,1,1,全筆移轉,00240006
RPROMLOKKHKGFAO78DA,西濱段,1.20,都市：其他:第一之一種住宅區,36000,306,持分移轉,04510000
RPROMLOKKHKGFAO78DA,西濱段,1.65,都市：其他:第一之一種住宅區,180000,729,持分移轉,04520000
RPXNMLOJKHKGFAO56DA,東明段,26.20,都市：其他:第一種住宅區,100000000,67396,持分移轉,00490000
RPROMLMKKHKGFAO58DA,朝山段,132.45,都市：其他:第二之一種住宅區,1,1,全筆移轉,04620003
RPOOMLOKKHKGFAO48DA,西濱段,6.62,都市：其他:第一之一種住宅區,36000,1694,持分移轉,04510000
RPWOMLRKKHKGFAO96DA,三姓段,68.00,都市：其他:農業區,2,1,持分移轉,06420011
RPXNMLOKKHKGFAO66DA,中興段,35.50,都市：其他:第一種住宅區,2,1,持分移轉,02880041
RPSPMLOKKHKGFAO98DA,西濱段,3.91,都市：其他:第一之一種住宅區,36000,1000,持分移轉,04510000
RPSPMLOKKHKGFAO98DA,西濱段,15.33,都市：其他:第一之一種住宅區,180000,6771,持分移轉,04520000
RPQNMLOLKHKGFAO68DA,湖港段,21.24,非都市：一般農業區 ; 非都市編定：甲種建築用地,1920,9,持分移轉,13480000
RPVNMLOKKHKGFAO09DA,中興段,35.50,都市：其他:第一種住宅區,2,1,持分移轉,02880041
RPRNMLLLKHKGFAO58EA,竹蓮段,26.00,都市：其他:第二種住宅區,1,1,全筆移轉,19100013
RPPNMLLLKHKGFAO38EA,聚吉段,7.22,都市：其他:第二種商業區,100000,360,持分移轉,00550000
RPROMLSJKHKGFAO09DA,竹港段,17.05,都市：其他:第一之一種住宅區,100000,937,持分移轉,07770000
RPRQMLOKKHKGFAO98DA,自由段,10.60,都市：其他:第一種住宅區,10,1,持分移轉,01840000
RPQQMLOKKHKGFAO88DA,武陵段,.15,都市：其他:第一種住宅區,100000,1,持分移轉,03160003
RPSNMLPLKHKGFAO98DA,香中段,357.35,都市：其他:農業區,1,1,全筆移轉,08740000
RPQQMLOKKHKGFAO88DA,武陵段,8.07,都市：其他:第一種住宅區,10000,7,持分移轉,03160004
RPROMLSKKHKGFAO56DA,朝山段,25.39,都市：其他:道路用地,20,2,持分移轉,01730000
RPROMLSKKHKGFAO56DA,朝山段,26.01,都市：其他:道路用地,20,2,持分移轉,01740001
RPPNMLOLKHKGFAO58DA,康朗段,20.55,都市：其他:道路用地兼供河川使用,1,1,全筆移轉,05340000
RPPNMLOLKHKGFAO58DA,康朗段,586.71,都市：其他:道路用地,1,1,全筆移轉,05340002
RPPNMLOLKHKGFAO58DA,康朗段,156.66,都市：其他:道路用地,1,1,全筆移轉,05650000
RPUNMLQLKHKGFAO66DA,香雅段,167.62,非都市：特定專用區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,12940005
RPVNMLNJLHKGFAO98DA,香中段,6.09,都市：其他:第一種住宅區,10000,66,持分移轉,14740000
RPTNMLKKKHKGFAO48DA,康朗段,26.16,都市：其他:第一之一種住宅區,10000,394,持分移轉,05060000
RPSNMLOJLHKGFAO78DA,東明段,50.00,都市：其他:第一種住宅區,1,1,全筆移轉,07370000
RPTNMLOJLHKGFAO88DA,東橋段,8.65,都市：其他:第二種住宅區,10000,155,持分移轉,00500000
RPOOMLTKKHKGFAO98DA,大庄段,26.62,都市：其他:農業區,60,3,持分移轉,02880000
RPOOMLTKKHKGFAO98DA,大庄段,114.12,都市：其他:農業區,1,1,全筆移轉,02880007
RPPNMLKKJHKGFAO08EA,柴橋段,.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,380160,432,持分移轉,04920000
RPRPMLSJJHKGFAO09DA,民富段,44.00,都市：其他:道路用地,1,1,全筆移轉,22110000
RPWOMLRJJHKGFAO76DA,中央段,6.56,都市：其他:第二種住宅區,10000,155,持分移轉,06700000
RPUNMLNKJHKGFAO78DA,港南段,31.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,997,持分移轉,03260000
RPQNMLQJJHKGFAO58DA,中山段二小段,22.67,都市：其他:第二種商業區,3,1,持分移轉,00030005
RPQNMLQJJHKGFAO58DA,中山段二小段,4.33,都市：其他:第二種商業區,3,1,持分移轉,00030012
RPWNMLKKJHKGFAO68DA,翠湖段,4.98,都市：其他:道路用地,480,15,持分移轉,07860001
RPWNMLKKJHKGFAO68DA,翠湖段,6.64,都市：其他:道路用地,96,3,持分移轉,07870002
RPWNMLKKJHKGFAO68DA,翠湖段,.89,都市：其他:道路用地,480,15,持分移轉,07880000
RPWNMLKKJHKGFAO68DA,翠湖段,1.02,都市：其他:道路用地,160,5,持分移轉,07890000
RPWNMLKKJHKGFAO68DA,翠湖段,2.11,都市：其他:道路用地,160,5,持分移轉,07900000
RPWNMLKKJHKGFAO68DA,翠湖段,.98,都市：其他:道路用地,160,5,持分移轉,07920000
RPWNMLKKJHKGFAO68DA,翠湖段,21.39,都市：其他:道路用地,1440,45,持分移轉,07950000
RPWNMLKKJHKGFAO68DA,翠湖段,8.62,都市：其他:道路用地,1440,45,持分移轉,08040000
RPWNMLKKJHKGFAO68DA,翠湖段,5.49,都市：其他:道路用地,480,15,持分移轉,08060000
RPWNMLKKJHKGFAO68DA,翠湖段,.95,都市：其他:道路用地,160,5,持分移轉,08070000
RPWNMLKKJHKGFAO68DA,翠湖段,7.09,都市：其他:道路用地,480,15,持分移轉,08080000
RPWQMLNKJHKGFAO66DA,東山段一小段,2.33,都市：其他:道路用地,2079,147,持分移轉,04200002
RPUPMLNKJHKGFAO98DA,西濱段,10.78,都市：其他:道路用地,144,3,持分移轉,04840000
RPUPMLNKJHKGFAO98DA,西濱段,5.10,都市：其他:道路用地,144,3,持分移轉,05560000
RPORMLOKJHKGFAO68DA,千甲段,100.04,都市：其他:道路用地,10000,2592,持分移轉,08100006
RPUNMLPKJHKGFAO98DA,聚吉段,3.91,都市：其他:第二種商業區,100000,195,持分移轉,00550000
RPQNMLQKJHKGFAO68DA,士林段,78.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00210000
RPRNMLQKJHKGFAO78DA,鹽水段,.81,都市：其他:農業區,1500,1,持分移轉,05120000
RPRNMLQKJHKGFAO78DA,鹽水段,.01,都市：其他:農業區,1500,1,持分移轉,05130000
RPUNMLPJKHKGFAO98DA,西濱段,9.92,都市：其他:第一之一種住宅區,43892,300,持分移轉,04370000
RPOPMLSJKHKGFAO88DA,自由段,21.24,都市：其他:第一種住宅區,100000,210,持分移轉,00020000
RPOPMLSJKHKGFAO88DA,自由段,.01,都市：其他:園道用地,100000,210,持分移轉,00020015
RPOOMLKKJHKGFAO97DA,武陵段,.31,都市：其他:第一種住宅區,100000,2,持分移轉,03160003
RPOOMLKKJHKGFAO97DA,武陵段,17.28,都市：其他:第一種住宅區,10000,15,持分移轉,03160004
RPQNMLRLKHKGFAO09EA,華江段,17.23,非都市：特定農業區 ; 非都市編定：農牧用地,24,1,持分移轉,07670000
RPSNMLRLKHKGFAO66EA,新興段,87.00,都市：其他:第二種住宅區,1,1,全筆移轉,03540000
RPQNMLQLKHKGFAO98EA,光武段,1.78,都市：其他:第一種住宅區,30909600,3432960,持分移轉,09200000
RPQNMLPLKHKGFAO88EA,竹港段,12.81,都市：其他:第一之一種商業區,1,1,全筆移轉,08690000
RPPNMLKLJHKGFAO18EA,光武段,.30,都市：其他:第一種住宅區,1931850,35775,持分移轉,09200000
RPRNMLPJJHKGFAO58DA,聚吉段,27.30,都市：其他:第二種住宅區,1000,50,持分移轉,00200000
RPQNMLKLJHKGFAO28EA,光武段,.49,都市：其他:第一種住宅區,1931850,58725,持分移轉,09200000
RPOPNLOKJHKGFAO58DA,自由段,2.58,都市：其他:道路用地,462,85,持分移轉,09060065
RPOPNLOKJHKGFAO58DA,自由段,15.09,都市：其他:道路用地,462,85,持分移轉,09060067
RPWNMLRKJHKGFAO76DA,千甲段,357.78,都市：其他:農業區,10,3,持分移轉,04450000
RPWNMLRKJHKGFAO76DA,千甲段,312.92,都市：其他:農業區,1,1,全筆移轉,04450001
RPWNMLRKJHKGFAO76DA,千甲段,312.92,都市：其他:農業區,1,1,全筆移轉,04450002
