編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLOKJIJGFAO09CC,31,33.05,,鋼筋混凝土造,82年9月17日,五層,,
RPPNMLMLJIJGFAO38CC,28,84.27,住家用,鋼筋混凝土造,86年5月15日,五層,,
RPQNMLPKJIJGFAO68CC,,98.16,住家用,加強磚造,,二層,,
RPTNMLNKJIJGFAO78CC,,119.29,見使用執照,鋼筋混凝土造,,五層,,
RPPNMLLLJIJGFAO28CC,,145.97,住家用,加強磚造,,二層,,
RPPNMLMLJIJGFAO38CC,28,8.06,共有部分,鋼筋混凝土造,86年5月15日,五層,,
RPPNMLMLJIJGFAO38CC,28,9.09,共有部分,鋼筋混凝土造,86年5月15日,五層,,
RPTNMLNKJIJGFAO78CC,34,28.86,共有部分,鋼筋混凝土造,79年10月20日,五層,,
RPSNMLMLJIJGFAO68CC,40,152.02,住家用,加強磚造,74年4月10日,二層,,
RPQNMLMLJIJGFAO48CC,10,225.17,集合住宅、停車空間、樓梯間,鋼筋混凝土造,103年12月25日,三層,,
RPQNMLMLJIJGFAO48CC,10,.14,共有部分,鋼筋混凝土造,103年12月25日,一層,,
RPRNMLMLJIJGFAO58CC,27,94.21,住家用,鋼筋混凝土造,86年11月11日,十五層,,
RPRNMLMLJIJGFAO58CC,27,14.37,共有部分,鋼筋混凝土造,86年11月11日,十五層,,
RPRNMLMLJIJGFAO58CC,27,30.38,共有部分,鋼筋混凝土造,86年11月11日,十五層,,
RPPOMLMLJIJGFAO48CC,43,99.34,住家用,鋼筋混凝土造,70年5月21日,五層,,
RPSOMLMLJIJGFAO78CC,16,27.42,辦公室,鋼筋混凝土造,97年7月30日,十層,,
RPSOMLMLJIJGFAO78CC,16,16.18,防空避難室、停車空間、水箱、梯間、機械室,鋼筋混凝土造,97年7月30日,十層,,
RPQNMLPLJIJGFAO78CC,18,25.13,集合住宅,鋼筋混凝土造,96年3月5日,十一層,,
RPQNMLPLJIJGFAO78CC,18,9.95,停車空間、防空避難室、樓梯間、機械室、水箱,鋼筋混凝土造,96年3月5日,十一層,,
RPPNMLPLJIJGFAO68CC,27,89.32,住家用,鋼筋混凝土造,87年4月21日,七層,,
RPPNMLPLJIJGFAO68CC,27,9.66,共有部分,鋼筋混凝土造,87年4月21日,七層,,
