編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLSKKIJGFAW27CB,大橋湖峰段,27.14,都市：住,1000000,17194,持分移轉,00830000
RPPNMLPJKIJGFAW66CB,大橋湖峰段,7.78,都市：住,1000000,4932,持分移轉,00830000
RPPNMLSKKIJGFAW07CB,金門城測段,16.90,都市：商,10000,772,持分移轉,08370000
RPPNMLRLJIJGFAW96CB,大橋湖峰段,17.74,都市：住,1000000,11240,持分移轉,00830000
RPPNMLSKKIJGFAW07CB,金門城測段,34.08,都市：商,10000,772,持分移轉,08380001
RPPNMLMJKIJGFAW98CB,羅劃測段,57.85,都市：住,100000,5791,持分移轉,02000000
RPPNMLMJKIJGFAW98CB,羅劃測段,52.84,都市：住,100000,5791,持分移轉,02010000
RPPNMLRKKIJGFAW96CB,大橋湖峰段,9.09,都市：住,1000000,5760,持分移轉,00830000
RPQNMLSKKIJGFAW17CB,金門城測段,13.51,都市：商,10000,617,持分移轉,08370000
RPQNMLSKKIJGFAW17CB,金門城測段,27.23,都市：商,10000,617,持分移轉,08380001
RPPNMLKLKIJGFAW98CB,大橋湖峰段,5.30,都市：住,1000000,3357,持分移轉,00830000
RPSNMLSKKIJGFAW37CB,寧湖一劃段,49.67,都市：其他:自然村專用區,10000,947,持分移轉,05230000
RPPNMLQJJHKGFAW66CB,盤山村測段,29.88,都市：其他:自然村專用區,100000,4405,持分移轉,01880003
RPPNMLQJJHKGFAW66CB,盤山村測段,6.05,都市：其他:自然村專用區,100000,4405,持分移轉,01880004
RPPNMLQJJHKGFAW66CB,盤山村測段,3.15,都市：其他:自然村專用區,100000,4405,持分移轉,01900003
RPPNMLMKKIJGFAW09CB,大橋湖峰段,20.15,都市：住,1000000,12766,持分移轉,00830000
