編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLOKKHKGFDC18CB,金華段,8.73,都市：住,1000000,1371,持分移轉,00200000
RPVNMLOKKHKGFDC18CB,金華段,.02,都市：住,1000000,1371,持分移轉,00210000
RPPNMLQLKHKGFDC87CB,武嶺段,.09,都市：住,100000,259,持分移轉,05220004
RPPNMLQLKHKGFDC87CB,武嶺段,1.19,都市：住,100000,259,持分移轉,05260000
RPPNMLQLKHKGFDC87CB,武嶺段,.02,都市：住,100000,259,持分移轉,05330000
RPPNMLQLKHKGFDC87CB,武嶺段,.36,都市：住,100000,259,持分移轉,05650000
RPPNMLQLKHKGFDC87CB,武嶺段,.26,都市：住,100000,259,持分移轉,05650001
RPPNMLQLKHKGFDC87CB,武嶺段,.01,都市：住,100000,259,持分移轉,05660017
RPPNMLQLKHKGFDC87CB,武嶺段,.11,都市：住,100000,259,持分移轉,05660019
RPPNMLQLKHKGFDC87CB,武嶺段,3.39,都市：住,100000,259,持分移轉,05660020
RPPNMLQLKHKGFDC87CB,武嶺段,2.71,都市：住,100000,259,持分移轉,05660021
RPPNMLQLKHKGFDC87CB,武嶺段,7.02,都市：住,100000,259,持分移轉,05660022
RPPNMLQLKHKGFDC87CB,武嶺段,.04,都市：住,100000,259,持分移轉,05660023
RPQNMLOJLHKGFDC67CB,武嶺段,.11,都市：住,100000,300,持分移轉,05220004
RPPNMLQLKHKGFDC87CB,武嶺段,1.19,都市：住,100000,259,持分移轉,05670002
RPPNMLQLKHKGFDC87CB,武嶺段,1.43,都市：住,100000,259,持分移轉,05680002
RPPNMLQLKHKGFDC87CB,武嶺段,.08,都市：住,100000,259,持分移轉,05680004
RPQNMLOJLHKGFDC67CB,武嶺段,1.38,都市：住,100000,300,持分移轉,05260000
RPPNMLQLKHKGFDC87CB,武嶺段,.15,都市：住,100000,259,持分移轉,05680005
RPQNMLOJLHKGFDC67CB,武嶺段,.02,都市：住,100000,300,持分移轉,05330000
RPPNMLQLKHKGFDC87CB,武嶺段,2.85,都市：住,100000,259,持分移轉,05690002
RPPNMLQLKHKGFDC87CB,武嶺段,.17,都市：住,100000,259,持分移轉,05690003
RPQNMLOJLHKGFDC67CB,武嶺段,.42,都市：住,100000,300,持分移轉,05650000
RPQNMLOJLHKGFDC67CB,武嶺段,.30,都市：住,100000,300,持分移轉,05650001
RPQNMLQLKHKGFDC97CB,武嶺段,.09,都市：住,100000,262,持分移轉,05220004
RPQNMLQLKHKGFDC97CB,武嶺段,1.21,都市：住,100000,262,持分移轉,05260000
RPQNMLQLKHKGFDC97CB,武嶺段,.02,都市：住,100000,262,持分移轉,05330000
RPQNMLOJLHKGFDC67CB,武嶺段,.01,都市：住,100000,300,持分移轉,05660017
RPQNMLQLKHKGFDC97CB,武嶺段,.36,都市：住,100000,262,持分移轉,05650000
RPQNMLOJLHKGFDC67CB,武嶺段,.13,都市：住,100000,300,持分移轉,05660019
RPQNMLQLKHKGFDC97CB,武嶺段,.26,都市：住,100000,262,持分移轉,05650001
RPQNMLQLKHKGFDC97CB,武嶺段,.01,都市：住,100000,262,持分移轉,05660017
RPQNMLOJLHKGFDC67CB,武嶺段,3.93,都市：住,100000,300,持分移轉,05660020
RPQNMLQLKHKGFDC97CB,武嶺段,.11,都市：住,100000,262,持分移轉,05660019
RPQNMLQLKHKGFDC97CB,武嶺段,3.43,都市：住,100000,262,持分移轉,05660020
RPQNMLOJLHKGFDC67CB,武嶺段,3.14,都市：住,100000,300,持分移轉,05660021
RPQNMLQLKHKGFDC97CB,武嶺段,2.74,都市：住,100000,262,持分移轉,05660021
RPQNMLOJLHKGFDC67CB,武嶺段,8.14,都市：住,100000,300,持分移轉,05660022
RPQNMLQLKHKGFDC97CB,武嶺段,7.11,都市：住,100000,262,持分移轉,05660022
RPQNMLQLKHKGFDC97CB,武嶺段,.04,都市：住,100000,262,持分移轉,05660023
RPQNMLOJLHKGFDC67CB,武嶺段,.05,都市：住,100000,300,持分移轉,05660023
RPQNMLQLKHKGFDC97CB,武嶺段,1.21,都市：住,100000,262,持分移轉,05670002
RPQNMLOJLHKGFDC67CB,武嶺段,1.38,都市：住,100000,300,持分移轉,05670002
RPQNMLQLKHKGFDC97CB,武嶺段,1.45,都市：住,100000,262,持分移轉,05680002
RPQNMLOJLHKGFDC67CB,武嶺段,1.66,都市：住,100000,300,持分移轉,05680002
RPQNMLQLKHKGFDC97CB,武嶺段,.08,都市：住,100000,262,持分移轉,05680004
RPQNMLOJLHKGFDC67CB,武嶺段,.09,都市：住,100000,300,持分移轉,05680004
RPQNMLQLKHKGFDC97CB,武嶺段,.16,都市：住,100000,262,持分移轉,05680005
RPQNMLQLKHKGFDC97CB,武嶺段,2.88,都市：住,100000,262,持分移轉,05690002
RPQNMLOJLHKGFDC67CB,武嶺段,.18,都市：住,100000,300,持分移轉,05680005
RPQNMLQLKHKGFDC97CB,武嶺段,.17,都市：住,100000,262,持分移轉,05690003
RPQNMLOJLHKGFDC67CB,武嶺段,3.30,都市：住,100000,300,持分移轉,05690002
RPQNMLOJLHKGFDC67CB,武嶺段,.20,都市：住,100000,300,持分移轉,05690003
RPPNMLTKKHKGFDC08CB,武嶺段,.13,都市：住,100000,365,持分移轉,05220004
RPPNMLTKKHKGFDC08CB,武嶺段,1.68,都市：住,100000,365,持分移轉,05260000
RPPNMLTKKHKGFDC08CB,武嶺段,.03,都市：住,100000,365,持分移轉,05330000
RPPNMLTKKHKGFDC08CB,武嶺段,.51,都市：住,100000,365,持分移轉,05650000
RPPNMLTKKHKGFDC08CB,武嶺段,.36,都市：住,100000,365,持分移轉,05650001
