編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPPMLPJNHKGFAD87DA,坡道平面,1300000,,地下二樓
RPPNMLPKNHKGFHD48DA,其他,1000000,11.75,一樓
RPSOMLPKNHKGFAD18DA,坡道平面,0,36.02,地下三樓
RPTNMLQKNHKGFKD66DA,坡道機械,0,13.14,地下二樓
RPOOMLQJNHKGFCD97DA,坡道平面,0,,地下二樓
RPPNMLTJNHKGFCD28DA,坡道平面,0,,地下一樓
RPOQMLKLNHKGFID38DA,其他,0,12.18,一樓
RPVOMLKLNHKGFGD68DA,一樓平面,1250000,14.99,一樓
RPSOMLTKNHKGFCD78DA,坡道機械,0,12.81,地下二樓
RPQNMLPKNHKGFID68DA,坡道平面,0,,地下一樓
RPOQMLKLNHKGFKD58DA,坡道平面,0,,地下二樓
RPPQMLKLNHKGFID48DA,坡道機械,0,12.24,地下二樓
RPVNMLNLNHKGFID09DA,坡道平面,0,17.45,地下四樓
RPPNMLKLNHKGFHD08DA,一樓平面,0,14.07,一樓
RPXNMLTJNHKGFID07DA,一樓平面,1500000,15.28,一樓
RPPRMLLLNHKGFAD87DA,坡道平面,0,31.89,地下二樓
RPUNMLQLNHKGFAD48DA,坡道平面,0,,地下二樓
RPOPMLQLNHKGFAD08DA,坡道平面,0,,地下二樓
RPXRMLSLNHKGFKD77DA,坡道平面,0,,地下一樓
RPPPMLQLNHKGFAD18DA,坡道機械,0,,地下二樓
RPPNMLQLNHKGFHD68DA,坡道平面,0,,地下一樓
RPWNMLSLNHKGFHD96DA,其他,1100000,11.75,一樓
RPQPMLQLNHKGFID09DA,一樓平面,0,,一樓
RPVNMLMLNHKGFKD56DA,坡道平面,1750000,45.89,地下二樓
RPRNMLKMNHKGFAD67DA,坡道平面,1000000,,地下二樓
RPPPMLSLNHKGFBD48DA,坡道平面,0,24.39,地下一樓
RPPOMLKLNHKGFID28DA,坡道平面,1380000,32.27,地下三樓
RPWNMLSLNHKGFAD88DA,坡道機械,0,28.37,地下四樓
RPTOMLNKNHKGFHD78DA,坡道平面,0,15.45,地下一樓
RPPNMLTLNHKGFCD58EA,坡道平面,0,,地下一樓
RPUNMLTLNHKGFCD98DA,坡道平面,0,24.05,地下二樓
RPSNMLNJOHKGFKD88DA,一樓平面,0,16.51,一樓
RPVNMLPJOHKGFID56DA,坡道機械,0,11.65,地下二樓
RPSOMLNJOHKGFAD97DA,坡道機械,1050000,18.54,地下四樓
RPWNMLOJOHKGFGD98DA,一樓平面,1250000,14.99,一樓
RPPNMLPLNHKGFKD88DA,坡道平面,0,,地下三樓
RPQNMLOJOHKGFHD48DA,一樓平面,1500000,17.01,一樓
RPPNMLTLNHKGFHD98DA,坡道平面,0,23.03,地下三樓
RPTNMLTLNHKGFID86DA,坡道平面,1320000,32.27,地下三樓
RPQPMLLKMHKGFCD77DA,坡道平面,0,27.37,地下一樓
RPTPMLLKMHKGFHD58DA,坡道平面,1300000,18.63,地下二樓
RPTPMLLKMHKGFHD58DA,坡道平面,1250000,17.60,地下二樓
RPPNMLLKMHKGFKD28DA,坡道平面,0,,地下三樓
RPWOMLLKMHKGFAD08DA,坡道平面,620000,,地下二樓
RPRNMLNLMHKGFAD77DA,坡道機械,0,16.31,地下二樓
RPTOMLMLMHKGFCD18DA,坡道平面,0,,地下一樓
RPRQMLTJMHKGFCD68DA,一樓平面,0,28.00,一樓
RPPOMLQKMHKGFKD88DA,坡道平面,0,22.39,地下二樓
RPUOMLOLMHKGFCD48DA,坡道平面,1570000,26.25,地下二樓
RPORMLNLMHKGFCD08DA,坡道平面,1520000,26.25,地下三樓
RPQNMLSLMHKGFAD18DA,坡道平面,0,,地下一樓
RPXNMLQKMHKGFAD58DA,坡道機械,0,18.54,地下四樓
RPXNMLQKMHKGFAD58DA,坡道平面,0,28.02,地下四樓
RPPNMLSLMHKGFCD28DA,坡道平面,0,24.05,地下二樓
RPQNMLSLMHKGFDD48DA,其他,0,,一樓
RPSOMLTLMHKGFAD58DA,坡道平面,0,32.55,地下二樓
RPPOMLSLMHKGFCD38DA,一樓平面,0,29.78,一樓
RPWNMLSLMHKGFCD98DA,坡道平面,0,,地下一樓
RPQNMLQJMHKGFAD77DA,坡道平面,1000000,,地下三樓
RPTNMLSLMHKGFED88DA,一樓平面,0,,一樓
RPQNMLQJNHKGFAD87DA,坡道平面,0,,地下一樓
RPQRMLNLMHKGFCD28DA,坡道平面,1670000,26.25,地下二樓
RPROMLPLMHKGFAD08DA,坡道機械,0,,地下三樓
RPPNMLTJNHKGFDD38DA,坡道平面,0,,地下一樓
RPQNMLKMMHKGFID28DA,一樓平面,0,26.44,一樓
RPPNMLMLMHKGFKD48DA,坡道平面,0,,地下三樓
RPSNMLQJNHKGFAD08DA,坡道平面,0,,地下一樓
RPUNMLSJNHKGFBD58DA,其他,500000,9.24,一樓
RPOPMLRJNHKGFID78DA,坡道平面,0,26.19,地下二樓
RPPOMLTLMHKGFAD28DA,坡道平面,1300000,34.67,地下三樓
RPUNMLPLMHKGFAD28DA,坡道平面,0,,地下一樓
RPTNMLPLMHKGFKD56DA,坡道平面,0,22.39,地下二樓
RPPNMLSLMHKGFKD09DA,坡道平面,1900000,27.48,地下二樓
RPVNMLSJNHKGFAD58DA,坡道平面,280000,,地下一樓
RPQNMLTJNHKGFAD18DA,坡道機械,1050000,18.54,地下四樓
RPRSMLRJNHKGFAD58DA,坡道平面,0,,地下一樓
RPUQMLNLMHKGFCD58DA,坡道平面,0,40.00,地下二樓
RPUQMLNLMHKGFCD58DA,坡道平面,0,40.00,地下二樓
RPPOMLOLMHKGFHD48DA,坡道機械,0,5.61,地下一樓
RPXNMLPLMHKGFHD66DA,一樓平面,0,20.69,地下一樓
RPQNMLPLMHKGFHD58DA,一樓平面,1700000,21.52,一樓
RPOOMLMJNHKGFHD08DA,坡道平面,1550000,34.95,地下一樓
RPUNMLMKNHKGFAD97DA,坡道平面,1150000,,地下三樓
RPRQMLPJNHKGFCD38DA,坡道平面,0,,地下一樓
RPPNMLSKMHKGFCD18DA,坡道平面,1580000,25.04,地下三樓
RPPOMLMJNHKGFID28DA,坡道平面,1250000,32.27,地下三樓
RPWNMLMKNHKGFID98DA,坡道平面,0,25.79,地下一樓
RPWNMLNKNHKGFCD48DA,坡道機械,0,,地下一樓
RPXOMLRJNHKGFCD98DA,坡道平面,0,19.86,地下一樓
RPRNMLMKNHKGFAD67DA,坡道平面,0,32.55,地下三樓
RPOOMLMJNHKGFID18DA,坡道平面,1350000,32.27,地下二樓
RPQOMLMJNHKGFID38DA,坡道平面,1320000,31.12,地下三樓
RPWNMLOKNHKGFID56DA,一樓平面,0,15.58,一樓
RPOOMLRJNHKGFKD88DA,坡道機械,0,,地下一樓
RPPNMLNKNHKGFKD58DA,坡道平面,0,19.23,地下二樓
RPSNMLLKMHKGFAD57DA,升降機械,0,16.66,地下四樓
RPVOMLSJNHKGFCD88DA,坡道平面,1000000,28.07,地下一樓
RPQNMLOKNHKGFDD08DA,升降機械,0,,地下一樓
RPUNMLOKNHKGFGD78DA,一樓平面,0,14.88,一樓
RPQNMLLLMHKGFHD18DA,坡道平面,0,27.19,地下二樓
RPUNMLMKNHKGFKD98DA,坡道平面,0,33.76,地下二樓
RPXNMLOKNHKGFKD86DA,坡道平面,0,,地下一樓
RPVNMLNLMHKGFAD18DA,坡道平面,0,28.10,地下二樓
RPXNMLMKNHKGFAD28DA,坡道平面,0,,地下一樓
RPPNMLPLMHKGFCD97DA,坡道平面,0,25.24,地下二樓
RPSOMLNKNHKGFHD68DA,其他,850000,5.69,一樓
RPWNMLNKNHKGFID09DA,坡道平面,0,25.02,地下二樓
RPUNMLMLMHKGFKD98DA,坡道平面,0,27.31,地下一樓
RPTOMLOKNHKGFKD56DA,坡道機械,0,5.00,地下三樓
RPWNMLPJNHKGFBD48DA,坡道平面,0,25.60,地下一樓
RPRNMLSKNHKGFCD48DA,坡道平面,1570000,26.25,地下二樓
RPQNMLNKNHKGFHD38DA,升降機械,750000,9.44,一樓
RPOOMLTJNHKGFKD09DA,坡道機械,0,,地下二樓
RPQOMLTKNHKGFAD38DA,坡道平面,0,,地下二樓
RPROMLKMMHKGFAD67DA,坡道平面,1200000,,地下一樓
RPXOMLQJNHKGFCD88DA,坡道平面,0,,地下一樓
RPQNMLQKNHKGFDD28DA,一樓平面,0,,一樓
RPPNMLTKNHKGFHD88DA,一樓平面,0,35.21,一樓
RPVOMLPKNHKGFHD56DA,一樓平面,0,14.11,一樓
RPRNMLPKNHKGFHD78EA,其他,0,9.91,一樓
RPWRMLLLNHKGFBD68DA,坡道平面,0,23.33,地下一樓
RPQNMLRKNHKGFDD38DA,其他,0,16.80,一樓
RPQOMLKLNHKGFGD18DA,一樓平面,0,,一樓
RPWNMLSJNHKGFHD76DA,一樓平面,1220000,28.43,一樓
RPVNMLSJNHKGFHD66DA,一樓平面,1230000,28.43,一樓
RPROMLMJNHKGFID48DA,坡道平面,0,32.27,地下一樓
RPROMLMJNHKGFID48DA,坡道平面,0,32.27,地下一樓
RPTNMLNKNHKGFCD18DA,坡道平面,0,19.81,地下一樓
RPPNMLMLNHKGFCD77DA,坡道平面,0,,地下一樓
RPRNMLPKNHKGFCD18DA,一樓平面,0,,一樓
RPPNMLNLNHKGFHD38DA,坡道平面,0,32.09,地下二樓
RPTNNLPKNHKGFID09DA,一樓平面,1300000,7.14,一樓
RPPNMLLLNHKGFCD77EA,一樓平面,0,,一樓
RPPPMLMLNHKGFAD77DA,坡道機械,1050000,18.54,地下四樓
RPOOMLMKNHKGFCD67DA,坡道平面,0,,地下一樓
RPSOMLOLMHKGFCD28DA,坡道平面,0,,地下一樓
RPOOMLMLNHKGFCD77DA,坡道機械,0,,地下一樓
RPXNMLQLNHKGFCD98DA,坡道機械,0,9.83,地下一樓
RPXNMLTLMHKGFKD37DA,坡道平面,1750000,45.89,地下一樓
RPTQMLPJNHKGFCD58DA,坡道機械,0,,地下二樓
RPQNMLKLMHKGFAD37DA,坡道平面,0,,地下一樓
RPWNMLMJNHKGFCD28DA,坡道平面,0,35.41,地下一樓
RPXNMLPKMHKGFGD09DA,一樓平面,0,,一樓
RPPNMLRKMHKGFHD58DA,坡道平面,0,31.43,地下二樓
RPVNMLLLNHKGFHD78DA,一樓平面,0,3.03,一樓
RPWNMLQKNHKGFKD96DA,坡道機械,0,,地下二樓
RPQOMLLLMHKGFKD58DA,坡道平面,0,22.39,地下二樓
RPXNMLNLNHKGFKD86DA,坡道平面,0,22.39,地下二樓
RPQNMLOLMHKGFKD78DA,坡道平面,0,28.64,地下一樓
RPSPMLTJNHKGFKD96DA,坡道平面,0,22.00,地下二樓
RPOOMLRLNHKGFAD08DA,坡道平面,0,,地下二樓
RPSNMLNLNHKGFKD98DA,坡道機械,0,,地下一樓
RPQQMLRLNHKGFKD86DA,坡道平面,0,,地下二樓
RPPRMLNLMHKGFCD18DA,坡道平面,1470000,26.25,地下三樓
RPPNMLQLMHKGFCD08DA,其他,0,,一樓
RPUNMLNLMHKGFID88DA,一樓平面,0,,一樓
RPWNMLRJNHKGFKD96DA,坡道平面,0,33.53,地下三樓
RPWQMLRLNHKGFKD47DA,坡道機械,0,,地下一樓
RPWNMLRLNHKGFAD78DA,坡道機械,1050000,18.54,地下四樓
RPUNMLRLNHKGFAD58DA,坡道平面,0,,地下二樓
RPUNMLRLNHKGFAD58DA,坡道平面,0,,地下二樓
RPUNMLRLNHKGFAD58DA,坡道平面,0,,地下二樓
RPQRMLLLNHKGFAD97DA,坡道平面,0,30.66,地下五樓含以下
RPXNMLPLMHKGFCD78DA,其他,0,,一樓
RPRNMLSJNHKGFCD38DA,坡道平面,1760000,23.63,地下一樓
RPQNMLLLMHKGFBD57DA,坡道平面,1600000,23.33,地下一樓
RPVNMLSLNHKGFBD88DA,坡道平面,0,25.77,地下二樓
RPRNMLTLNHKGFID66DA,坡道平面,0,,地下一樓
RPRNMLSLNHKGFHD09DA,其他,750000,9.44,一樓
RPQNMLRLNHKGFBD28DA,坡道平面,0,34.86,地下二樓
RPROMLMJOHKGFHD48DA,坡道平面,0,35.21,地下二樓
RPOOMLNKNHKGFKD58DA,坡道機械,0,5.00,地下三樓
RPQNMLSLNHKGFKD66DA,坡道平面,0,,地下二樓
RPQNMLNJOHKGFKD68DA,坡道平面,0,,地下一樓
RPPOMLQKNHKGFAD97DA,坡道平面,0,28.76,地下一樓
RPQPMLNJOHKGFAD87DA,坡道平面,0,,地下一樓
RPQTMLLJOHKGFAD08DA,坡道機械,0,24.50,地下四樓
RPVOMLMJOHKGFCD38DA,坡道平面,100000,,地下一樓
RPRNMLOJOHKGFCD08DA,坡道平面,0,29.78,地下二樓
RPVNMLRLNHKGFHD76DA,其他,1000000,11.75,一樓
RPPNMLLMNHKGFBD67DA,坡道平面,0,,地下一樓
RPPNMLOJOHKGFGD28DA,一樓平面,0,10.04,一樓
RPWOMLPJOHKGFHD66DA,坡道平面,0,18.84,地下二樓
RPWOMLPJOHKGFHD66DA,坡道平面,0,18.84,地下二樓
RPRNMLOJOHKGFKD88DA,坡道平面,0,36.71,地下三樓
RPOOMLTKNHKGFKD56DA,坡道平面,0,25.04,地下一樓
RPSOMLOJOHKGFKD09DA,坡道平面,0,,地下一樓
RPPNMLPJOHKGFDD08DA,坡道平面,0,29.14,地下一樓
RPRNMLRKMHKGFKD09DA,坡道平面,0,,地下一樓
RPRNMLRKMHKGFKD09DA,坡道平面,0,,地下一樓
RPOOMLPJOHKGFKD78DA,坡道平面,0,32.15,地下一樓
RPVNMLMLMHKGFKD09DA,坡道平面,1500000,37.35,地下三樓
RPWNMLNKLHKGFAD08DA,升降平面,0,,地下一樓
RPQNMLPKLHKGFAD67DA,坡道平面,0,36.35,地下四樓
RPPNMLRKLHKGFAD77DA,坡道平面,0,,地下一樓
RPPNMLOKLHKGFHD18DA,一樓平面,0,29.90,一樓
