編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRPMLPJNHKGFEE58DA,土庫段二小段,39.00,都市：其他:第三種住宅區。,1,1,全筆移轉,03190003
RPPNMLQJOHKGFLE56EA,溪州段二小段,6.00,都市：其他:住宅區,1,1,全筆移轉,35130038
RPWNMLMJOHKGFLE76DA,中門段,1.05,都市：其他:道路用地,3,1,持分移轉,02920001
RPWNMLMJOHKGFLE76DA,中門段,7.29,都市：其他:道路用地,3,1,持分移轉,02940001
RPOOMLPJOHKGFEE28DA,藍田西段,7.71,都市：其他:第三種商業區,100000,1061,持分移轉,01320000
RPPNMLTJOHKGFFE88EA,芋林段,16.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,450,3,持分移轉,11780000
RPRNMLQJOHKGFLE76EA,溪州段二小段,39.00,都市：其他:住宅區,1,1,全筆移轉,35130006
RPRNMLQJOHKGFLE76EA,溪州段二小段,55.00,都市：其他:住宅區,1,1,全筆移轉,35130042
RPQNMLQJOHKGFLE66EA,溪州段二小段,5.00,都市：其他:住宅區,1,1,全筆移轉,35130040
RPROMLMJNHKGFEE18DA,新庄段四小段,2.09,都市：其他:道路用地,100,1,持分移轉,05050000
SPROMLMJNHKGFEE28DA,新庄段四小段,.29,都市：其他:第三種住宅區。,100,1,持分移轉,04820000
RPXOMLRJNHKGFGE86DA,五甲段,71.00,都市：其他:道路用地,1,1,全筆移轉,16160039
RPXOMLRJNHKGFGE86DA,五甲段,34.00,都市：其他:道路用地,1,1,全筆移轉,16160046
RPQNMLPJNHKGFHE58DA,旗文段,4.46,都市：其他:道路用地,1,1,全筆移轉,03880000
RPQNMLPJNHKGFHE58DA,旗文段,66.76,都市：其他:住宅區,1,1,全筆移轉,03890000
RPUNMLQJNHKGFLE86DA,王公廟段,11.00,都市：其他:道路用地,1,1,全筆移轉,18300005
RPQNMLRJNHKGFBE18DA,大統段一小段,.29,都市：其他:道路用地,10000,36,持分移轉,08290000
RPXNMLPJNHKGFEE98DA,土庫段二小段,406.00,都市：其他:第三種住宅區。,1,1,全筆移轉,02410006
RPQNMLRJNHKGFBE18DA,大統段一小段,2.41,都市：其他:第五種商業區,10000,36,持分移轉,08560000
RPQNMLLJNHKGFKE48DA,萬山段,11860.00,非都市：森林區 ; 非都市編定：林業用地,2,1,持分移轉,00260000
RPQNMLLJNHKGFKE48DA,萬山段,3033.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,03270000
RPQNMLLJNHKGFKE48DA,萬山段,5672.00,非都市：森林區 ; 非都市編定：林業用地,2,1,持分移轉,07260000
RPPNMLSJNHKGFLE66EA,仁德段,10.98,都市：其他:第二種住宅區,20000,90,持分移轉,01390000
RPQNMLTJNHKGFKE66DA,美濃段,376.00,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,36810000
RPUNMLQJNHKGFGE98DA,七老爺段,30.69,都市：其他:第三之一種住宅區,10000,395,持分移轉,02950001
RPWNMLPJNHKGFBE58DA,大統段二小段,3.10,都市：其他:第五種商業區,10000,141,持分移轉,02600000
RPVOMLMKNHKGFEE68DA,福山段,7.90,都市：其他:第四種商業區,10000,136,持分移轉,03430001
RPTNMLSJNHKGFGE09DA,東隆段,35.67,都市：其他:住宅區,1,1,全筆移轉,01120000
RPRNMLSJNHKGFFE78DA,建樹段,7.25,都市：其他:道路用地,12,1,持分移轉,02240000
RPRNMLSJNHKGFFE78DA,建樹段,.06,都市：其他:道路用地,2397,23,持分移轉,02330000
RPRNMLSJNHKGFFE78DA,建樹段,.15,都市：其他:人行步道,2397,23,持分移轉,02640000
RPSOMLQJNHKGFFE78DA,大公段,42.40,都市：其他:道路用地,5,4,持分移轉,02390000
RPWNMLOKNHKGFFE98DA,梓和段,25.15,都市：其他:住宅區,3,1,持分移轉,04740000
RPVNMLMKNHKGFCE38DA,港和段二小段,1.26,都市：其他:道路用地,10000,75,持分移轉,04660001
RPUOMLNKNHKGFEE68DA,莒光段二小段,17.25,都市：其他:第四種住宅區,4,1,持分移轉,02850000
RPPNMLNKNHKGFFE18DA,鳳龍段,37.28,都市：其他:住宅區,1,1,全筆移轉,07640000
RPVNMLMKNHKGFCE38DA,港和段二小段,25.45,都市：其他:第五種住宅區,10000,75,持分移轉,04670000
RPVNMLMKNHKGFCE38DA,港和段二小段,2.26,都市：其他:道路用地,10000,75,持分移轉,04670002
RPTNMLMKNHKGFGE58DA,新甲段,19.03,都市：其他:第三之一種住宅區,30,1,持分移轉,12450316
RPQNMLOKNHKGFCE08DA,鳳宮段,8.00,都市：其他:第三種住宅區。,1,1,全筆移轉,01240000
RPSNMLSJNHKGFHE09DA,達卡努瓦段,813.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1180,813,持分移轉,03720002
RPTNMLSJNHKGFFE98DA,梓和段,41.15,都市：其他:道路用地,155520,4425,持分移轉,05270000
RPTNMLSJNHKGFFE98DA,梓和段,734.85,都市：其他:住宅區,1,1,全筆移轉,05280006
RPRNMLOKNHKGFBE08DA,意誠段,1.55,都市：其他:第三種特定商業專用區,100000,16,持分移轉,07630000
