編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLMKKHKGFAE57CC,坡道平面,3100,13.22,地下二樓
RPWNMLNKKHKGFAE18CC,坡道機械,0,5.05,地下二樓
RPTNMLMKKHKGFAE77CC,坡道平面,0,,地下一樓
RPQPMLNKKHKGFDE08CC,坡道平面,2500,23.34,地下二樓
RPVNMLOKKHKGFAE18CC,坡道平面,0,,地下二樓
RPROMLOKKHKGFBE97CC,坡道平面,0,12.65,地下五樓含以下
RPQNMLNKKHKGFCE77CC,坡道機械,0,19.83,地下三樓
RPWNMLOKKHKGFEE68CC,坡道平面,0,23.78,地下二樓
RPPNMLOKKHKGFIE38CC,一樓平面,0,12.57,一樓
RPPNMLPKKHKGFEE08CC,坡道平面,0,24.29,地下一樓
RPUNMLSKKHKGFAE48CC,坡道平面,0,18.11,地下二樓
RPTNMLSKKHKGFBE48CC,坡道平面,2500,14.65,地下二樓
RPQOMLSKKHKGFBE28CC,坡道平面,0,,地下一樓
RPSNMLSKKHKGFCE48CC,坡道機械,0,,地下四樓
RPUNMLSKKHKGFFE98CC,坡道平面,0,27.99,地下一樓
RPXNMLSKKHKGFGE76CC,坡道平面,0,20.71,地下二樓
RPVNMLTKKHKGFBE78CC,坡道平面,1800,12.65,地下五樓含以下
RPXNMLTKKHKGFBE98CC,坡道平面,0,35.38,地下一樓
RPQNMLTKKHKGFGE78CC,坡道平面,0,27.83,地下一樓
RPPNMLTKKHKGFGE68CC,坡道機械,0,,地下三樓
RPPNMLKLKHKGFAE27CC,坡道平面,0,9.92,地下三樓
RPTOMLKLKHKGFBE87CC,坡道平面,0,36.36,地下二樓
RPXNMLKLKHKGFDE38CC,坡道平面,0,21.44,地下一樓
RPSNMLKLKHKGFEE97CC,坡道平面,0,20.31,地下一樓
RPPNMLKLKHKGFGE87CC,坡道平面,2700,13.75,地下二樓
RPQOMLKLKHKGFGE08CC,坡道平面,0,20.23,地下一樓
RPSOMLKLKHKGFGE28CC,坡道平面,0,25.44,地下二樓
RPWNMLLLKHKGFCE28CC,坡道機械,3000,14.08,地下三樓
RPPNMLLLKHKGFEE77CC,坡道平面,3066,23.27,地下一樓
RPSNMLLLKHKGFEE08CC,升降機械,0,16.53,地下二樓
RPXNMLLLKHKGFEE58CC,坡道平面,0,,地下三樓
RPSNMLLLKHKGFFE18CC,坡道平面,0,27.99,地下一樓
RPTNMLLLKHKGFFE28CC,坡道平面,0,1.68,地下二樓
RPSNMLLLKHKGFGE28CC,坡道平面,0,15.92,地下一樓
RPPNMLLLKHKGFIE18CC,一樓平面,0,,一樓
RPQNMLLLKHKGFLE58CC,一樓平面,0,,一樓
RPPNMLMLKHKGFEE87CC,坡道平面,0,11.63,地下三樓
RPQNMLOLKHKGFBE87CC,坡道平面,0,,地下二樓
RPUOMLOLKHKGFBE38CC,坡道平面,0,,地下三樓
RPSPMLOLKHKGFBE28CC,坡道平面,0,26.79,地下一樓
RPUPMLOLKHKGFBE48CC,坡道平面,0,28.14,地下二樓
RPTPMLOLKHKGFCE48CC,坡道平面,0,24.85,地下三樓
RPUPMLOLKHKGFCE58CC,坡道平面,0,24.37,地下三樓
RPVPMLOLKHKGFCE68CC,坡道平面,0,8.68,地下三樓
RPOOMLOLKHKGFDE97CC,坡道平面,0,13.73,地下一樓
RPSNMLOLKHKGFEE38CC,坡道平面,3440,42.51,地下一樓
RPXNMLOLKHKGFEE88CC,坡道平面,0,20.31,地下三樓
RPROMLOLKHKGFEE38CC,坡道平面,0,,一樓
RPPNMLOLKHKGFFE18CC,坡道機械,0,16.89,地下三樓
RPRNMLOLKHKGFFE38CC,坡道平面,0,62.24,地下一樓
RPQNMLOLKHKGFGE38CC,坡道平面,0,,地下一樓
RPTNMLOLKHKGFGE68CC,坡道平面,0,17.59,地下二樓
RPSNMLOLKHKGFAE97CC,坡道平面,3000,18.53,地下五樓含以下
RPOOMLPLKHKGFAE77CC,坡道平面,0,31.79,地下二樓
RPWNMLPLKHKGFDE78CC,坡道平面,0,,地下三樓
RPRNMLPLKHKGFEE38CC,坡道平面,0,24.57,地下三樓
RPOOMLPLKHKGFEE18CC,坡道平面,0,38.17,地下三樓
RPTNMLQLKHKGFAE28CC,坡道平面,0,,地下四樓
RPVNMLQLKHKGFBE58CC,坡道平面,0,15.85,地下三樓
RPQNMLQLKHKGFCE18CC,坡道平面,0,26.32,地下二樓
RPRNMLQLKHKGFDE38CC,坡道機械,0,5.37,一樓
RPUOMLQLKHKGFEE88CC,坡道平面,0,31.97,地下三樓
RPOPMLQLKHKGFEE38CC,坡道平面,0,14.93,一樓
RPSOMLQLKHKGFEE68CC,坡道平面,0,30.70,地下一樓
RPXOMLQLKHKGFEE56CC,坡道平面,0,17.11,地下二樓
RPRNMLQLKHKGFGE68CC,坡道平面,0,18.80,地下二樓
RPROMLQLKHKGFEE58CC,坡道平面,0,18.00,地下二樓
RPWNMLQLKHKGFGE56CC,坡道機械,2000,6.05,地下二樓
RPQNMLRLKHKGFAE08CC,坡道平面,0,33.72,地下一樓
RPQNMLRLKHKGFAE08CC,坡道平面,0,33.72,地下一樓
RPQNMLRLKHKGFAE08CC,坡道平面,0,33.72,地下一樓
RPTNMLRLKHKGFAE38CC,坡道平面,0,31.29,地下二樓
RPTNMLRLKHKGFBE48CC,坡道平面,0,28.14,地下二樓
RPVNMLRLKHKGFCE78CC,坡道機械,0,5.65,地下二樓
RPQNMLRLKHKGFEE48CC,坡道平面,0,30.70,地下五樓含以下
RPOOMLRLKHKGFEE38CC,坡道平面,0,27.91,地下一樓
RPVNMLRLKHKGFEE98CC,坡道機械,0,,地下二樓
RPPNMLSLKHKGFEE48CC,坡道平面,0,,地下二樓
