編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLNJNHKGFCF87DA,升降機械,1180000,19.99,地下二樓
RPPNMLMKNHKGFDF08EA,坡道平面,1850000,13.31,地下一樓
RPPNMLNKNHKGFBF97EA,升降平面,1600000,41.31,地下三樓
RPTNMLMKNHKGFBF28EA,坡道平面,0,40.64,地下四樓
RPRNMLMJNHKGFCF97DA,坡道平面,0,18.50,地下一樓
RPSNMLMJNHKGFCF08DA,坡道平面,0,16.89,地下一樓
RPSSMLPKNHKGFEF56DA,坡道平面,0,46.67,地下一樓
RPPSMLQJNHKGFHF56DA,坡道平面,1500000,29.09,地下一樓
RPSNMLQKNHKGFBF48DA,坡道平面,0,23.61,地下五樓含以下
RPXNMLNKNHKGFEF09EA,坡道機械,0,6.97,地下三樓
RPVNMLNKNHKGFIF56DA,坡道平面,1600000,28.62,地下三樓
RPPNMLOKNHKGFIF78EA,坡道平面,0,32.73,地下一樓
RPVNMLPKNHKGFCF78DA,坡道平面,2200000,39.41,地下一樓
RPPNMLTKNHKGFAF48EA,坡道平面,0,50.79,地下一樓
RPWNMLNKNHKGFIF66DA,坡道平面,0,,地下一樓
RPSOMLTKNHKGFAF78DA,坡道機械,1530000,16.23,地下二樓
RPQOMLKLNHKGFEF18DA,坡道平面,1100000,35.74,地下二樓
RPTPMLNKNHKGFHF09DA,坡道平面,2600000,34.20,地下二樓
RPTPMLNKNHKGFHF09DA,坡道平面,2600000,34.20,地下二樓
RPPNMLLLNHKGFEF18EA,坡道平面,0,,地下一樓
RPPNMLLLNHKGFEF18EA,坡道平面,0,,地下一樓
RPUNMLTKNHKGFGF96EA,坡道機械,1100000,23.94,地下二樓
RPQNMLKLNHKGFHF48EA,坡道平面,2100000,34.29,地下二樓
RPQNMLKLNHKGFHF48EA,坡道機械,1600000,13.51,地下二樓
RPQNMLKLNHKGFHF48EA,坡道機械,1600000,13.51,地下二樓
RPOOMLLLNHKGFAF67DA,坡道平面,2580000,29.86,地下二樓
RPUOMLLLNHKGFBF38DA,坡道平面,1300000,31.30,地下三樓
RPXNMLQKNHKGFBF98DA,坡道平面,1550000,34.50,地下二樓
RPVNMLKLNHKGFCF38DA,坡道機械,1300000,20.32,地下三樓
RPRNMLQKNHKGFGF88DA,坡道平面,1920000,20.68,地下一樓
RPTNMLTKNHKGFEF66EA,坡道平面,1620000,20.18,地下四樓
RPPOMLLLNHKGFAF77DA,坡道平面,1800000,31.61,地下二樓
RPQNMLKLNHKGFCF97EA,坡道平面,0,,地下二樓
RPXQMLMLNHKGFBF98DA,坡道平面,0,,地下一樓
RPXQMLMLNHKGFBF98DA,坡道平面,0,,地下二樓
RPQOMLPKNHKGFAF28EA,坡道平面,2300000,38.68,地下二樓
RPSNMLNLNHKGFDF58EA,坡道平面,570000,41.39,地下一樓
RPXNMLLLNHKGFIF66DA,坡道平面,0,,地下一樓
RPOOMLLLNHKGFEF18EA,坡道機械,360000,6.80,地下一樓
RPOOMLQJNHKGFBF08DA,坡道平面,1850000,30.60,地下二樓
RPRSMLLLNHKGFBF48DA,坡道平面,0,,地下一樓
RPRSMLLLNHKGFBF48DA,坡道平面,0,,地下一樓
RPTNMLTKNHKGFBF88DA,坡道平面,2200000,23.64,地下二樓
RPRNMLMLNHKGFDF28DA,坡道平面,0,43.88,地下一樓
RPSNMLNLNHKGFDF48DA,坡道平面,2000000,14.99,地下一樓
RPUNMLNLNHKGFDF78EA,坡道平面,570000,41.39,地下一樓
RPTNMLNLNHKGFDF68EA,坡道平面,570000,41.39,地下一樓
RPQNMLNLNHKGFEF48EA,坡道平面,0,,地下二樓
RPXOMLKLNHKGFBF58DA,坡道平面,2000000,35.92,地下三樓
RPPNMLKLNHKGFCF77DA,坡道平面,2300000,27.35,地下二樓
RPTOMLNLNHKGFEF78DA,坡道平面,1700000,43.04,地下二樓
RPTOMLKLNHKGFGF68DA,坡道平面,2500000,40.30,地下一樓
RPQOMLRJNHKGFHF98DA,坡道平面,0,47.95,地下二樓
RPQOMLRJNHKGFHF98DA,坡道平面,0,47.95,地下二樓
RPQOMLRJNHKGFHF98DA,坡道平面,0,47.95,地下二樓
RPQOMLRJNHKGFHF98DA,坡道平面,0,47.95,地下二樓
RPQOMLRJNHKGFHF98DA,坡道平面,0,47.95,地下二樓
RPQOMLRJNHKGFHF98DA,坡道平面,0,47.95,地下二樓
RPWNMLQLNHKGFHF96DA,塔式車位,980000,14.57,地下二樓
RPVNMLNLNHKGFDF88EA,坡道平面,1580000,40.92,地下二樓
RPSNMLRLNHKGFDF98EA,坡道平面,2700000,34.16,地下三樓
RPQNMLNKNHKGFEF38EA,坡道平面,1700000,31.81,地下三樓
RPSNMLRLNHKGFCF78DA,坡道平面,2800000,40.47,地下一樓
RPSOMLLLNHKGFDF38DA,坡道平面,0,28.14,地下一樓
RPWNMLQLNHKGFGF86DA,坡道平面,2120000,33.18,地下二樓
RPXNMLQJNHKGFIF96DA,坡道平面,1800000,38.38,地下二樓
RPPNMLRLNHKGFEF78EA,坡道平面,0,22.50,地下一樓
RPPNMLMLNHKGFAF87EA,坡道機械,1900000,,地下一樓
RPSTMLMKNHKGFBF68DA,坡道平面,0,22.14,地下三樓
RPQNMLSLNHKGFCF68DA,坡道平面,1000000,36.79,一樓
RPSNMLTLNHKGFDF09DA,坡道平面,1500000,36.76,地下一樓
RPPNMLLLNHKGFEF08DA,坡道平面,0,34.49,地下四樓
RPPNMLLLNHKGFEF08DA,坡道平面,0,34.49,地下四樓
RPPOMLMLNHKGFEF28DA,坡道平面,0,25.95,地下一樓
RPPNMLTLNHKGFBF68EA,坡道平面,0,28.56,地下三樓
RPVNMLMLNHKGFEF78DA,坡道平面,1450000,35.20,地下二樓
RPSNMLMJOHKGFDF28DA,坡道平面,1500000,19.66,地下一樓
RPVNMLSLNHKGFBF09DA,坡道平面,1900000,16.49,地下二樓
RPROMLSLNHKGFEF09DA,坡道平面,0,,地下一樓
RPQOMLMJNHKGFHF48DA,坡道平面,2800000,16.63,地下二樓
RPSNMLNJOHKGFBF28EA,坡道平面,2500000,30.94,地下三樓
RPRNMLNJOHKGFBF18EA,坡道平面,0,30.90,地下三樓
RPPOMLSLNHKGFBF58DA,坡道平面,0,30.36,地下一樓
RPPOMLSLNHKGFBF58DA,坡道平面,0,30.36,地下一樓
RPRNMLLJNHKGFBF77DA,坡道平面,2000000,35.92,地下三樓
RPXPMLMJOHKGFBF78DA,坡道平面,2300000,37.41,地下一樓
RPRNMLNJOHKGFBF08DA,升降機械,0,17.39,地下二樓
RPRNMLNJOHKGFBF08DA,升降機械,0,17.39,地下二樓
RPRNMLMJOHKGFDF18DA,坡道平面,0,,地下一樓
RPOQMLRLNHKGFHF56DA,塔式車位,1800000,16.64,
RPPOMLSJNHKGFEF68DA,坡道平面,0,42.74,地下二樓
RPWNMLOJOHKGFIF76DA,坡道平面,1500000,32.19,地下三樓
RPWNMLOJOHKGFIF76DA,坡道平面,1500000,32.19,地下三樓
RPQNMLNLNHKGFEF38DA,坡道平面,1500000,30.84,地下二樓
RPPNMLNJOHKGFEF28EA,坡道平面,0,,地下二樓
RPPNMLNJOHKGFEF28EA,坡道平面,0,,地下二樓
RPSNMLNJOHKGFHF88EA,坡道平面,2000000,13.51,地下三樓
RPSNMLNJOHKGFHF88EA,坡道機械,1000000,13.51,地下三樓
RPQPMLNJOHKGFAF08DA,坡道平面,2400000,24.33,地下三樓
RPTPMLTKNHKGFBF09DA,坡道平面,0,33.26,地下一樓
RPSPMLQJNHKGFBF58DA,坡道平面,2000000,,地下二樓
RPUNMLOJOHKGFDF68DA,坡道平面,2080000,32.80,地下二樓
RPXNMLQLNHKGFDF66DA,坡道平面,2400000,37.56,地下二樓
RPSOMLNLNHKGFEF68DA,坡道平面,700000,29.92,地下三樓
RPPNMLRLNHKGFEF68DA,坡道平面,1400000,44.28,地下一樓
RPQPMLNJOHKGFBF18DA,坡道平面,0,30.97,地下三樓
RPPPMLSLNHKGFEF98DA,坡道機械,660000,18.36,地下三樓
RPPPMLSLNHKGFEF98DA,坡道機械,660000,18.36,地下三樓
RPRNMLMJOHKGFEF28DA,坡道機械,0,16.93,地下四樓
RPQNMLPJOHKGFBF28EA,坡道平面,2000000,27.94,地下一樓
RPSNMLMJOHKGFIF78DA,坡道平面,0,30.27,地下二樓
RPPNMLTLNHKGFIF76EA,坡道平面,2100000,43.37,地下一樓
RPPRMLOJOHKGFBF38DA,坡道平面,0,37.27,地下二樓
RPROMLRLNHKGFAF58DA,坡道平面,0,41.09,地下一樓
RPROMLRLNHKGFAF58DA,坡道平面,0,36.67,地下二樓
RPPOMLRLNHKGFAF38DA,坡道平面,0,41.09,地下一樓
RPPOMLRLNHKGFAF38DA,坡道平面,0,36.67,地下二樓
RPRPNLOJOHKGFEF78DA,坡道平面,0,25.02,地下二樓
RPROMLOJOHKGFDF48DA,坡道平面,2190000,18.28,地下二樓
RPTNMLTLNHKGFHF96DA,坡道機械,1750000,11.81,地下一樓
RPRNMLOJOHKGFDF48EA,坡道平面,1850000,34.26,地下一樓
RPQNMLPJOHKGFCF38EA,坡道機械,0,23.31,地下四樓
RPQNMLQLNHKGFCF58EA,坡道平面,2300000,33.06,地下一樓
RPWPMLOJOHKGFHF96EA,坡道機械,1150000,14.31,地下四樓
RPTNMLQLNHKGFBF68DA,坡道平面,2600000,22.57,地下二樓
RPTPMLQJOHKGFEF09DA,坡道平面,0,,地下二樓
RPVOMLPKNHKGFAF78EA,坡道平面,3000000,30.09,地下三樓
RPXOMLPKNHKGFAF98EA,坡道平面,3000000,21.83,地下二樓
RPROMLKLNHKGFGF48DA,坡道平面,2300000,23.39,地下一樓
RPWQMLQJOHKGFEF86DA,坡道平面,0,34.83,地下四樓
RPWNMLPJOHKGFGF66DA,坡道平面,0,26.93,地下二樓
RPSNMLTLNHKGFEF66EA,坡道平面,0,15.60,地下一樓
RPWNMLQJOHKGFEF66EA,坡道平面,1650000,31.06,地下三樓
RPQNMLPJOHKGFEF58EA,坡道平面,0,36.32,地下二樓
RPOOMLQJOHKGFEF58EA,坡道平面,1650000,29.80,地下三樓
RPXNMLQJOHKGFEF76EA,坡道平面,1600000,29.80,地下三樓
RPROMLSJMHKGFBF48DA,坡道平面,1950000,34.88,地下一樓
RPQNMLRJMHKGFCF28DA,坡道平面,560000,32.50,地下四樓
RPSNMLOKMHKGFCF28DA,坡道平面,1328000,43.99,地下一樓
RPRNMLOKMHKGFCF18DA,坡道平面,2500000,45.74,地下二樓
RPWWMLLKMHKGFHF17DA,坡道平面,0,,地下三樓
RPUNMLPKMHKGFIF56DA,坡道平面,1500000,33.20,地下一樓
RPWRMLRJMHKGFBF56DA,坡道機械,1580000,,地下一樓
RPWNMLQKMHKGFDF98DA,坡道平面,1430000,43.51,地下一樓
RPTNMLSJMHKGFAF48DA,坡道平面,0,34.78,地下二樓
RPPOMLSKMHKGFAF28DA,坡道平面,0,,地下一樓
RPQOMLRKMHKGFEF68DA,坡道平面,1280000,36.14,地下二樓
RPVPNLRKMHKGFAF98DA,坡道機械,1800000,20.44,地下四樓
RPXNMLMLMHKGFEF88DA,坡道平面,1400000,54.56,地下一樓
RPPNMLLLMHKGFEF08EA,坡道機械,180000,3.40,地下一樓
RPPNMLLLMHKGFEF08EA,坡道機械,180000,3.40,地下一樓
RPPNMLLLMHKGFEF08EA,坡道機械,180000,3.40,地下一樓
RPRNMLRKMHKGFEF68DA,坡道平面,1200000,34.83,地下四樓
RPPOMLMLMHKGFEF28EA,坡道平面,0,31.69,地下二樓
RPPOMLMLMHKGFEF28EA,坡道平面,0,31.69,地下二樓
RPQPMLMLMHKGFGF58DA,坡道平面,1500000,46.94,地下二樓
RPWNMLNLMHKGFGF09DA,坡道平面,0,33.25,地下一樓
RPWNMLNLMHKGFGF09DA,坡道平面,0,33.25,地下三樓
RPPNMLNLMHKGFAF87EA,坡道平面,3000000,20.23,地下一樓
RPPNMLNLMHKGFAF87EA,坡道平面,3000000,20.23,地下一樓
RPQNMLNLMHKGFAF97EA,坡道機械,2200000,20.23,地下四樓
RPPNMLMLMHKGFEF18EA,坡道平面,700000,32.22,地下一樓
RPTNMLLLMHKGFBF08DA,坡道平面,0,30.41,地下一樓
RPVNMLOLMHKGFBF58DA,坡道平面,900000,15.60,地下三樓
RPQPMLNLMHKGFCF28DA,坡道平面,0,,地下一樓
RPPNMLRJMHKGFDF28DA,坡道平面,1200000,49.27,地下三樓
RPTPMLMLMHKGFEF68DA,坡道平面,400000,,地下二樓
RPSNMLPLMHKGFHF98DA,坡道平面,0,,地下一樓
RPXNMLNLMHKGFHF66DA,坡道平面,0,26.58,地下三樓
RPQNMLPLMHKGFBF28EA,坡道平面,1800000,33.80,地下二樓
RPQNMLPLMHKGFBF28EA,坡道平面,1800000,33.80,地下二樓
RPSQMLPKMHKGFBF58DA,坡道平面,2000000,34.88,地下一樓
RPQNMLPLMHKGFAF08DA,坡道平面,2000000,28.75,地下三樓
RPWOMLMLMHKGFBF58DA,坡道平面,0,33.80,地下二樓
RPWOMLMLMHKGFBF58DA,坡道平面,0,33.80,地下二樓
RPRNMLPLMHKGFDF48DA,坡道平面,0,5.00,地下一樓
RPRNMLPLMHKGFEF58DA,坡道平面,1000000,46.31,地下二樓
RPQNMLPLMHKGFBF18DA,坡道平面,0,23.24,地下一樓
RPQNMLPLMHKGFBF18DA,坡道平面,0,23.24,地下一樓
RPQNMLPLMHKGFBF18DA,坡道平面,0,23.24,地下一樓
RPUNMLOLMHKGFEF88EA,坡道平面,1500000,42.99,地下一樓
RPVNMLOLMHKGFEF98EA,其他,1500000,42.99,地下二樓
RPPNMLOLMHKGFHF68EA,升降機械,1230000,15.89,地下三樓
RPOOMLOLMHKGFGF58EA,坡道平面,2500000,37.98,地下二樓
RPUQMLQKMHKGFBF88DA,坡道平面,0,20.50,地下一樓
RPPNMLNKMHKGFDF97DA,坡道平面,900000,36.95,地下四樓
RPVNMLOLMHKGFDF78DA,坡道機械,10000,,地下三樓
RPRNMLSLMHKGFDF78DA,坡道平面,2400000,35.37,地下一樓
RPPNMLPLMHKGFCF28EA,坡道平面,0,,地下一樓
RPQNMLPLMHKGFEF58EA,坡道平面,1600000,28.88,地下三樓
RPQNMLSLMHKGFHF56EA,坡道平面,1700000,26.58,地下三樓
RPPNMLSLMHKGFEF78EA,坡道平面,0,,地下一樓
RPRNMLSLMHKGFIF76EA,坡道平面,800000,45.15,地下一樓
RPWNMLRKMHKGFCF98DA,坡道平面,1500000,40.73,地下二樓
RPQNMLLLMHKGFDF97DA,坡道平面,0,,地下一樓
RPPNMLOLMHKGFDF18DA,坡道平面,0,37.13,地下二樓
RPPNMLOLMHKGFHF58DA,坡道平面,1600000,35.63,地下二樓
RPTNMLOLMHKGFIF09DA,坡道平面,0,25.89,地下一樓
RPSNMLSLMHKGFAF68EA,坡道平面,2300000,40.47,地下四樓
RPPOMLSKMHKGFDF58DA,坡道平面,0,34.09,地下一樓
RPXNMLQKMHKGFGF76DA,坡道平面,0,,地下二樓
RPUNMLLLMHKGFGF68DA,坡道平面,0,23.36,地下二樓
RPVNMLSLMHKGFIF07DA,坡道平面,1600000,41.70,地下三樓
RPPNMLKMMHKGFDF97EA,坡道平面,1200000,36.94,地下三樓
RPQNMLTLMHKGFEF98EA,坡道平面,1600000,29.80,地下三樓
RPXNMLKMMHKGFEF88EA,坡道平面,1400000,28.02,地下三樓
RPOPMLLKMHKGFAF57DA,坡道平面,2050000,40.11,地下三樓
RPPNMLKMMHKGFIF48EA,坡道平面,0,36.04,地下一樓
RPTPMLNLMHKGFBF48DA,坡道平面,0,31.36,地下一樓
RPTPMLSLMHKGFCF09DA,坡道機械,1500000,23.01,地下二樓
RPXNMLKMMHKGFBF48DA,坡道平面,1650000,30.81,地下一樓
RPRNMLNLMHKGFDF28DA,坡道機械,600000,21.34,地下四樓
RPVOMLSKMHKGFAF88DA,坡道平面,0,30.65,地下二樓
RPOQMLMLMHKGFBF97DA,坡道平面,0,22.73,地下二樓
RPOQMLMLMHKGFBF97DA,坡道平面,0,22.73,地下二樓
RPQNMLLJNHKGFAF57DA,坡道機械,0,19.39,地下四樓
RPRPMLTLMHKGFBF88DA,坡道平面,0,16.71,地下一樓
RPXNMLTLMHKGFCF76DA,升降平面,0,,地下一樓
RPWNMLSLMHKGFCF56DA,坡道平面,3000000,32.49,地下一樓
RPQNMLMJNHKGFDF97DA,坡道平面,2300000,35.86,地下四樓
RPPOMLPLMHKGFGF68DA,坡道平面,2400000,30.00,地下二樓
RPPNMLNJNHKGFEF08DA,坡道機械,0,27.95,地下三樓
RPQOMLPKMHKGFIF88DA,坡道平面,0,29.65,地下一樓
RPPNMLMJNHKGFAF67EA,坡道平面,2400000,38.15,地下一樓
RPROMLPJNHKGFAF18DA,坡道平面,2500000,20.82,地下二樓
RPRNMLPKMHKGFCF28DA,坡道平面,0,,地下一樓
RPUNMLMJNHKGFDF38DA,坡道平面,0,35.73,地下二樓
RPVNMLNLMHKGFEF78DA,坡道平面,0,,地下二樓
RPSNMLKMMHKGFCF08DA,坡道平面,2400000,27.35,地下二樓
RPUNMLMJNHKGFEF48DA,升降機械,0,12.59,地下二樓
RPSNMLQKMHKGFHF98DA,坡道平面,0,,地下一樓
RPSNMLKMMHKGFIF68DA,坡道平面,1350000,33.05,地下二樓
RPRNMLKMMHKGFIF58DA,坡道平面,1350000,33.05,地下二樓
RPRNMLKMMHKGFIF58DA,坡道機械,1260000,18.17,地下三樓
RPPOMLMJNHKGFIF48DA,坡道平面,0,,地下一樓
RPTNMLMJNHKGFGF68EA,升降機械,1250000,12.72,地下二樓
RPQOMLPJNHKGFHF88EA,坡道平面,1900000,55.99,地下二樓
RPOPMLMJNHKGFAF67DA,一樓平面,0,,一樓
RPQOMLPKMHKGFCF28DA,坡道平面,560000,32.50,地下四樓
RPTOMLNLMHKGFCF48DA,坡道平面,0,,一樓
RPXOMLTJMHKGFEF86DA,坡道平面,1500000,31.45,地下三樓
RPUPMLTJMHKGFEF66DA,坡道機械,0,6.97,地下三樓
RPWOMLPJNHKGFEF09DA,坡道平面,0,27.39,地下三樓
RPQOMLMJNHKGFEF18DA,坡道平面,1300000,30.84,地下四樓
RPRNMLPJNHKGFFF58DA,升降機械,0,,地下一樓
RPPQMLOLMHKGFGF78DA,坡道平面,0,19.55,地下四樓
RPOOMLMJNHKGFGF18DA,升降平面,0,29.28,地下二樓
RPOOMLMJNHKGFGF18DA,升降平面,0,29.28,地下三樓
RPPNMLNLMHKGFCF08EA,坡道平面,1800000,,地下一樓
RPXQMLPJNHKGFHF07DA,坡道機械,800000,12.62,地下四樓
RPXQMLPJNHKGFHF07DA,坡道機械,800000,12.62,地下四樓
RPSRMLPJNHKGFHF66DA,坡道平面,2500000,38.64,地下一樓
RPTNMLPJNHKGFEF78EA,坡道平面,1500000,29.80,地下四樓
RPSNMLPJNHKGFEF68EA,坡道平面,1620000,29.80,地下三樓
RPXNMLPJNHKGFEF56EA,坡道平面,0,,地下一樓
RPSPMLPJNHKGFHF56EA,坡道平面,2000000,42.38,地下一樓
RPPNMLTLMHKGFAF38DA,坡道平面,2500000,32.43,地下一樓
RPOPMLRJNHKGFAF18DA,坡道平面,0,22.06,地下五樓含以下
RPQNMLQJMHKGFBF08DA,坡道平面,1900000,22.73,地下四樓
RPRRMLSLMHKGFBF98DA,坡道平面,1870000,39.25,地下一樓
RPQNMLPJNHKGFBF18EA,坡道平面,2000000,37.27,地下三樓
RPVOMLMJNHKGFHF98DA,坡道平面,2200000,40.44,地下一樓
RPSOMLPJNHKGFEF68DA,坡道平面,1400000,25.97,地下四樓
RPXOMLPJNHKGFIF96DA,坡道平面,1800000,32.26,地下一樓
RPWOMLRKMHKGFAF98EA,坡道機械,2000000,11.79,地下一樓
RPTNMLSJNHKGFBF78EA,坡道平面,2100000,31.91,地下二樓
RPOPMLRKMHKGFAF28EA,坡道平面,2500000,57.44,地下二樓
RPSQMLQJNHKGFBF68DA,坡道平面,0,33.18,地下二樓
RPUNMLRJNHKGFBF68DA,坡道平面,3000000,20.38,地下一樓
RPUNMLSJNHKGFEF09DA,坡道平面,0,,地下一樓
RPROMLRJNHKGFDF68DA,坡道平面,2200000,34.75,地下四樓
RPRNMLSJNHKGFHF09DA,坡道平面,0,,地下二樓
RPXNMLRKMHKGFIF07DA,坡道平面,0,33.07,地下三樓
RPXNMLRKMHKGFIF07DA,坡道平面,0,29.75,地下三樓
RPPOMLPJNHKGFHF78EA,坡道平面,2050000,32.85,地下二樓
RPPPMLRKMHKGFAF38EA,坡道平面,2400000,23.42,地下三樓
RPPNMLRJNHKGFHF88EA,坡道機械,1650000,13.26,地下一樓
RPPNMLQJNHKGFCF28EA,坡道平面,0,39.54,地下二樓
RPQPMLMJNHKGFAF87DA,坡道平面,2200000,27.04,地下三樓
RPVNMLTJNHKGFHF07EA,坡道平面,2530000,38.16,地下一樓
RPSOMLSJNHKGFHF76EA,升降機械,0,,地下二樓
RPVNMLKMMHKGFBF28DA,坡道平面,0,,地下二樓
RPPOMLOLMHKGFEF38DA,坡道平面,0,,地下二樓
RPTNMLQJNHKGFEF78DA,坡道平面,1400000,30.84,地下四樓
RPROMLRJNHKGFHF09DA,坡道平面,2300000,34.05,地下四樓
RPPNMLQJNHKGFEF48EA,坡道平面,0,,地下三樓
RPPNMLRJNHKGFEF58EA,坡道平面,0,18.04,地下二樓
RPRNMLTJNHKGFEF98EA,坡道平面,0,30.60,地下三樓
RPQOMLTJNHKGFEF98EA,坡道平面,1541096,35.93,地下一樓
RPTNMLSJNHKGFGF66EA,坡道平面,2500000,25.77,地下三樓
RPPNMLTJNHKGFIF56EA,坡道平面,0,42.32,地下四樓
RPPQMLNLMHKGFAF08DA,坡道平面,0,31.97,地下二樓
RPVNMLMLMHKGFAF28DA,坡道平面,2750000,38.63,地下三樓
RPSOMLTLMHKGFBF88DA,坡道平面,0,32.14,地下四樓
RPSOMLTLMHKGFBF88DA,坡道平面,0,32.14,地下四樓
RPUNMLPJNHKGFBF48DA,坡道平面,0,30.42,地下三樓
RPUOMLSLMHKGFCF09DA,坡道平面,2700000,22.35,地下二樓
RPPNMLMKNHKGFBF77DA,坡道平面,0,23.09,地下二樓
RPPNMLLKNHKGFAF57DA,升降機械,0,16.23,地下二樓
RPXNMLRJNHKGFDF56DA,其他,0,,無固定樓層
RPRNMLTJNHKGFDF78DA,升降平面,1500000,39.03,地下二樓
RPUOMLTLMHKGFBF09DA,坡道平面,0,39.18,地下五樓含以下
RPOPMLSKMHKGFEF68DA,坡道平面,1300000,17.73,地下二樓
RPTNMLRJNHKGFEF88DA,坡道平面,0,,地下一樓
RPSOMLSJNHKGFEF98DA,坡道平面,300000,27.00,地下一樓
RPSOMLTLMHKGFEF56DA,坡道平面,400000,,地下一樓
RPSOMLTLMHKGFEF56DA,坡道平面,400000,,地下一樓
RPWNMLTJNHKGFEF76DA,坡道平面,1500000,30.10,地下二樓
RPQONLQJNHKGFHF98DA,坡道機械,1700000,13.51,地下三樓
RPQONLQJNHKGFHF98DA,坡道機械,1700000,13.51,地下三樓
RPPNMLTJNHKGFIF09DA,坡道機械,1480000,18.17,地下三樓
RPRNMLTJNHKGFAF58EA,坡道平面,0,31.97,地下三樓
RPVNMLLLMHKGFEF68EA,坡道平面,400000,13.12,地下一樓
RPQNMLTJNHKGFEF88EA,坡道機械,0,10.25,地下二樓
RPQNMLTJNHKGFEF88EA,坡道機械,0,10.25,地下二樓
RPRNMLMKNHKGFEF38EA,坡道平面,0,14.09,地下三樓
RPQOMLTJMHKGFAF38DA,坡道平面,2300000,33.38,地下三樓
RPXNMLPLMHKGFAF78DA,坡道機械,1700000,13.22,地下四樓
