編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLPJOHKGFAH58EA,升降平面,710000,29.49,二樓含以上
RPSNMLPLMHKGFBH58DA,坡道平面,1180000,21.91,地下一樓
RPQNMLRJNHKGFBH48DA,坡道平面,0,33.38,地下二樓
RPSNMLOKNHKGFCH68EA,坡道平面,0,,地下一樓
RPORMLQJNHKGFAH48DA,升降平面,660000,34.36,二樓含以上
RPROMLOKNHKGFHH09DA,坡道平面,0,,地下三樓
RPRNMLTKNHKGFAH78DA,坡道平面,900000,,地下三樓
RPQNMLTJNHKGFAH58DA,坡道平面,2100000,24.84,地下一樓
RPUNMLTKNHKGFAH09DA,坡道平面,2200000,35.18,地下二樓
RPQNMLNJNHKGFBH08DA,坡道平面,0,17.63,地下一樓
RPWOMLTKNHKGFHH47DA,坡道平面,0,29.14,地下四樓
RPSPMLOKNHKGFBH68DA,坡道平面,0,,地下一樓
RPOTMLQKNHKGFBH88DA,坡道平面,0,,地下一樓
RPTNMLQKNHKGFHH76DA,一樓平面,0,,一樓
RPVSMLOKNHKGFBH66DA,坡道平面,0,30.55,地下二樓
RPSNNLQKNHKGFCH88DA,坡道平面,0,,地下一樓
RPWOMLMJNHKGFEH98DA,坡道平面,0,,地下二樓
RPRNMLQLNHKGFFH09DA,坡道平面,0,,地下二樓
RPPNMLKKNHKGFAH67DA,坡道平面,2000000,22.80,地下三樓
RPVNMLKLNHKGFEH78DA,坡道平面,1100000,18.82,地下三樓
RPQOMLRLNHKGFAH68DA,坡道平面,0,43.95,地下三樓
RPWQMLQLNHKGFBH86DA,坡道機械,0,17.01,地下三樓
RPWPMLRLNHKGFBH86DA,坡道平面,0,39.90,地下一樓
RPPNMLRLNHKGFGH09DA,坡道平面,1400000,38.35,地下一樓
RPPNMLSLNHKGFFH56EA,坡道平面,1000000,,地下一樓
RPQRMLRLNHKGFBH09DA,坡道平面,0,34.42,地下三樓
RPSQMLRLNHKGFBH56DA,坡道平面,0,,地下一樓
RPOOMLNLNHKGFDH38DA,坡道平面,900000,17.83,地下一樓
RPQNMLSLNHKGFEH09DA,坡道平面,600000,24.44,地下一樓
RPSNMLTLNHKGFFH86DA,坡道平面,0,,地下二樓
RPSRMLOKNHKGFBH88DA,坡道平面,0,,地下一樓
RPPNMLSLNHKGFHH76EA,坡道平面,1600000,33.75,地下三樓
RPPNMLKLNHKGFAH77DA,坡道平面,2050000,24.77,地下二樓
RPVOMLTLNHKGFDH07DA,坡道平面,0,,無固定樓層
RPUQMLMJNHKGFBH68DA,坡道平面,0,,地下二樓
RPUNMLQJNHKGFAH78EA,坡道平面,1800000,31.36,地下二樓
RPQNMLNJOHKGFBH28EA,坡道平面,1200000,,地下二樓
RPSOMLOKNHKGFAH48DA,坡道平面,0,27.90,地下一樓
RPSNMLTLNHKGFAH98DA,坡道平面,0,37.63,地下三樓
RPRNMLMJOHKGFAH08DA,坡道平面,1460000,33.78,地下三樓
RPWNMLMJOHKGFAH58DA,坡道平面,2000000,34.40,地下四樓
RPXNMLMJOHKGFAH68DA,坡道平面,2100000,34.40,地下四樓
RPUOMLNJOHKGFBH68DA,坡道平面,0,,地下二樓
RPRNMLOJOHKGFFH78DA,坡道平面,0,,地下二樓
RPVNMLNJOHKGFAH68EA,坡道平面,0,,地下一樓
RPQNMLOJOHKGFGH88EA,坡道平面,0,,二樓含以上
RPQQMLMJOHKGFAH28DA,坡道機械,0,,地下二樓
