編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLLKKHKGFBH18CC,坡道平面,500,38.62,地下二樓
RPTNMLMKKHKGFDH38CC,坡道平面,2000,33.66,地下一樓
RPVOMLMKKHKGFAH38CC,坡道平面,1000,,地下一樓
RPTNMLMKKHKGFHH78CC,坡道平面,0,46.90,地下二樓
RPUNMLMKKHKGFHH88CC,坡道平面,2800,29.88,地下二樓
RPQNMLNKKHKGFAH87CC,坡道平面,0,32.05,地下二樓
RPQNMLNKKHKGFAH87CC,坡道平面,0,28.43,地下二樓
RPSOMLNKKHKGFBH28CC,坡道平面,2500,,地下一樓
RPXOMLNKKHKGFBH78CC,坡道平面,3000,27.35,地下一樓
RPQOMLNKKHKGFCH18CC,坡道平面,1500,,地下二樓
RPRNMLNKKHKGFHH68CC,坡道平面,3000,,地下一樓
RPPNMLOKKHKGFAH87CC,坡道平面,500,33.31,地下一樓
RPVNMLOKKHKGFBH58CC,坡道平面,0,32.21,地下一樓
RPPNMLNKKHKGFFH28CC,坡道平面,2000,33.83,地下二樓
RPOOMLOKKHKGFBH97CC,坡道平面,3500,35.22,地下二樓
RPQQMLOKKHKGFBH38CC,坡道平面,2000,35.36,地下三樓
RPTNMLOKKHKGFDH58CC,坡道平面,1000,30.19,地下一樓
RPQNMLOKKHKGFEH38CC,坡道平面,3000,,地下二樓
RPPNMLPKKHKGFBH08CC,坡道機械,1500,,地下一樓
RPQNMLPKKHKGFBH18CC,坡道平面,2500,34.54,地下二樓
RPQNMLPKKHKGFBH18CC,坡道平面,2500,34.54,地下二樓
RPRNMLPKKHKGFBH28CC,坡道平面,2500,30.99,地下二樓
RPVOMLRKKHKGFBH98CC,坡道平面,3000,24.86,地下二樓
RPXPMLRKKHKGFBH66CC,一樓平面,2500,11.56,一樓
RPSQMLRKKHKGFBH88CC,坡道平面,2500,,地下一樓
RPPNMLRKKHKGFDH48CC,坡道平面,2500,,地下一樓
RPSNMLRKKHKGFDH78CC,坡道平面,2000,35.74,地下一樓
RPUNMLRKKHKGFDH98CC,坡道平面,2000,31.74,地下一樓
RPQNMLRKKHKGFFH78CC,坡道平面,2000,31.60,地下二樓
RPTNMLRKKHKGFFH09CC,坡道平面,1000,37.11,地下二樓
RPXNMLRKKHKGFFH86CC,坡道平面,0,,地下二樓
RPOOMLRKKHKGFFH68CC,坡道平面,2500,39.80,地下一樓
RPXNMLRKKHKGFGH96CC,坡道平面,2500,,地下一樓
RPPNMLRKKHKGFHH88CC,坡道平面,3000,29.88,地下三樓
RPQNMLSKKHKGFAH38CC,坡道平面,1800,,地下二樓
RPOOMLSKKHKGFAH28CC,坡道平面,1300,,地下二樓
RPOPMLSKKHKGFAH38CC,坡道平面,2500,,地下二樓
RPRPMLSKKHKGFAH68CC,坡道平面,2500,,地下一樓
RPPNMLSKKHKGFBH38CC,坡道平面,1500,33.72,地下三樓
RPPQMLSKKHKGFBH68CC,一樓平面,2000,,一樓
RPVNMLOKKHKGFEH88CC,坡道平面,0,27.33,地下一樓
RPVNMLOKKHKGFEH88CC,坡道平面,0,31.78,地下一樓
RPQNMLRKKHKGFEH68CC,坡道平面,2000,38.00,地下三樓
RPUNMLSKKHKGFEH56CC,坡道平面,2500,23.50,地下二樓
RPVNMLSKKHKGFCH09CC,坡道平面,100,28.86,地下二樓
RPXNMLSKKHKGFEH86CC,坡道平面,2500,,地下一樓
RPTNMLSKKHKGFEH09CC,坡道平面,3000,36.04,地下二樓
RPPNMLSKKHKGFDH58CC,坡道平面,1000,24.74,地下一樓
RPWNMLSKKHKGFEH76CC,坡道平面,2500,23.50,地下二樓
RPRNMLSKKHKGFDH78CC,坡道平面,500,,地下二樓
RPOOMLSKKHKGFEH68CC,坡道平面,2500,24.51,地下二樓
RPPNMLSKKHKGFFH78CC,坡道平面,2000,35.04,地下三樓
RPPNMLSKKHKGFGH88CC,坡道平面,500,,地下一樓
RPPNMLSKKHKGFHH98CC,坡道平面,0,26.47,地下二樓
RPSNMLTKKHKGFAH68CC,坡道平面,3000,23.03,地下一樓
RPOOMLTKKHKGFAH38CC,坡道平面,3000,,地下二樓
RPQOMLTKKHKGFAH58CC,坡道平面,2500,33.97,地下二樓
RPXOMLTKKHKGFAH66CC,坡道平面,2000,,地下一樓
RPRPMLTKKHKGFAH78CC,坡道平面,300,,地下一樓
RPSPMLTKKHKGFAH88CC,坡道平面,3000,,地下二樓
RPVPMLTKKHKGFAH56CC,坡道平面,3000,31.10,地下三樓
RPQNMLTKKHKGFBH58CC,一樓平面,300,,一樓
RPVOMLTKKHKGFBH56CC,坡道平面,3000,34.42,地下一樓
RPXOMLTKKHKGFBH76CC,坡道平面,2000,32.45,地下二樓
RPUPMLTKKHKGFBH56CC,坡道平面,2000,33.35,地下二樓
RPPPMLTKKHKGFBH68CC,坡道平面,1000,,地下一樓
RPRPMLTKKHKGFBH88CC,坡道平面,3000,,地下三樓
RPWQMLTKKHKGFBH86CC,坡道平面,2500,29.36,地下三樓
RPQRMLTKKHKGFBH98CC,坡道平面,0,44.10,地下二樓
RPRRMLTKKHKGFBH09CC,一樓平面,2000,,一樓
RPSNMLTKKHKGFDH98CC,坡道平面,500,32.56,地下一樓
