編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLNJOHKGFAI08DA,坡道機械,0,,地下一樓
RPQNMLTJMHKGFAI58DA,坡道平面,0,,地下一樓
RPRNMLSJMHKGFAI58DA,坡道平面,950000,,地下二樓
RPUNMLQJNHKGFAI78DA,坡道平面,0,,地下一樓
RPOOMLQJNHKGFAI28DA,坡道平面,0,,地下一樓
RPUOMLQKNHKGFAI98DA,坡道平面,0,,地下二樓
RPRPMLQKNHKGFAI78DA,坡道平面,0,,地下一樓
RPPNMLNLNHKGFAI18DA,升降平面,0,,地下一樓
RPQNMLQLNHKGFAI68EA,坡道機械,0,,地下二樓
RPQNMLQLNHKGFAI68EA,坡道機械,0,,地下二樓
RPRNMLQLNHKGFAI78EA,坡道平面,0,,地下一樓
RPRNMLMJOHKGFAI18DA,坡道機械,0,,地下一樓
RPSNMLMJOHKGFAI28DA,坡道平面,0,,地下一樓
RPUNMLSKLHKGFAI88DA,坡道機械,0,,地下一樓
RPTOMLNJLHKGFAI28DA,坡道平面,0,,地下一樓
RPVNMLMKLHKGFAI38DA,坡道平面,800000,,地下一樓
RPQNMLLJLHKGFAI67DA,一樓平面,0,,一樓
RPPNMLMJMHKGFAI77DA,坡道平面,0,,地下一樓
RPUNMLLJMHKGFAI18DA,其他,0,,一樓
RPQNMLKLLHKGFAI77DA,坡道平面,0,,地下二樓
RPQNMLTJMHKGFAI68EA,坡道機械,0,,地下二樓
RPXNMLSJMHKGFAI56DA,坡道平面,0,,地下二樓
RPTNMLRKMHKGFAI78DA,坡道平面,0,25.44,地下一樓
RPQOMLSJMHKGFAI58DA,坡道平面,0,,地下一樓
RPSNMLRKMHKGFAI68DA,坡道平面,0,24.75,地下二樓
RPWNMLSKMHKGFAI56DA,坡道機械,0,,地下一樓
RPRNMLMLMHKGFAI18DA,坡道平面,0,27.65,地下一樓
RPSNMLOLMHKGFAI48DA,一樓平面,0,,一樓
RPWNMLNLMHKGFAI78DA,升降機械,0,,地下一樓
RPTNMLMLMHKGFAI38DA,坡道平面,0,,地下一樓
RPXNMLQLLHKGFAI09DA,坡道機械,0,,地下一樓
RPQOMLQJNHKGFAI48DA,坡道機械,0,,地下一樓
RPWNMLRJNHKGFAI09DA,坡道平面,0,,地下一樓
RPRNMLNKNHKGFAI28DA,坡道機械,0,,地下一樓
RPSNMLQLNHKGFAI78DA,坡道平面,0,,地下一樓
RPQOMLRLNHKGFAI78DA,坡道機械,0,,地下一樓
RPXNMLTKNHKGFAI86DA,坡道平面,0,,地下二樓
RPTOMLPLLHKGFAI68DA,坡道平面,0,,地下一樓
RPPNMLOKLHKGFAI08EA,一樓平面,0,,一樓
RPOOMLKKLHKGFAI57DA,坡道機械,0,,地下一樓
RPQNMLKKLHKGFAI67DA,坡道平面,0,,地下二樓
RPPNMLSKLHKGFAI48EA,坡道平面,0,,地下一樓
RPPNMLRKLHKGFAI28DA,坡道平面,0,,地下一樓
RPPNMLOKLHKGFAI97DA,坡道機械,0,,地下二樓
RPROMLSKLHKGFAI68DA,升降機械,0,,地下一樓
RPQNMLSKKHKGFAI38DA,坡道平面,0,,地下二樓
RPQOMLOLLHKGFAI28DA,坡道機械,0,,地下一樓
RPSOMLPLLHKGFAI58DA,其他,0,,一樓
RPVNMLSLLHKGFAI09DA,一樓平面,0,,一樓
RPVNMLPLLHKGFAI78DA,坡道平面,0,,地下一樓
RPVNMLSLMHKGFAI56DA,坡道機械,0,,地下一樓
RPRNMLSLMHKGFAI78DA,坡道平面,0,,地下一樓
RPQNMLPKNHKGFAI38DA,坡道機械,0,,地下一樓
RPVSMLQJOHKGFAI86DA,坡道平面,0,,地下一樓
RPVSMLQJOHKGFAI86DA,坡道機械,0,,地下一樓
RPUNMLPJKHKGFAI38DA,一樓平面,0,,一樓
RPWNMLKKLHKGFAI28DA,一樓平面,0,,一樓
RPXNMLKKLHKGFAI38DA,一樓平面,0,,一樓
RPRNMLSKLHKGFAI58DA,坡道平面,0,,地下一樓
RPRNMLLLLHKGFAI97DA,坡道平面,0,,地下二樓
RPSNMLNKLHKGFAI18DA,坡道機械,0,,地下一樓
RPRNMLRLLHKGFAI58DA,升降機械,0,,地下一樓
RPQOMLKLLHKGFAI87DA,一樓平面,0,,一樓
RPQNMLQKMHKGFAI38DA,坡道機械,0,14.31,地下二樓
RPPNMLSKMHKGFAI58EA,坡道機械,0,,地下二樓
RPQNMLTJLHKGFAI48DA,坡道平面,0,,地下一樓
RPWNMLMKLHKGFAI48DA,坡道平面,0,,地下一樓
RPQOMLPLKHKGFAI28DA,坡道平面,0,,地下二樓
RPVNMLKLLHKGFAI28DA,其他,0,,地下一樓
