編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLNKNHKGFDJ88DA,坡道平面,0,,地下一樓
RPOOMLRJNHKGFDJ78DA,坡道平面,0,,地下一樓
RPROMLQLNHKGFCJ09DA,坡道平面,0,,地下一樓
RPQNMLSLNHKGFDJ56DA,坡道平面,0,,地下一樓
RPTNMLOJOHKGFBJ78DA,坡道平面,0,26.16,地下三樓
RPRNMLSKMHKGFBJ88DA,坡道平面,0,,地下一樓
RPQNMLTLMHKGFBJ09EA,坡道平面,0,,地下二樓
RPQNMLMJNHKGFCJ38EA,坡道平面,0,,地下一樓
RPPNMLSLMHKGFBJ78DA,坡道平面,1200000,30.08,地下三樓
RPWNMLRKMHKGFBJ66DA,坡道平面,0,,地下一樓
RPWNMLLLMHKGFBJ78DA,坡道平面,1200000,37.01,地下三樓
RPXNMLLLMHKGFBJ88DA,坡道平面,1200000,37.01,地下三樓
RPOOMLLLMHKGFBJ08DA,坡道平面,1200000,37.01,地下三樓
RPPOMLLLMHKGFBJ18DA,坡道平面,1200000,37.01,地下三樓
RPUNMLRJMHKGFCJ09DA,坡道平面,0,,一樓
RPOPMLRJMHKGFBJ58DA,升降平面,0,,地下二樓
RPPNMLSJNHKGFBJ68DA,坡道平面,0,24.68,地下二樓
RPQNMLSJNHKGFBJ78DA,坡道平面,0,,地下三樓
RPQNMLNKNHKGFBJ38DA,坡道平面,0,36.42,地下一樓
RPQNMLPJNHKGFDJ68DA,坡道平面,0,24.90,地下一樓
RPOOMLNKNHKGFDJ48DA,一樓平面,0,,一樓
RPSNMLTKNHKGFDJ76DA,坡道平面,0,,地下一樓
RPPNMLTKNHKGFBJ88DA,坡道平面,0,,地下一樓
RPSOMLTKNHKGFBJ66DA,坡道平面,0,32.81,地下二樓
RPSOMLTKNHKGFBJ66DA,坡道平面,0,32.81,地下二樓
RPSNMLLLNHKGFBJ48DA,坡道平面,0,31.93,地下四樓
RPOSMLRJMHKGFBJ88DA,坡道平面,0,15.41,地下二樓
RPOSMLRJMHKGFBJ88DA,坡道平面,0,15.41,地下二樓
RPSNMLTJNHKGFBJ09DA,坡道機械,700000,17.58,地下三樓
RPXNMLKMMHKGFBJ88DA,坡道平面,1600000,29.51,地下三樓
RPWOMLTKNHKGFBJ07DA,坡道平面,0,36.64,地下三樓
RPSOMLMLNHKGFBJ68DA,一樓平面,0,19.70,一樓
RPSOMLMLNHKGFBJ68DA,一樓平面,0,18.64,一樓
RPUOMLMLNHKGFBJ88DA,坡道平面,1000000,19.70,地下一樓
RPUNMLRJNHKGFDJ66DA,坡道平面,0,23.99,地下二樓
RPRNMLQKNHKGFDJ98DA,坡道平面,0,,地下一樓
RPTNMLQLNHKGFCJ56DA,坡道平面,0,33.33,地下一樓
RPPOMLOKMHKGFCJ48DA,坡道平面,0,33.33,地下二樓
RPWNMLQLNHKGFBJ76DA,坡道平面,0,,地下一樓
RPTNMLMLNHKGFCJ78DA,坡道平面,0,,地下二樓
RPPNMLRLNHKGFBJ88EA,坡道平面,2300000,44.28,地下一樓
RPPNMLQKMHKGFCJ58DA,坡道平面,0,,地下三樓
RPRNMLOLMHKGFCJ68DA,坡道平面,0,,地下二樓
RPPOMLKLNHKGFBJ18DA,坡道平面,0,44.30,地下三樓
RPUNMLLLNHKGFCJ78DA,坡道平面,0,,地下一樓
RPPOMLKMMHKGFBJ18DA,坡道平面,0,30.69,地下四樓
RPOOMLPJOHKGFBJ48DA,坡道平面,1250000,32.64,地下三樓
RPSNMLKMMHKGFBJ38DA,坡道平面,0,25.02,地下四樓
RPSNMLKMMHKGFBJ38DA,坡道平面,0,25.02,地下四樓
RPVNMLRKLHKGFDJ66DA,坡道平面,0,30.43,地下一樓
RPQNMLMKLHKGFBJ18EA,升降平面,0,,地下一樓
RPQNMLRKLHKGFBJ58DA,坡道平面,0,31.67,地下二樓
RPQNMLRKLHKGFBJ58DA,坡道平面,0,31.67,地下二樓
RPSNMLQLLHKGFBJ78DA,坡道平面,0,28.84,地下二樓
RPSNMLQLLHKGFBJ78DA,坡道平面,0,28.84,地下一樓
RPSNMLQLLHKGFBJ78DA,坡道平面,0,28.84,地下一樓
RPSNMLQLLHKGFBJ78DA,坡道平面,0,28.84,地下一樓
RPVRMLRLLHKGFBJ96DA,坡道平面,0,,地下二樓
RPPNMLQLLHKGFCJ68EA,坡道機械,450000,,地下一樓
RPPNMLRKLHKGFBJ48DA,坡道平面,600000,32.12,地下一樓
RPPNMLSLLHKGFCJ88EA,坡道平面,1030000,38.36,地下一樓
RPPOMLRKLHKGFBJ58DA,坡道平面,0,33.89,地下四樓
RPPOMLRKLHKGFBJ58DA,坡道平面,0,33.89,地下四樓
RPRNMLKLLHKGFBJ08DA,坡道平面,1700000,34.04,地下一樓
RPQQMLMJMHKGFBJ38DA,坡道平面,0,47.49,地下二樓
RPPOMLLLLHKGFBJ08DA,坡道平面,0,30.35,地下二樓
RPPOMLLLLHKGFBJ08DA,坡道平面,0,30.35,地下二樓
RPPOMLLLLHKGFBJ08DA,坡道平面,0,30.35,地下二樓
RPPOMLLLLHKGFBJ08DA,坡道平面,0,30.35,地下二樓
RPSVMLRJMHKGFBJ96DA,坡道平面,0,,地下一樓
RPRNMLNKLHKGFCJ38DA,一樓平面,0,,一樓
RPRNMLNKLHKGFCJ38DA,一樓平面,0,,一樓
RPPNMLLKMHKGFCJ18EA,坡道平面,0,24.68,地下一樓
RPUNMLRJMHKGFBJ98DA,一樓平面,0,,一樓
RPXNMLRJMHKGFCJ76DA,坡道平面,0,,地下二樓
RPPNMLKKMHKGFBJ97EA,坡道平面,0,33.10,地下三樓
RPRNMLLJMHKGFCJ18DA,坡道平面,0,,地下一樓
RPQNMLKKMHKGFBJ08EA,坡道機械,1200000,8.79,一樓
RPWNMLPJLHKGFBJ88DA,坡道平面,0,22.84,地下三樓
RPUQMLKMLHKGFBJ78DA,一樓平面,0,,一樓
