編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLLKHKGFBJ87CB,一樓平面,1800000,26.46,一樓
RPPNMLKLKHKGFBJ77CB,坡道平面,2000000,32.39,地下一樓
RPQNMLLLKHKGFBJ97CB,坡道平面,1800000,26.46,地下一樓
RPPNMLOLKHKGFBJ18CB,坡道平面,1500000,42.98,地下二樓
RPQNMLPLKHKGFDJ58CB,坡道機械,700000,19.83,地下二樓
RPSNMLOLKHKGFBJ48CB,坡道平面,1850000,37.00,地下一樓
RPSNMLOLKHKGFBJ48CB,坡道平面,1850000,37.00,地下一樓
RPSNMLPLKHKGFDJ78CB,坡道機械,900000,19.83,地下二樓
RPRNMLPLKHKGFDJ68CB,坡道機械,800000,19.83,地下二樓
RPRNMLPLKHKGFDJ68CB,坡道機械,900000,19.83,地下二樓
RPPNMLMJLHKGFBJ97DB,塔式車位,0,,
RPPNMLNJLHKGFBJ97CB,坡道平面,1900000,31.62,地下二樓
RPRNMLNJLHKGFBJ18CB,坡道平面,1750000,31.62,地下二樓
RPQNMLNJLHKGFBJ08CB,坡道平面,1750000,31.62,地下二樓
RPSNMLNJLHKGFBJ28CB,坡道平面,1500000,42.98,地下二樓
RPTNMLNJLHKGFBJ38CB,坡道平面,2500000,41.25,地下一樓
RPPNMLOJLHKGFBJ08CB,一樓平面,1800000,26.46,一樓
RPSNMLOJLHKGFBJ38CB,坡道平面,1700000,32.06,地下二樓
RPTNMLOJLHKGFBJ48CB,坡道平面,1700000,32.06,地下二樓
RPQNMLPJLHKGFBJ28CB,坡道平面,2380000,41.25,地下二樓
RPQNMLLLKHKGFDJ18CB,坡道平面,1600000,31.56,地下一樓
RPQNMLOLKHKGFDJ48CB,坡道平面,1750000,25.00,地下一樓
RPQNMLOLKHKGFDJ48CB,坡道平面,1230000,25.00,地下一樓
RPPNMLKLKHKGFDJ97CB,其他,1000000,15.24,一樓
RPRNMLRJLHKGFDJ78CB,坡道平面,1650000,23.78,地下一樓
RPQNMLRJLHKGFDJ68CB,坡道機械,700000,19.83,地下二樓
RPPNMLNJLHKGFCJ08CB,坡道平面,1200000,25.62,地下一樓
RPUNMLRJLHKGFCJ98CB,坡道平面,1600000,15.12,地下二樓
RPPNMLSJLHKGFCJ58CB,坡道平面,1600000,15.12,地下二樓
RPQNMLSJLHKGFCJ68CB,坡道平面,1550000,20.97,地下三樓
RPVNMLRJLHKGFCJ09CB,坡道平面,1500000,15.12,地下一樓
RPVNMLRJLHKGFCJ09CB,坡道平面,1650000,15.12,地下一樓
RPTNMLRJLHKGFCJ88CB,坡道平面,1500000,20.14,地下三樓
RPSNMLRJLHKGFCJ78CB,坡道平面,1500000,20.14,地下三樓
RPPNMLKKLHKGFBJ77CB,坡道平面,1700000,32.06,地下二樓
RPRNMLKKLHKGFBJ97CB,坡道平面,2600000,33.49,地下二樓
RPQNMLKKLHKGFBJ87CB,坡道平面,1700000,32.06,地下二樓
RPPNMLKKLHKGFCJ87CB,坡道機械,1000000,15.49,地下一樓
RPPNMLKKLHKGFDJ97CB,坡道平面,1600000,31.56,地下一樓
RPPNMLLKLHKGFBJ87CB,坡道平面,1600000,42.98,地下一樓
RPPNMLLKLHKGFBJ87CB,坡道平面,1500000,42.98,地下二樓
RPQNMLLKLHKGFBJ97CB,一樓平面,1800000,26.46,一樓
RPSNMLLKLHKGFBJ18CB,坡道平面,2950000,39.77,地下一樓
RPPNMLMKLHKGFBJ97CB,坡道平面,2380000,41.25,地下二樓
RPRNMLLKLHKGFBJ08CB,一樓平面,1800000,26.46,一樓
RPPNMLTJLHKGFCJ68CB,坡道平面,2400000,29.76,地下三樓
