編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLSJNHKGFDK09DA,淡文湖段,20.11,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,66,1,持分移轉,03660008
RPRNMLOKNHKGFCK78DA,南華段,79.21,都市：其他:住宅區,1,1,全筆移轉,09430000
RPUNMLOKNHKGFFK76DA,濫坑段,2437.96,非都市：山坡地保育區 ; 非都市編定：農牧用地,1200,86,持分移轉,05480008
RPQNMLQJNHKGFDK88DA,西崎頂段,9.74,非都市：一般農業區 ; 非都市編定：甲種建築用地,2985984,53568,持分移轉,09750000
RPQNMLQJNHKGFDK88DA,西崎頂段,27.11,非都市：一般農業區 ; 非都市編定：甲種建築用地,497664,8928,持分移轉,09770000
RPPNMLTKNHKGFEK76EA,東崗段,89.28,非都市：特定農業區 ; 非都市編定：農牧用地,1615,88,持分移轉,05810000
RPVNMLOKNHKGFBK09DA,建功段,94.78,都市：其他:道路用地,30,11,持分移轉,09560000
RPVNMLOKNHKGFBK09DA,文峰段,50.36,都市：其他:綠地用地,1,1,全筆移轉,12370002
RPPNMLTKNHKGFBK98DA,豐年段,31.93,都市：其他:住宅區,10000,159,持分移轉,13010000
RPPNMLTKNHKGFBK98DA,豐年段,.93,都市：其他:住宅區,10000,159,持分移轉,13030000
RPVNMLKLNHKGFCK88DA,通北段,.94,都市：其他:住宅區,10000,7,持分移轉,05620000
RPSNMLPJNHKGFCK88DA,下坪段,3002.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08300000
RPPNMLKKNHKGFCK18DA,苑港段,160.83,非都市：特定農業區 ; 非都市編定：甲種建築用地,6,1,持分移轉,02770000
RPUNMLKLNHKGFCK78DA,通北段,1.88,都市：其他:住宅區,10000,14,持分移轉,05620000
RPQNMLTKNHKGFEK76DA,重河段,620.93,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05340001
RPQNMLTKNHKGFEK76DA,重河段,636.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05360001
RPQNMLTKNHKGFEK76DA,重河段,625.17,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05360003
RPRNMLLJNHKGFDK48DA,龍南段,20.50,都市：其他:道路用地,12,6,持分移轉,13270000
